POW_SA2_CODE_2021,P_40_44_OM_UIE,P_40_44_CFW,P_40_44_ES_NS,P_40_44_Total,P_45_49_E,P_45_49_OM_IE,P_45_49_OM_UIE,P_45_49_CFW,P_45_49_ES_NS,P_45_49_Total,P_50_54_E,P_50_54_OM_IE,P_50_54_OM_UIE,P_50_54_CFW,P_50_54_ES_NS,P_50_54_Total,P_55_59_E,P_55_59_OM_IE,P_55_59_OM_UIE,P_55_59_CFW,P_55_59_ES_NS,P_55_59_Total,P_60_64_E,P_60_64_OM_IE,P_60_64_OM_UIE,P_60_64_CFW,P_60_64_ES_NS,P_60_64_Total,P_65_69_E,P_65_69_OM_IE,P_65_69_OM_UIE,P_65_69_CFW,P_65_69_ES_NS,P_65_69_Total,P_70_74_E,P_70_74_OM_IE,P_70_74_OM_UIE,P_70_74_CFW,P_70_74_ES_NS,P_70_74_Total,P_75ov_E,P_75ov_OM_IE,P_75ov_OM_UIE,P_75ov_CFW,P_75ov_ES_NS,P_75ov_Total,P_Total_E,P_Total_OM_IE,P_Total_OM_UIE,P_Total_CFW,P_Total_ES_NS,P_Total_Total
501011001,41,8,5,269,129,22,30,13,3,201,134,30,56,17,9,239,139,20,42,9,5,220,118,36,68,22,5,242,55,20,42,18,6,135,20,8,17,27,4,77,5,7,15,21,6,58,1419,220,388,160,32,2224
501011003,111,15,4,607,345,100,127,17,9,601,301,79,100,20,3,513,244,102,115,19,6,490,202,67,84,32,10,393,104,29,57,31,4,218,24,24,30,17,0,102,11,10,18,16,4,56,3430,605,803,202,66,5109
501011004,110,12,3,534,366,57,105,5,5,540,296,44,73,3,5,425,248,33,78,6,3,378,245,36,60,10,4,358,90,23,36,14,0,170,42,15,33,8,7,96,7,5,10,0,0,19,3119,342,673,80,44,4258
501011293,42,9,3,577,527,51,76,10,6,669,516,72,60,10,3,665,435,55,50,10,7,558,330,40,68,5,0,459,185,20,43,9,0,257,58,12,15,9,3,94,17,3,7,10,0,41,4698,362,469,87,41,5664
501011294,63,12,3,599,472,44,82,0,4,603,483,37,71,5,3,603,460,34,71,4,0,574,352,29,65,3,3,448,121,17,37,12,0,185,28,17,25,5,4,69,14,4,11,9,3,41,4159,276,590,81,36,5145
501021005,24,3,0,358,301,16,31,3,3,356,287,28,46,0,0,367,252,26,29,5,0,303,182,16,39,0,0,239,60,10,8,3,0,91,18,5,10,0,3,34,8,4,8,0,0,20,2709,172,283,45,19,3224
501021007,23,3,0,145,131,11,19,6,0,167,113,22,23,6,0,167,94,15,20,12,0,141,68,16,29,9,0,120,30,4,20,8,0,59,8,6,18,13,0,45,4,0,7,5,0,15,1003,102,194,61,13,1371
501021008,13,0,0,402,398,6,6,0,3,416,412,4,10,0,8,433,400,5,22,0,0,428,328,4,12,0,0,344,144,3,4,0,0,154,23,0,5,0,0,26,7,0,0,0,3,8,3522,34,93,7,18,3678
501021009,15,3,3,564,544,10,18,5,0,580,586,16,11,5,10,621,489,11,28,3,5,535,301,18,18,0,6,343,115,13,15,5,0,150,19,0,4,3,0,31,9,4,6,13,0,29,4459,91,151,46,30,4774
501021010,25,4,0,167,129,14,17,0,3,162,118,21,23,4,0,166,141,18,24,0,0,182,113,12,15,11,0,155,44,6,17,9,8,75,12,5,10,3,0,34,0,0,13,10,0,30,1253,111,167,53,23,1603
501021011,10,7,0,396,416,42,21,6,11,492,418,38,24,0,0,480,348,36,20,9,0,403,301,26,18,5,0,353,98,6,16,5,0,130,32,5,4,0,0,43,13,3,0,4,0,19,3867,230,141,36,22,4295
501021012,25,11,0,219,184,8,19,4,4,215,173,9,21,3,4,211,155,13,13,0,0,179,117,11,23,0,3,153,39,3,6,0,6,57,15,0,8,4,0,37,3,4,0,4,0,13,1892,81,176,36,15,2202
501021014,19,10,0,509,445,22,27,7,0,514,404,33,28,12,4,480,377,26,47,19,8,479,296,27,39,12,4,383,119,16,31,24,3,201,15,11,20,18,8,73,7,13,15,16,3,53,4110,197,304,141,40,4786
501021015,24,4,0,511,435,24,18,6,0,491,490,26,32,3,5,554,456,23,30,3,0,515,342,31,24,9,5,406,128,16,19,4,3,163,25,3,8,3,4,53,6,3,4,4,0,16,4483,200,226,44,26,4974
501021016,12,0,4,229,277,10,7,0,3,300,275,14,16,6,6,317,258,6,14,4,6,289,166,10,17,9,0,203,51,5,16,7,0,76,8,5,5,10,0,28,3,3,8,8,0,31,2061,79,114,47,24,2327
501021251,19,4,0,133,127,9,25,5,0,156,102,11,11,4,4,124,82,7,15,3,0,106,62,4,16,3,0,82,27,5,4,0,0,35,3,0,7,0,0,15,3,0,3,0,0,4,1035,52,148,19,3,1257
501021252,8,0,0,80,61,7,16,4,0,82,53,5,9,4,0,74,48,11,12,4,0,67,34,12,14,3,0,58,20,6,9,3,0,36,4,0,0,0,0,8,0,0,0,0,0,3,489,58,84,19,0,642
501021253,74,4,7,1223,1094,89,85,7,10,1274,1116,94,75,11,5,1297,884,78,76,4,4,1050,694,61,83,12,3,854,280,34,41,6,0,364,78,25,38,14,5,157,32,7,11,7,3,61,10027,564,636,93,61,11380
501021254,4,0,0,51,54,0,9,0,0,72,45,4,3,0,0,56,42,0,4,0,0,52,24,0,0,0,0,34,15,0,4,0,0,21,0,3,3,0,0,8,0,0,0,0,0,0,424,16,39,7,0,498
