POW_SA2_CODE_2021,F_EWFT_25_29_OM_UIE,F_EWFT_25_29_CFW,F_EWFT_25_29_ES_NS,F_EWFT_25_29_Tot,F_EWFT_30_34_E,F_EWFT_30_34_OM_IE,F_EWFT_30_34_OM_UIE,F_EWFT_30_34_CFW,F_EWFT_30_34_ES_NS,F_EWFT_30_34_Tot,F_EWFT_35_39_E,F_EWFT_35_39_OM_IE,F_EWFT_35_39_OM_UIE,F_EWFT_35_39_CFW,F_EWFT_35_39_ES_NS,F_EWFT_35_39_Tot,F_EWFT_40_44_E,F_EWFT_40_44_OM_IE,F_EWFT_40_44_OM_UIE,F_EWFT_40_44_CFW,F_EWFT_40_44_ES_NS,F_EWFT_40_44_Tot,F_EWFT_45_49_E,F_EWFT_45_49_OM_IE,F_EWFT_45_49_OM_UIE,F_EWFT_45_49_CFW,F_EWFT_45_49_ES_NS,F_EWFT_45_49_Tot,F_EWFT_50_54_E,F_EWFT_50_54_OM_IE,F_EWFT_50_54_OM_UIE,F_EWFT_50_54_CFW,F_EWFT_50_54_ES_NS,F_EWFT_50_54_Tot,F_EWFT_55_59_E,F_EWFT_55_59_OM_IE,F_EWFT_55_59_OM_UIE,F_EWFT_55_59_CFW,F_EWFT_55_59_ES_NS,F_EWFT_55_59_Tot,F_EWFT_60_64_E,F_EWFT_60_64_OM_IE,F_EWFT_60_64_OM_UIE,F_EWFT_60_64_CFW,F_EWFT_60_64_ES_NS,F_EWFT_60_64_Tot,F_EWFT_65_69_E,F_EWFT_65_69_OM_IE,F_EWFT_65_69_OM_UIE,F_EWFT_65_69_CFW,F_EWFT_65_69_ES_NS,F_EWFT_65_69_Tot,F_EWFT_70_74_E,F_EWFT_70_74_OM_IE,F_EWFT_70_74_OM_UIE,F_EWFT_70_74_CFW,F_EWFT_70_74_ES_NS,F_EWFT_70_74_Tot,F_EWFT_75ov_E,F_EWFT_75ov_OM_IE,F_EWFT_75ov_OM_UIE,F_EWFT_75ov_CFW,F_EWFT_75ov_ES_NS,F_EWFT_75ov_Tot,F_EWFT_Tot_E,F_EWFT_Tot_OM_IE,F_EWFT_Tot_OM_UIE,F_EWFT_Tot_CFW,F_EWFT_Tot_ES_NS,F_EWFT_Tot_Tot,F_EWPT_15_19_E,F_EWPT_15_19_OM_IE,F_EWPT_15_19_OM_UIE,F_EWPT_15_19_CFW,F_EWPT_15_19_ES_NS,F_EWPT_15_19_Tot,F_EWPT_20_24_E,F_EWPT_20_24_OM_IE,F_EWPT_20_24_OM_UIE,F_EWPT_20_24_CFW,F_EWPT_20_24_ES_NS,F_EWPT_20_24_Tot,F_EWPT_25_29_E,F_EWPT_25_29_OM_IE,F_EWPT_25_29_OM_UIE,F_EWPT_25_29_CFW,F_EWPT_25_29_ES_NS,F_EWPT_25_29_Tot,F_EWPT_30_34_E,F_EWPT_30_34_OM_IE,F_EWPT_30_34_OM_UIE,F_EWPT_30_34_CFW,F_EWPT_30_34_ES_NS,F_EWPT_30_34_Tot,F_EWPT_35_39_E,F_EWPT_35_39_OM_IE,F_EWPT_35_39_OM_UIE,F_EWPT_35_39_CFW,F_EWPT_35_39_ES_NS,F_EWPT_35_39_Tot,F_EWPT_40_44_E,F_EWPT_40_44_OM_IE,F_EWPT_40_44_OM_UIE,F_EWPT_40_44_CFW,F_EWPT_40_44_ES_NS,F_EWPT_40_44_Tot,F_EWPT_45_49_E,F_EWPT_45_49_OM_IE,F_EWPT_45_49_OM_UIE,F_EWPT_45_49_CFW,F_EWPT_45_49_ES_NS,F_EWPT_45_49_Tot,F_EWPT_50_54_E,F_EWPT_50_54_OM_IE,F_EWPT_50_54_OM_UIE,F_EWPT_50_54_CFW,F_EWPT_50_54_ES_NS,F_EWPT_50_54_Tot,F_EWPT_55_59_E,F_EWPT_55_59_OM_IE,F_EWPT_55_59_OM_UIE,F_EWPT_55_59_CFW,F_EWPT_55_59_ES_NS,F_EWPT_55_59_Tot,F_EWPT_60_64_E,F_EWPT_60_64_OM_IE,F_EWPT_60_64_OM_UIE,F_EWPT_60_64_CFW,F_EWPT_60_64_ES_NS,F_EWPT_60_64_Tot,F_EWPT_65_69_E,F_EWPT_65_69_OM_IE,F_EWPT_65_69_OM_UIE,F_EWPT_65_69_CFW,F_EWPT_65_69_ES_NS,F_EWPT_65_69_Tot,F_EWPT_70_74_E,F_EWPT_70_74_OM_IE,F_EWPT_70_74_OM_UIE,F_EWPT_70_74_CFW,F_EWPT_70_74_ES_NS,F_EWPT_70_74_Tot,F_EWPT_75ov_E,F_EWPT_75ov_OM_IE,F_EWPT_75ov_OM_UIE,F_EWPT_75ov_CFW,F_EWPT_75ov_ES_NS,F_EWPT_75ov_Tot,F_EWPT_Tot_E,F_EWPT_Tot_OM_IE,F_EWPT_Tot_OM_UIE,F_EWPT_Tot_CFW,F_EWPT_Tot_ES_NS,F_EWPT_Tot_Tot,F_EAFW_E,F_EAFW_OM_IE,F_EAFW_OM_UIE,F_EAFW_CFW,F_EAFW_ES_NS,F_EAFW_Tot,F_H_NS_E,F_H_NS_OM_IE,F_H_NS_OM_UIE,F_H_NS_CFW,F_H_NS_ES_NS,F_H_NS_Tot,F_Tot_E,F_Tot_OM_IE,F_Tot_OM_UIE,F_Tot_CFW,F_Tot_ES_NS,F_Tot_Tot,P_EWFT_15_19_E,P_EWFT_15_19_OM_IE,P_EWFT_15_19_OM_UIE,P_EWFT_15_19_CFW,P_EWFT_15_19_ES_NS,P_EWFT_15_19_Tot,P_EWFT_20_24_E,P_EWFT_20_24_OM_IE,P_EWFT_20_24_OM_UIE,P_EWFT_20_24_CFW,P_EWFT_20_24_ES_NS,P_EWFT_20_24_Tot,P_EWFT_25_29_E,P_EWFT_25_29_OM_IE,P_EWFT_25_29_OM_UIE,P_EWFT_25_29_CFW,P_EWFT_25_29_ES_NS,P_EWFT_25_29_Tot,P_EWFT_30_34_E,P_EWFT_30_34_OM_IE,P_EWFT_30_34_OM_UIE,P_EWFT_30_34_CFW,P_EWFT_30_34_ES_NS,P_EWFT_30_34_Tot,P_EWFT_35_39_E,P_EWFT_35_39_OM_IE,P_EWFT_35_39_OM_UIE,P_EWFT_35_39_CFW
501011001,0,0,0,33,31,0,0,0,0,32,27,0,5,0,5,41,33,6,7,0,0,49,23,3,6,3,0,30,27,6,11,0,0,52,31,7,4,0,0,42,20,3,12,4,0,34,3,0,9,6,0,15,0,0,0,4,0,11,0,0,4,0,0,8,263,35,56,24,3,381,45,0,0,0,0,45,20,0,0,0,0,20,26,0,6,0,0,37,33,3,9,4,0,48,52,4,12,0,0,77,68,3,14,0,0,86,48,0,10,5,0,59,36,0,9,3,0,59,43,3,8,6,0,61,42,5,15,4,0,64,17,4,10,3,0,36,6,4,6,7,0,20,0,0,0,7,0,11,432,35,95,41,4,611,59,4,11,6,0,76,6,0,4,6,0,20,766,73,162,74,10,1090,34,0,0,0,0,34,53,0,0,0,0,55,80,0,3,0,0,89,82,11,8,0,0,95,87,10,25,0
501011003,3,0,0,81,108,0,7,0,0,121,67,12,11,0,5,91,80,14,15,4,0,112,80,18,33,7,0,134,80,12,13,4,0,112,45,17,17,3,3,82,29,5,8,6,0,52,10,0,6,0,0,19,0,3,0,0,0,3,0,0,0,0,0,0,661,93,111,31,9,900,138,0,0,0,0,142,73,0,3,0,0,78,68,0,6,0,0,80,101,3,21,0,0,125,136,20,35,8,0,191,122,14,39,5,0,191,116,18,41,5,0,178,91,13,21,5,5,139,85,24,23,6,0,136,80,11,20,13,0,116,40,9,17,4,0,75,8,4,4,5,0,26,0,0,5,7,0,15,1056,114,237,65,12,1488,105,12,20,3,0,142,31,4,6,0,3,41,1846,222,374,107,30,2574,81,0,0,0,0,80,168,0,5,3,0,167,189,8,10,0,0,210,252,17,25,0,5,304,208,40,35,0
501011004,3,0,0,66,56,3,3,0,0,65,78,9,4,0,0,98,68,8,14,0,0,98,93,6,16,4,5,121,80,8,11,0,0,108,60,4,7,3,0,77,44,3,5,0,0,54,11,4,3,0,0,16,5,0,0,0,0,3,0,0,0,0,0,0,611,52,78,9,8,762,122,0,0,0,0,117,54,0,0,0,0,54,62,0,11,0,0,76,98,4,17,3,3,125,137,12,30,5,0,192,143,11,36,5,0,198,135,4,33,3,0,176,99,7,16,3,0,119,80,5,20,3,0,110,93,7,26,3,0,129,31,5,12,10,0,56,15,0,9,0,5,25,6,0,4,0,0,10,1073,61,217,38,9,1395,121,3,22,0,0,153,23,4,0,0,3,32,1827,118,319,50,17,2336,44,0,0,0,0,44,105,0,9,0,0,116,153,0,12,0,0,170,162,8,20,0,4,200,183,26,30,3
501011293,5,0,0,116,83,6,5,0,0,88,92,10,3,0,0,105,119,5,7,0,0,135,145,13,18,4,0,181,155,15,13,0,0,190,105,11,8,4,4,135,54,4,10,0,0,66,20,0,8,0,0,24,0,0,0,0,0,0,0,0,0,0,0,4,1022,73,76,14,4,1186,239,0,0,0,0,243,92,0,0,0,0,91,80,0,5,0,3,91,101,7,8,0,0,114,168,3,18,0,0,193,155,14,15,6,0,180,164,4,12,4,0,183,156,13,12,5,0,190,132,0,14,0,6,156,121,9,18,5,0,153,55,7,13,4,0,82,20,0,8,0,0,30,0,0,0,3,0,7,1487,58,128,34,11,1715,144,4,5,4,0,161,19,0,4,0,6,29,2672,134,214,49,22,3093,118,0,0,0,0,118,212,0,0,0,0,214,229,0,7,0,0,239,210,19,23,5,3,253,231,23,21,0
501011294,9,0,0,106,88,0,6,0,0,100,91,13,11,0,0,115,124,6,9,0,0,143,119,12,12,0,6,145,133,5,16,0,0,162,127,6,15,0,0,151,72,7,12,0,0,91,15,0,4,0,0,21,0,0,0,0,0,10,0,0,0,0,0,0,991,51,101,8,3,1147,156,0,0,0,0,156,74,0,0,0,0,80,88,0,4,3,0,100,123,5,27,3,0,153,181,6,29,4,0,216,208,9,18,7,0,242,201,10,23,0,0,235,200,9,21,3,0,226,181,0,18,3,0,202,139,6,15,3,0,166,55,3,9,3,0,66,9,3,7,0,0,26,4,4,0,0,0,14,1615,54,168,32,6,1875,165,0,16,4,5,194,31,0,0,0,10,45,2803,102,283,47,24,3260,71,0,0,0,0,70,138,0,6,0,0,152,177,5,12,0,0,194,192,15,25,0,4,234,182,25,34,8
501021005,0,0,0,61,44,3,11,0,0,59,59,4,7,0,0,71,85,3,4,0,0,90,81,3,4,0,0,95,82,3,11,0,0,97,72,12,5,0,0,84,39,0,0,0,0,35,3,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,588,33,47,3,0,668,141,0,0,0,0,141,56,0,4,0,0,62,70,0,3,0,0,75,92,4,9,3,0,111,121,7,18,0,0,150,116,9,8,0,0,135,101,0,13,3,0,117,106,3,13,0,0,119,74,5,8,0,0,90,63,5,13,4,0,81,23,0,5,0,0,32,3,0,3,0,0,8,5,0,0,0,0,5,967,29,101,17,0,1119,67,0,11,0,0,83,17,0,0,0,5,25,1646,67,156,25,5,1895,47,0,0,0,0,47,107,0,3,0,0,113,130,3,12,0,0,152,121,15,13,0,0,153,155,17,10,0
501021007,0,0,0,20,16,0,3,0,0,16,15,0,6,0,0,17,28,0,4,0,0,33,25,3,8,0,0,33,25,3,5,4,0,41,15,0,3,3,0,25,11,4,7,0,0,20,4,0,0,0,0,6,0,0,0,3,0,9,0,0,3,0,0,3,179,15,28,17,0,238,38,0,0,0,0,38,23,0,0,0,0,23,10,0,0,0,0,14,35,0,9,0,0,38,25,0,6,0,0,36,23,5,7,0,0,32,33,6,10,3,0,49,42,5,11,3,0,52,19,5,3,4,0,28,14,3,5,3,0,33,4,0,0,0,0,13,7,4,4,4,0,17,3,0,0,0,0,0,276,18,55,18,6,370,30,0,0,3,0,38,11,4,0,0,0,15,493,33,91,39,6,661,31,0,0,0,0,31,40,0,3,0,0,45,57,6,5,0,0,67,44,3,4,0,0,52,61,3,8,0
501021008,0,0,0,115,89,0,0,0,0,94,96,0,4,0,0,98,118,3,0,0,0,125,122,3,0,0,0,127,146,0,4,0,0,151,120,0,5,0,0,126,101,0,0,0,0,101,20,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,1000,9,14,0,3,1034,90,0,0,0,0,90,66,0,0,0,0,66,80,0,0,0,0,82,113,0,3,0,0,116,157,0,0,0,0,163,157,0,0,0,0,161,145,0,0,0,0,147,133,0,0,0,0,136,147,0,4,0,0,152,108,0,4,0,3,112,62,0,0,0,0,68,17,0,0,0,0,17,0,0,0,0,0,0,1276,7,17,3,7,1301,218,0,6,0,0,230,19,0,0,3,0,22,2516,16,37,6,12,2586,27,0,0,0,0,29,85,0,3,0,0,85,167,0,0,0,0,168,162,0,4,0,0,167,177,7,5,0
501021009,0,0,0,80,66,0,0,0,0,68,80,0,0,0,0,86,70,0,4,0,0,69,82,0,10,0,0,86,97,0,10,5,0,111,59,3,6,0,0,70,26,0,3,0,0,35,13,0,0,0,0,17,0,0,0,0,0,0,0,0,0,4,0,3,655,8,36,5,3,714,83,0,0,0,0,83,47,0,0,0,0,47,48,0,5,0,0,52,73,0,8,0,0,80,100,0,7,0,0,109,91,0,4,3,0,100,89,0,3,0,0,96,78,5,0,0,0,87,80,3,10,3,0,94,66,0,0,0,0,66,27,0,4,0,0,35,8,0,0,0,0,14,5,0,0,0,0,4,800,14,41,13,3,870,99,3,0,0,4,104,33,0,0,3,5,43,1588,26,83,26,12,1733,78,0,0,0,0,78,207,0,4,0,0,206,238,4,7,0,3,249,284,0,0,0,0,288,361,10,8,0
501021010,0,0,0,16,14,4,0,0,0,16,15,0,0,0,0,24,18,0,0,0,0,21,14,4,0,0,0,21,20,0,3,0,0,19,19,0,6,0,0,25,16,0,4,0,0,18,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,163,21,14,3,4,198,30,0,0,0,0,32,7,0,0,0,0,7,8,0,0,0,0,8,13,0,0,3,0,15,24,0,3,0,0,36,24,0,10,0,0,33,16,0,3,0,0,23,18,0,4,0,0,17,14,0,0,0,0,18,13,6,3,0,0,22,7,0,10,6,0,24,5,0,0,0,0,7,0,0,0,0,0,3,177,15,36,19,0,252,14,0,3,0,4,26,9,0,0,0,0,11,360,33,61,27,11,488,38,0,0,0,0,38,87,0,0,0,0,90,83,0,5,0,0,90,98,9,7,0,0,110,105,0,4,3
