POW_SA2_CODE_2021,P_Pakistan_E,P_Pakistan_OM_IE,P_Pakistan_OM_UIE,P_Pakistan_CFW,P_Pakistan_ES_NS,P_Pakistan_Tot,P_Philippines_E,P_Philippines_OM_IE,P_Philippines_OM_UIE,P_Philippines_CFW,P_Philippines_ES_NS,P_Philippines_Tot,P_Poland_E,P_Poland_OM_IE,P_Poland_OM_UIE,P_Poland_CFW,P_Poland_ES_NS,P_Poland_Tot,P_Singapore_E,P_Singapore_OM_IE,P_Singapore_OM_UIE,P_Singapore_CFW,P_Singapore_ES_NS,P_Singapore_Tot,P_SthAfrica_E,P_SthAfrica_OM_IE,P_SthAfrica_OM_UIE,P_SthAfrica_CFW,P_SthAfrica_ES_NS,P_SthAfrica_Tot,P_SriLanka_E,P_SriLanka_OM_IE,P_SriLanka_OM_UIE,P_SriLanka_CFW,P_SriLanka_ES_NS,P_SriLanka_Tot,P_Taiwan_E,P_Taiwan_OM_IE,P_Taiwan_OM_UIE,P_Taiwan_CFW,P_Taiwan_ES_NS,P_Taiwan_Tot,P_Thailand_E,P_Thailand_OM_IE,P_Thailand_OM_UIE,P_Thailand_CFW,P_Thailand_ES_NS,P_Thailand_Tot,P_UK_E,P_UK_OM_IE,P_UK_OM_UIE,P_UK_CFW,P_UK_ES_NS,P_UK_Tot,P_USA_E,P_USA_OM_IE,P_USA_OM_UIE,P_USA_CFW,P_USA_ES_NS,P_USA_Tot,P_Vietnam_E,P_Vietnam_OM_IE,P_Vietnam_OM_UIE,P_Vietnam_CFW,P_Vietnam_ES_NS,P_Vietnam_Tot,P_Elsewhere_E,P_Elsewhere_OM_IE,P_Elsewhere_OM_UIE,P_Elsewhere_CFW,P_Elsewhere_ES_NS,P_Elsewhere_Tot,P_COB_NS_E,P_COB_NS_OM_IE,P_COB_NS_OM_UIE,P_COB_NS_CFW,P_COB_NS_ES_NS,P_COB_NS_Tot,P_Tot_E,P_Tot_OM_IE,P_Tot_OM_UIE,P_Tot_CFW,P_Tot_ES_NS,P_Tot_Tot
501011001,5,0,0,0,0,5,29,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,14,4,4,3,0,28,0,0,0,0,0,0,4,0,0,0,0,3,4,0,0,0,0,3,130,19,43,25,4,222,10,3,6,3,0,22,0,0,4,0,0,5,59,9,13,0,0,82,14,0,8,5,0,27,1419,220,388,160,32,2224
501011003,7,0,0,0,0,4,17,0,0,0,0,19,4,0,0,0,0,6,3,0,0,0,0,6,50,10,11,4,0,80,15,0,0,0,0,16,31,0,0,0,0,32,14,0,0,0,0,16,292,68,84,20,3,466,21,6,3,0,0,31,7,6,3,0,0,20,152,17,26,7,0,202,37,8,12,5,0,63,3430,605,803,202,66,5109
501011004,0,0,0,0,0,0,36,0,0,0,0,36,0,0,4,0,0,7,5,0,0,0,0,6,41,9,13,0,0,67,5,0,0,0,0,5,13,0,0,0,0,12,11,0,0,0,0,15,283,33,91,14,5,432,11,6,7,0,0,29,8,0,0,0,0,17,212,8,31,0,0,257,27,3,0,3,0,37,3119,342,673,80,44,4258
501011293,9,0,0,0,0,9,35,0,0,0,0,39,5,0,0,0,0,5,13,0,0,0,0,14,69,3,7,0,0,85,0,0,0,0,0,0,7,0,0,0,0,9,21,0,0,0,0,20,351,29,49,3,6,437,19,3,0,0,0,21,15,0,6,0,0,27,75,6,17,3,5,105,24,4,3,0,4,30,4698,362,469,87,41,5664
501011294,3,0,0,0,0,3,46,0,0,0,0,46,0,0,0,0,0,0,6,0,0,0,0,6,81,11,17,0,0,107,7,0,0,0,0,10,4,0,0,0,0,4,22,0,0,0,0,22,351,18,55,7,0,437,9,0,0,0,0,9,7,4,0,0,0,9,140,9,20,0,0,167,25,0,4,0,6,32,4159,276,590,81,36,5145
501021005,5,0,0,0,0,5,22,0,3,0,0,26,3,0,0,0,0,8,0,0,0,0,0,4,48,3,9,3,0,66,4,0,0,0,0,4,7,0,0,0,0,7,3,0,0,0,0,11,206,12,30,0,4,244,5,0,0,0,0,12,0,3,0,0,0,5,75,4,5,0,0,90,8,0,0,0,0,10,2709,172,283,45,19,3224
501021007,0,0,0,0,0,0,5,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,21,5,5,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,60,0,14,0,3,85,6,0,0,0,0,6,3,0,3,0,0,8,24,0,7,0,0,31,6,0,0,0,0,8,1003,102,194,61,13,1371
501021008,5,0,0,0,0,5,76,0,0,0,0,76,5,0,0,0,0,11,8,0,0,0,0,13,99,0,5,0,0,105,21,3,0,0,0,21,0,0,0,0,0,0,6,0,0,0,0,6,336,5,8,0,0,349,7,0,0,0,0,7,4,0,0,0,0,4,148,6,0,0,0,151,14,0,0,0,0,12,3522,34,93,7,18,3678
501021009,8,0,0,0,0,8,34,0,0,0,0,34,9,0,0,0,0,9,6,0,0,0,0,6,85,0,3,0,0,92,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,4,211,6,13,0,0,236,3,0,0,0,0,7,7,0,0,0,0,7,70,0,9,0,0,79,25,4,0,0,0,30,4459,91,151,46,30,4774
501021010,0,0,0,0,0,0,14,0,0,0,0,14,5,0,0,0,0,5,3,0,0,0,0,3,14,8,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,4,5,0,0,80,0,0,0,0,0,7,0,0,0,0,0,0,34,5,4,0,0,46,7,0,5,0,0,12,1253,111,167,53,23,1603
501021011,0,0,0,0,0,0,95,0,0,0,0,97,3,0,0,0,0,3,6,0,0,0,0,6,99,0,0,0,0,104,0,0,0,0,0,0,25,0,0,0,0,25,5,0,0,0,0,9,233,12,6,7,0,252,9,0,0,0,0,11,0,0,0,0,0,0,105,7,0,3,0,114,25,0,0,0,4,27,3867,230,141,36,22,4295
501021012,6,0,0,0,0,6,30,0,0,0,0,34,0,0,0,0,0,0,3,0,0,0,0,3,51,0,3,0,0,59,0,0,0,0,0,0,9,0,0,0,0,9,3,0,0,0,0,3,112,7,12,5,0,145,3,0,0,0,0,4,6,0,0,3,0,9,42,0,9,0,0,46,11,0,0,0,0,9,1892,81,176,36,15,2202
501021014,7,0,0,0,0,7,277,0,0,0,8,284,3,0,0,0,0,3,5,0,0,0,0,5,98,0,3,0,0,102,0,0,0,0,0,0,52,0,0,0,0,52,14,0,0,0,0,10,232,11,20,12,0,272,14,0,0,0,0,15,6,0,0,0,0,4,187,7,5,0,0,195,28,4,4,7,0,44,4110,197,304,141,40,4786
501021015,0,0,0,0,0,0,143,0,0,0,0,148,0,0,0,0,0,0,8,0,0,0,0,8,132,0,4,0,0,137,4,0,0,0,0,4,23,0,0,0,0,23,6,0,0,0,0,4,272,8,25,0,3,308,12,0,0,0,0,13,5,0,3,0,0,11,112,0,7,3,0,120,23,0,0,0,0,24,4483,200,226,44,26,4974
501021016,0,0,0,0,0,0,26,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,30,0,0,0,0,0,0,5,0,0,0,0,5,3,0,0,0,0,5,139,3,11,4,3,161,7,0,0,0,0,6,0,0,0,0,0,0,40,0,4,0,0,41,26,7,3,7,5,37,2061,79,114,47,24,2327
501021251,0,0,0,3,0,3,33,0,8,0,0,42,3,0,0,0,0,3,3,0,5,0,0,7,37,3,6,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,18,0,0,100,4,0,0,0,0,3,3,0,6,0,0,7,22,3,8,0,0,29,3,0,0,0,0,6,1035,52,148,19,3,1257
501021252,0,0,0,0,0,0,12,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,13,5,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,12,0,0,47,5,0,0,0,0,3,0,0,0,0,0,0,19,7,0,0,0,25,0,0,0,0,0,0,489,58,84,19,0,642
