POW_SA2_CODE_2021,M_NegNilInc_E,M_NegNilInc_OM_IE,M_NegNilInc_OM_UIE,M_NegNilInc_CFW,M_NegNilInc_ES_NS,M_NegNilInc_Tot,M_1_149_E,M_1_149_OM_IE,M_1_149_OM_UIE,M_1_149_CFW,M_1_149_ES_NS,M_1_149_Tot,M_150_299_E,M_150_299_OM_IE,M_150_299_OM_UIE,M_150_299_CFW,M_150_299_ES_NS,M_150_299_Tot,M_300_399_E,M_300_399_OM_IE,M_300_399_OM_UIE,M_300_399_CFW,M_300_399_ES_NS,M_300_399_Tot,M_400_499_E,M_400_499_OM_IE,M_400_499_OM_UIE,M_400_499_CFW,M_400_499_ES_NS,M_400_499_Tot,M_500_649_E,M_500_649_OM_IE,M_500_649_OM_UIE,M_500_649_CFW,M_500_649_ES_NS,M_500_649_Tot,M_650_799_E,M_650_799_OM_IE,M_650_799_OM_UIE,M_650_799_CFW,M_650_799_ES_NS,M_650_799_Tot,M_800_999_E,M_800_999_OM_IE,M_800_999_OM_UIE,M_800_999_CFW,M_800_999_ES_NS,M_800_999_Tot,M_1000_1249_E,M_1000_1249_OM_IE,M_1000_1249_OM_UIE,M_1000_1249_CFW,M_1000_1249_ES_NS,M_1000_1249_Tot,M_1250_1499_E,M_1250_1499_OM_IE,M_1250_1499_OM_UIE,M_1250_1499_CFW,M_1250_1499_ES_NS,M_1250_1499_Tot,M_1500_1749_E,M_1500_1749_OM_IE,M_1500_1749_OM_UIE,M_1500_1749_CFW,M_1500_1749_ES_NS,M_1500_1749_Tot,M_1750_1999_E,M_1750_1999_OM_IE,M_1750_1999_OM_UIE,M_1750_1999_CFW,M_1750_1999_ES_NS,M_1750_1999_Tot,M_2000_2999_E,M_2000_2999_OM_IE,M_2000_2999_OM_UIE,M_2000_2999_CFW,M_2000_2999_ES_NS,M_2000_2999_Tot,M_3000_3499_E,M_3000_3499_OM_IE,M_3000_3499_OM_UIE,M_3000_3499_CFW,M_3000_3499_ES_NS,M_3000_3499_Tot,M_3500mo_E,M_3500mo_OM_IE,M_3500mo_OM_UIE,M_3500mo_CFW,M_3500mo_ES_NS,M_3500mo_Tot,M_PersInc_NS_E,M_PersInc_NS_OM_IE,M_PersInc_NS_OM_UIE,M_PersInc_NS_CFW,M_PersInc_NS_ES_NS,M_PersInc_NS_Tot,M_Tot_E,M_Tot_OM_IE,M_Tot_OM_UIE,M_Tot_CFW,M_Tot_ES_NS,M_Tot_Tot,F_NegNilInc_E,F_NegNilInc_OM_IE,F_NegNilInc_OM_UIE,F_NegNilInc_CFW,F_NegNilInc_ES_NS,F_NegNilInc_Tot,F_1_149_E,F_1_149_OM_IE,F_1_149_OM_UIE,F_1_149_CFW,F_1_149_ES_NS,F_1_149_Tot,F_150_299_E,F_150_299_OM_IE,F_150_299_OM_UIE,F_150_299_CFW,F_150_299_ES_NS,F_150_299_Tot,F_300_399_E,F_300_399_OM_IE,F_300_399_OM_UIE,F_300_399_CFW,F_300_399_ES_NS,F_300_399_Tot,F_400_499_E,F_400_499_OM_IE,F_400_499_OM_UIE,F_400_499_CFW,F_400_499_ES_NS,F_400_499_Tot,F_500_649_E,F_500_649_OM_IE,F_500_649_OM_UIE,F_500_649_CFW,F_500_649_ES_NS,F_500_649_Tot,F_650_799_E,F_650_799_OM_IE,F_650_799_OM_UIE,F_650_799_CFW,F_650_799_ES_NS,F_650_799_Tot,F_800_999_E,F_800_999_OM_IE,F_800_999_OM_UIE,F_800_999_CFW,F_800_999_ES_NS,F_800_999_Tot,F_1000_1249_E,F_1000_1249_OM_IE,F_1000_1249_OM_UIE,F_1000_1249_CFW,F_1000_1249_ES_NS,F_1000_1249_Tot,F_1250_1499_E,F_1250_1499_OM_IE,F_1250_1499_OM_UIE,F_1250_1499_CFW,F_1250_1499_ES_NS,F_1250_1499_Tot,F_1500_1749_E,F_1500_1749_OM_IE,F_1500_1749_OM_UIE,F_1500_1749_CFW,F_1500_1749_ES_NS,F_1500_1749_Tot,F_1750_1999_E,F_1750_1999_OM_IE,F_1750_1999_OM_UIE,F_1750_1999_CFW,F_1750_1999_ES_NS,F_1750_1999_Tot,F_2000_2999_E,F_2000_2999_OM_IE,F_2000_2999_OM_UIE,F_2000_2999_CFW,F_2000_2999_ES_NS,F_2000_2999_Tot,F_3000_3499_E,F_3000_3499_OM_IE,F_3000_3499_OM_UIE,F_3000_3499_CFW,F_3000_3499_ES_NS,F_3000_3499_Tot,F_3500mo_E,F_3500mo_OM_IE,F_3500mo_OM_UIE,F_3500mo_CFW,F_3500mo_ES_NS,F_3500mo_Tot,F_PersInc_NS_E,F_PersInc_NS_OM_IE,F_PersInc_NS_OM_UIE,F_PersInc_NS_CFW,F_PersInc_NS_ES_NS,F_PersInc_NS_Tot,F_Tot_E,F_Tot_OM_IE
501011001,0,0,4,6,0,10,20,0,0,0,0,22,10,0,5,3,0,24,13,6,17,7,0,37,23,0,20,14,0,61,35,6,30,7,0,77,69,9,22,13,0,110,93,23,33,9,0,158,128,20,20,9,0,185,91,15,21,3,0,127,61,17,21,3,4,103,35,17,8,4,0,64,48,25,11,7,4,94,6,3,6,3,0,11,15,10,4,5,0,37,6,4,3,3,6,14,653,143,227,90,24,1135,4,0,4,7,0,16,32,0,13,5,0,56,38,0,8,9,0,54,45,3,13,9,0,67,68,0,23,11,0,100,105,3,23,5,0,132,131,7,18,12,0,165,110,18,18,6,0,154,83,11,20,0,0,118,60,5,4,0,0,68,33,7,5,5,0,54,24,3,8,0,0,31,18,5,7,0,5,36,0,0,0,0,0,6,6,0,3,7,0,13,6,4,5,0,0,10,766,73
501011003,3,4,0,18,0,25,96,3,3,0,0,103,27,4,12,4,0,47,28,7,8,12,0,58,57,5,12,3,0,80,77,13,31,17,0,141,127,20,35,4,4,188,241,36,48,7,0,330,279,40,75,12,7,408,198,41,63,5,10,310,146,41,36,5,5,230,90,48,39,3,3,179,134,53,34,3,3,231,42,19,8,0,0,74,33,49,21,0,4,107,9,3,7,4,0,22,1585,387,431,98,40,2535,7,0,0,15,0,28,111,0,10,4,0,124,80,3,24,11,0,118,80,3,22,6,0,110,144,5,31,0,3,187,214,21,40,14,3,289,283,12,51,8,0,364,288,20,50,0,0,359,264,30,42,5,3,348,162,13,30,9,0,219,72,24,23,10,6,132,49,19,18,3,0,90,51,33,23,6,0,110,9,11,8,5,0,25,3,21,12,8,0,43,14,0,5,5,7,35,1846,222
501011004,3,0,0,3,0,11,72,0,3,0,0,77,37,0,11,0,0,47,30,0,11,0,5,46,59,0,4,6,0,77,79,9,24,3,0,117,126,6,29,0,5,172,147,16,43,0,6,214,270,32,60,0,3,367,141,25,46,0,3,210,104,34,39,0,0,181,69,15,30,6,0,120,103,42,30,7,0,178,14,9,4,0,0,29,17,17,11,4,0,56,12,3,0,0,0,16,1286,221,355,32,21,1918,8,0,4,6,0,14,105,0,17,7,0,128,70,0,20,4,0,93,94,3,31,9,0,128,143,3,33,3,0,176,205,6,39,3,5,258,252,11,24,3,0,291,285,10,36,3,0,336,236,16,41,4,0,292,144,14,25,3,0,195,109,11,24,0,6,151,78,4,10,0,0,94,82,14,8,6,4,113,10,3,4,0,0,23,10,9,7,0,0,24,10,0,0,0,3,14,1827,118
501011293,12,0,4,10,0,16,108,3,4,4,0,119,70,0,4,0,0,76,67,0,3,4,0,71,78,4,12,4,0,100,119,7,19,0,0,145,161,7,26,3,5,203,232,18,26,4,5,286,317,21,38,3,4,381,257,25,35,0,0,313,203,29,20,0,0,257,142,19,18,0,0,173,191,43,30,0,0,254,37,18,7,0,0,64,26,29,23,0,0,82,23,0,4,0,0,34,2027,233,256,41,20,2574,6,0,0,6,0,16,171,0,5,8,0,186,122,0,18,8,0,149,133,0,20,0,0,158,172,8,23,8,0,208,326,6,22,9,3,359,371,11,17,0,0,404,378,24,13,3,7,419,384,12,24,4,3,430,219,16,16,0,0,250,146,19,8,0,0,175,99,7,10,3,0,112,107,13,22,0,0,138,14,7,3,0,0,28,8,14,10,0,0,29,16,0,6,0,3,27,2672,134
501011294,7,0,3,3,0,16,75,0,4,4,0,80,53,0,0,0,0,57,25,0,9,0,0,38,52,0,19,4,0,73,100,4,29,7,0,135,119,5,16,8,0,149,146,16,29,3,0,190,194,18,48,0,0,260,144,22,39,4,3,212,113,28,31,3,0,179,104,17,19,7,4,149,152,22,37,3,0,219,23,7,9,0,0,37,34,19,25,0,0,78,16,0,0,0,0,18,1358,172,308,36,16,1890,13,0,6,6,0,24,98,4,9,5,0,117,110,0,12,0,0,130,135,8,23,6,0,161,160,3,25,3,0,196,290,12,35,5,3,341,426,7,27,0,3,469,390,15,30,0,0,439,392,3,32,3,5,431,241,10,18,0,3,270,185,12,21,0,0,216,144,14,13,5,0,179,147,13,16,3,0,174,24,0,8,0,0,31,26,5,12,0,0,46,23,0,8,0,4,29,2803,102
501021005,3,0,0,5,0,10,49,0,0,0,0,53,38,0,4,0,3,46,28,4,5,0,0,41,29,0,4,0,4,39,45,6,8,3,0,63,55,9,15,5,0,74,96,9,17,0,0,122,126,18,18,0,0,161,90,10,20,0,0,122,104,13,13,0,0,118,109,11,14,0,0,132,191,17,8,0,0,217,35,8,0,0,0,51,42,5,4,0,0,56,10,5,0,0,0,12,1067,108,128,18,11,1330,4,0,0,0,0,7,98,0,8,6,0,115,88,0,9,6,0,105,82,5,21,4,0,115,100,0,20,0,0,125,172,6,24,3,0,205,264,7,11,4,0,281,241,12,18,0,0,269,174,5,14,6,0,198,115,3,13,0,0,128,96,12,9,0,0,109,76,8,3,0,0,89,109,7,3,0,0,121,6,0,6,0,0,13,5,0,6,0,0,11,12,0,0,0,0,14,1646,67
501021007,0,3,0,0,0,8,11,0,0,0,0,17,3,0,0,0,0,13,3,0,4,5,0,11,9,0,10,3,0,20,19,8,5,0,0,30,25,3,11,5,0,48,44,4,11,3,0,64,45,12,9,0,0,67,60,4,14,3,0,83,56,11,6,0,0,72,59,3,15,0,0,70,113,8,11,0,0,139,25,0,6,0,0,28,20,8,3,0,0,36,7,0,3,0,0,12,504,66,107,29,3,716,4,0,0,5,0,14,31,0,3,4,0,30,22,0,10,4,0,37,23,0,8,7,0,41,40,0,9,0,0,51,60,3,4,4,0,69,65,3,10,5,0,76,61,6,13,3,0,78,73,6,11,0,0,90,32,0,9,0,0,47,29,3,0,3,0,37,25,0,3,0,0,31,26,4,6,0,0,33,5,0,0,0,0,5,3,3,0,0,0,8,6,3,3,0,0,7,493,33
501021008,4,0,0,0,0,7,46,0,0,0,0,46,16,0,0,0,0,20,15,0,0,0,0,12,13,0,6,0,0,21,40,0,5,0,0,42,47,0,3,0,0,53,49,0,6,0,0,65,107,5,7,0,0,112,86,3,3,0,0,95,147,0,0,0,0,155,132,3,0,0,0,135,191,0,0,0,0,198,38,0,0,0,0,42,57,8,14,0,0,83,9,0,4,0,0,14,1006,23,55,0,7,1088,10,0,0,0,0,10,64,0,6,0,0,69,68,0,4,0,0,75,53,0,4,0,3,59,101,0,0,0,0,105,186,0,6,0,0,190,262,0,3,7,7,270,288,0,4,0,0,294,368,0,3,0,0,374,335,0,3,0,0,338,308,0,0,0,3,306,183,0,0,0,0,183,229,4,0,0,0,228,16,0,0,0,0,18,27,4,10,0,0,43,16,0,0,0,0,16,2516,16
501021009,8,0,6,3,0,18,42,0,0,0,0,42,25,0,0,3,0,25,28,0,7,5,3,40,31,0,5,0,0,36,34,3,6,6,0,52,67,3,7,0,4,85,97,4,3,6,0,114,167,8,11,0,0,184,190,4,5,0,0,199,277,10,0,0,0,284,375,4,3,0,3,381,1039,11,6,0,0,1053,261,8,3,0,0,269,209,11,3,0,4,223,28,0,0,0,0,33,2874,65,71,17,16,3043,5,0,5,9,0,8,64,0,0,0,0,69,76,0,10,0,0,85,87,0,4,0,4,96,123,3,9,3,0,138,177,0,11,0,0,199,189,0,6,0,6,197,180,0,10,0,0,191,178,3,10,0,0,193,123,0,5,0,0,136,120,10,4,0,0,134,84,0,0,0,0,93,150,0,7,0,0,151,11,3,0,0,0,9,22,3,4,0,0,28,7,0,0,0,0,14,1588,26
501021010,3,0,0,6,0,8,17,0,0,3,0,23,8,0,0,0,0,15,10,0,3,0,0,11,14,6,3,0,0,22,34,5,10,0,0,50,27,0,6,0,0,35,65,9,18,0,0,96,114,8,12,4,4,145,129,5,12,0,0,149,130,10,12,5,0,152,138,4,8,0,0,151,163,22,6,0,0,194,15,3,4,0,0,26,16,7,3,0,0,29,5,0,5,0,0,11,890,80,110,27,14,1117,0,0,3,0,0,7,25,0,6,5,0,41,24,0,6,0,0,33,18,0,4,0,0,22,30,0,5,4,0,30,39,0,6,3,0,54,29,6,4,0,0,41,40,3,7,0,0,53,57,8,3,0,0,71,29,6,4,0,0,38,22,0,3,0,0,29,17,6,3,3,0,23,29,5,0,0,0,28,0,0,0,0,0,8,3,0,0,0,0,4,7,0,0,0,0,7,360,33
