POW_SA2_CODE_2021,AGFF_Bf_91,AGFF_91_95,AGFF_96_00,AGFF_01_05,AGFF_06_10,AGFF_11_15,AGFF_16_20,AGFF_2021,AGFF_NS,AGFF_Tot,Min_Bf_91,Min_91_95,Min_96_00,Min_01_05,Min_06_10,Min_11_15,Min_16_20,Min_2021,Min_NS,Min_Tot,Mnf_Bf_91,Mnf_91_95,Mnf_96_00,Mnf_01_05,Mnf_06_10,Mnf_11_15,Mnf_16_20,Mnf_2021,Mnf_NS,Mnf_Tot,EGWWS_Bf_91,EGWWS_91_95,EGWWS_96_00,EGWWS_01_05,EGWWS_06_10,EGWWS_11_15,EGWWS_16_20,EGWWS_2021,EGWWS_NS,EGWWS_Tot,Const_Bf_91,Const_91_95,Const_96_00,Const_01_05,Const_06_10,Const_11_15,Const_16_20,Const_2021,Const_NS,Const_Tot,WST_Bf_91,WST_91_95,WST_96_00,WST_01_05,WST_06_10,WST_11_15,WST_16_20,WST_2021,WST_NS,WST_Tot,RetT_Bf_91,RetT_91_95,RetT_96_00,RetT_01_05,RetT_06_10,RetT_11_15,RetT_16_20,RetT_2021,RetT_NS,RetT_Tot,AcFd_Bf_91,AcFd_91_95,AcFd_96_00,AcFd_01_05,AcFd_06_10,AcFd_11_15,AcFd_16_20,AcFd_2021,AcFd_NS,AcFd_Tot,TPW_Bf_91,TPW_91_95,TPW_96_00,TPW_01_05,TPW_06_10,TPW_11_15,TPW_16_20,TPW_2021,TPW_NS,TPW_Tot,IMT_Bf_91,IMT_91_95,IMT_96_00,IMT_01_05,IMT_06_10,IMT_11_15,IMT_16_20,IMT_2021,IMT_NS,IMT_Tot,FinIns_Bf_91,FinIns_91_95,FinIns_96_00,FinIns_01_05,FinIns_06_10,FinIns_11_15,FinIns_16_20,FinIns_2021,FinIns_NS,FinIns_Tot,RHRE_Bf_91,RHRE_91_95,RHRE_96_00,RHRE_01_05,RHRE_06_10,RHRE_11_15,RHRE_16_20,RHRE_2021,RHRE_NS,RHRE_Tot,ProSTS_Bf_91,ProSTS_91_95,ProSTS_96_00,ProSTS_01_05,ProSTS_06_10,ProSTS_11_15,ProSTS_16_20,ProSTS_2021,ProSTS_NS,ProSTS_Tot,AdSup_Bf_91,AdSup_91_95,AdSup_96_00,AdSup_01_05,AdSup_06_10,AdSup_11_15,AdSup_16_20,AdSup_2021,AdSup_NS,AdSup_Tot,PubAS_Bf_91,PubAS_91_95,PubAS_96_00,PubAS_01_05,PubAS_06_10,PubAS_11_15,PubAS_16_20,PubAS_2021,PubAS_NS,PubAS_Tot,EducTraining_Bf_91,EducTraining_91_95,EducTraining_96_00,EducTraining_01_05,EducTraining_06_10,EducTraining_11_15,EducTraining_16_20,EducTraining_2021,EducTraining_NS,EducTraining_Tot,HlthCareSocAssist_Bf_91,HlthCareSocAssist_91_95,HlthCareSocAssist_96_00,HlthCareSocAssist_01_05,HlthCareSocAssist_06_10,HlthCareSocAssist_11_15,HlthCareSocAssist_16_20,HlthCareSocAssist_2021,HlthCareSocAssist_NS,HlthCareSocAssist_Tot,ArtsRecreation_Bf_91,ArtsRecreation_91_95,ArtsRecreation_96_00,ArtsRecreation_01_05,ArtsRecreation_06_10,ArtsRecreation_11_15,ArtsRecreation_16_20,ArtsRecreation_2021,ArtsRecreation_NS,ArtsRecreation_Tot,OthServices_Bf_91,OthServices_91_95,OthServices_96_00,OthServices_01_05,OthServices_06_10,OthServices_11_15,OthServices_16_20,OthServices_2021,OthServices_NS,OthServices_Tot,ID_NS_Bf_91,ID_NS_91_95,ID_NS_96_00,ID_NS_01_05,ID_NS_06_10,ID_NS_11_15,ID_NS_16_20,ID_NS_2021,ID_NS_NS,ID_NS_Tot
501011001,43,10,11,9,8,17,39,0,0,133,0,0,0,0,3,0,0,0,0,3,19,7,8,18,30,18,19,0,0,118,5,0,0,0,0,0,0,0,0,5,11,3,6,7,10,3,0,0,0,36,3,0,0,0,3,0,0,0,0,6,16,3,4,3,4,6,5,0,0,44,22,0,3,9,11,15,8,0,3,73,6,0,3,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,8,5,4,3,4,5,0,4,0,0,22,4,0,3,0,0,0,3,0,0,14,11,0,0,3,0,0,0,0,0,12,13,0,3,4,6,0,0,0,0,34,7,0,5,8,7,0,0,0,4,28,3,0,0,0,0,0,0,0,0,13,0,0,0,0,5,0,0,0,0,7,9,0,5,0,3,0,3,0,0,27
501011003,38,10,9,12,20,20,25,3,9,133,7,0,0,0,0,0,0,0,0,10,52,10,17,17,30,48,46,0,3,226,7,0,0,0,0,0,0,0,0,6,38,11,6,11,12,10,4,0,7,100,8,0,6,0,0,0,0,0,0,18,37,10,10,11,24,19,0,0,0,110,41,15,20,25,59,90,100,0,6,367,7,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,8,0,0,6,0,0,0,0,0,13,11,0,0,3,5,3,0,0,0,26,33,3,3,9,12,6,3,0,0,67,20,0,4,0,5,9,14,0,0,60,10,0,0,0,0,0,0,0,0,11,15,3,10,4,11,3,0,0,0,52,26,3,3,8,4,9,11,0,8,68,12,0,3,0,0,6,3,0,7,28,6,5,4,3,3,8,7,0,0,32,14,0,6,4,11,8,5,0,4,59
501011004,7,0,0,3,7,3,10,0,46,82,0,0,0,0,0,3,0,0,0,4,22,3,4,5,18,22,34,0,5,104,3,0,0,0,0,0,0,0,0,3,19,6,8,11,8,11,4,0,0,62,6,0,5,0,0,0,4,0,0,14,41,10,8,16,19,29,10,0,5,133,45,8,15,19,38,60,53,0,4,248,14,3,4,0,4,0,3,0,0,30,3,0,0,0,0,0,0,0,0,5,6,0,4,4,0,0,0,0,0,16,8,5,0,4,3,0,5,0,0,24,22,0,9,4,10,3,4,0,0,67,19,0,5,4,8,14,8,0,4,58,19,0,3,7,7,6,0,0,0,45,45,11,12,12,18,6,4,0,0,106,48,12,7,12,22,24,21,0,0,149,15,0,0,3,5,5,0,0,0,23,16,5,0,0,10,15,7,0,0,55,24,0,0,3,7,10,9,0,4,61
501011293,4,0,0,0,0,5,6,0,0,12,5,0,3,0,0,0,0,0,0,9,13,0,5,4,6,10,7,0,0,48,0,0,0,0,0,0,0,0,0,3,30,0,8,5,3,8,8,0,0,57,11,0,0,0,0,5,4,0,0,17,65,4,9,12,26,24,13,0,6,166,34,3,8,19,33,48,27,0,4,173,33,0,4,4,4,8,0,0,0,61,3,0,0,0,5,0,0,0,0,11,8,5,0,0,5,0,0,0,0,24,9,0,0,3,0,6,0,0,0,27,25,0,4,6,9,3,0,0,0,58,17,0,0,0,8,5,5,0,0,41,34,6,9,12,19,9,7,0,0,95,36,5,10,8,13,7,0,0,0,85,44,12,10,15,21,19,5,0,0,137,3,0,0,3,0,0,0,0,0,10,15,0,5,8,5,8,11,0,0,61,16,5,3,3,0,3,0,0,3,36
501011294,4,0,0,3,0,7,0,3,0,14,0,0,0,0,0,0,0,0,0,0,10,0,3,0,9,9,0,0,0,35,0,0,0,0,8,7,0,0,0,18,22,3,3,6,10,3,0,0,0,48,4,0,3,0,0,0,0,0,0,4,40,3,6,10,21,15,8,0,0,97,40,3,3,13,46,39,31,0,0,192,6,0,0,0,3,5,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,3,18,0,7,4,7,18,4,0,0,51,11,0,5,4,4,6,5,0,0,36,3,0,0,0,0,0,0,0,0,7,74,10,13,22,31,13,0,0,0,162,136,18,35,51,87,76,47,0,8,450,0,3,0,0,0,5,0,0,0,7,11,0,0,8,11,11,0,0,0,35,13,4,0,0,6,4,3,0,3,38
501021005,0,0,0,0,0,0,6,0,0,7,18,0,0,10,20,9,4,0,0,57,5,0,0,3,3,0,5,0,0,21,0,0,0,0,0,0,0,0,0,5,28,0,10,10,16,14,0,0,0,85,0,0,0,0,0,0,0,0,0,6,18,0,6,4,22,22,3,0,0,85,4,0,6,0,22,26,16,0,0,74,4,0,0,0,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,18,0,0,4,10,0,8,0,0,31,5,0,5,0,0,0,3,0,0,15,7,0,4,4,4,3,0,0,0,22,76,7,6,16,28,23,10,0,0,167,19,6,9,12,19,26,8,0,0,97,0,0,4,3,3,0,0,0,0,16,13,3,3,0,3,3,0,0,0,27,3,0,4,9,3,7,0,0,8,30
501021007,7,0,3,4,11,7,10,0,0,33,14,3,3,4,9,0,0,0,0,33,0,0,0,5,0,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,3,4,0,0,22,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,17,3,0,0,0,0,0,0,0,0,5,5,0,0,0,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,3,6,0,0,0,5,0,0,0,0,13,3,6,0,0,0,6,0,0,0,17,9,4,8,6,9,0,0,0,0,39,5,6,0,0,0,0,5,0,0,8,6,0,0,0,0,0,0,0,0,4,5,0,0,3,0,0,0,0,0,13,3,0,0,0,0,0,0,0,0,5
501021008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,14,0,6,7,3,5,4,0,0,33,3,0,3,0,0,0,0,0,0,9,9,0,0,5,14,12,0,0,0,40,0,0,0,3,11,12,8,0,0,44,9,0,0,0,0,0,0,0,0,11,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,8,3,0,0,0,6,0,0,0,0,10,36,4,10,13,21,12,8,0,0,111,39,6,5,7,19,11,0,0,3,95,180,20,41,71,149,146,97,6,10,730,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,10,8,0,0,3,0,0,0,0,3,17
501021009,3,0,0,0,0,0,0,0,0,3,24,8,0,7,19,10,5,0,4,76,61,14,14,26,52,33,9,0,4,210,43,0,5,10,23,12,5,0,3,99,22,0,9,4,9,7,0,0,3,48,0,0,0,0,0,0,0,0,0,8,15,0,0,0,5,4,7,0,0,36,14,0,4,7,7,5,7,0,0,39,6,0,0,0,5,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,4,0,0,0,12,9,0,0,0,0,0,0,0,0,13,12,9,3,0,5,3,0,0,0,27,31,0,0,0,5,0,0,0,4,38,31,0,4,9,12,17,7,0,0,66,0,0,0,0,0,0,0,0,0,3,6,3,0,6,3,4,0,0,0,20,7,0,0,0,10,3,0,0,4,31
501021010,16,6,6,0,9,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,25,10,8,8,26,19,11,0,0,101,3,0,0,0,0,0,0,0,0,8,7,0,0,4,0,0,6,0,0,23,5,0,0,3,0,0,0,0,0,6,5,0,3,0,0,0,0,0,0,8,0,6,0,0,3,3,0,0,0,17,15,4,6,0,7,3,5,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,0,0,0,0,7,9,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,0,0,0,9,4,0,0,16
