POW_SA2_CODE_2021,F_IDNS_H_0,F_IDNS_H_1_19,F_IDNS_H_20_29,F_IDNS_H_30_34,F_IDNS_H_35_39,F_IDNS_H_40_44,F_IDNS_H_45_49,F_IDNS_H_50ov,F_IDNS_H_NS,F_IDNS_H_Tot,F_Tot_H_0,F_Tot_H_1_19,F_Tot_H_20_29,F_Tot_H_30_34,F_Tot_H_35_39,F_Tot_H_40_44,F_Tot_H_45_49,F_Tot_H_50ov,F_Tot_H_NS,F_Tot_H_Tot,P_AgFF_H_0,P_AgFF_H_1_19,P_AgFF_H_20_29,P_AgFF_H_30_34,P_AgFF_H_35_39,P_AgFF_H_40_44,P_AgFF_H_45_49,P_AgFF_H_50ov,P_AgFF_H_NS,P_AgFF_H_Tot,P_Min_H_0,P_Min_H_1_19,P_Min_H_20_29,P_Min_H_30_34,P_Min_H_35_39,P_Min_H_40_44,P_Min_H_45_49,P_Min_H_50ov,P_Min_H_NS,P_Min_H_Tot,P_Mnf_H_0,P_Mnf_H_1_19,P_Mnf_H_20_29,P_Mnf_H_30_34,P_Mnf_H_35_39,P_Mnf_H_40_44,P_Mnf_H_45_49,P_Mnf_H_50ov,P_Mnf_H_NS,P_Mnf_H_Tot,P_EGWWS_H_0,P_EGWWS_H_1_19,P_EGWWS_H_20_29,P_EGWWS_H_30_34,P_EGWWS_H_35_39,P_EGWWS_H_40_44,P_EGWWS_H_45_49,P_EGWWS_H_50ov,P_EGWWS_H_NS,P_EGWWS_H_Tot,P_Const_H_0,P_Const_H_1_19,P_Const_H_20_29,P_Const_H_30_34,P_Const_H_35_39,P_Const_H_40_44,P_Const_H_45_49,P_Const_H_50ov,P_Const_H_NS,P_Const_H_Tot,P_WST_H_0,P_WST_H_1_19,P_WST_H_20_29,P_WST_H_30_34,P_WST_H_35_39,P_WST_H_40_44,P_WST_H_45_49,P_WST_H_50ov,P_WST_H_NS,P_WST_H_Tot,P_RetT_H_0,P_RetT_H_1_19,P_RetT_H_20_29,P_RetT_H_30_34,P_RetT_H_35_39,P_RetT_H_40_44,P_RetT_H_45_49,P_RetT_H_50ov,P_RetT_H_NS,P_RetT_H_Tot,P_AcFd_H_0,P_AcFd_H_1_19,P_AcFd_H_20_29,P_AcFd_H_30_34,P_AcFd_H_35_39,P_AcFd_H_40_44,P_AcFd_H_45_49,P_AcFd_H_50ov,P_AcFd_H_NS,P_AcFd_H_Tot,P_TPW_H_0,P_TPW_H_1_19,P_TPW_H_20_29,P_TPW_H_30_34,P_TPW_H_35_39,P_TPW_H_40_44,P_TPW_H_45_49,P_TPW_H_50ov,P_TPW_H_NS,P_TPW_H_Tot,P_IMT_H_0,P_IMT_H_1_19,P_IMT_H_20_29,P_IMT_H_30_34,P_IMT_H_35_39,P_IMT_H_40_44,P_IMT_H_45_49,P_IMT_H_50ov,P_IMT_H_NS,P_IMT_H_Tot,P_FinIns_H_0,P_FinIns_H_1_19,P_FinIns_H_20_29,P_FinIns_H_30_34,P_FinIns_H_35_39,P_FinIns_H_40_44,P_FinIns_H_45_49,P_FinIns_H_50ov,P_FinIns_H_NS,P_FinIns_H_Tot,P_RHRE_H_0,P_RHRE_H_1_19,P_RHRE_H_20_29,P_RHRE_H_30_34,P_RHRE_H_35_39,P_RHRE_H_40_44,P_RHRE_H_45_49,P_RHRE_H_50ov,P_RHRE_H_NS,P_RHRE_H_Tot,P_ProSTS_H_0,P_ProSTS_H_1_19,P_ProSTS_H_20_29,P_ProSTS_H_30_34,P_ProSTS_H_35_39,P_ProSTS_H_40_44,P_ProSTS_H_45_49,P_ProSTS_H_50ov,P_ProSTS_H_NS,P_ProSTS_H_Tot,P_AdSup_H_0,P_AdSup_H_1_19,P_AdSup_H_20_29,P_AdSup_H_30_34,P_AdSup_H_35_39,P_AdSup_H_40_44,P_AdSup_H_45_49,P_AdSup_H_50ov,P_AdSup_H_NS,P_AdSup_H_Tot,P_PubAS_H_0,P_PubAS_H_1_19,P_PubAS_H_20_29,P_PubAS_H_30_34,P_PubAS_H_35_39,P_PubAS_H_40_44,P_PubAS_H_45_49,P_PubAS_H_50ov,P_PubAS_H_NS,P_PubAS_H_Tot,P_EdTrn_H_0,P_EdTrn_H_1_19,P_EdTrn_H_20_29,P_EdTrn_H_30_34,P_EdTrn_H_35_39,P_EdTrn_H_40_44,P_EdTrn_H_45_49,P_EdTrn_H_50ov,P_EdTrn_H_NS,P_EdTrn_H_Tot,P_HltHC_SA_H_0,P_HltHC_SA_H_1_19,P_HltHC_SA_H_20_29,P_HltHC_SA_H_30_34,P_HltHC_SA_H_35_39,P_HltHC_SA_H_40_44,P_HltHC_SA_H_45_49,P_HltHC_SA_H_50ov,P_HltHC_SA_H_NS,P_HltHC_SA_H_Tot,P_ArtsR_H_0,P_ArtsR_H_1_19,P_ArtsR_H_20_29,P_ArtsR_H_30_34,P_ArtsR_H_35_39,P_ArtsR_H_40_44,P_ArtsR_H_45_49,P_ArtsR_H_50ov,P_ArtsR_H_NS,P_ArtsR_H_Tot
501011001,0,16,10,7,3,4,3,4,3,49,76,284,220,105,131,131,43,82,20,1090,26,61,47,43,50,80,30,125,9,472,6,5,0,0,0,0,4,7,0,21,12,33,56,16,92,62,18,51,0,348,0,0,0,0,0,0,0,3,0,6,9,10,21,19,30,46,20,37,0,200,0,5,6,0,10,3,0,0,0,31,12,50,31,27,17,21,3,16,7,186,17,66,47,30,26,34,6,35,0,247,0,19,6,5,4,0,0,6,0,39,0,0,4,0,3,0,0,0,0,5,0,4,3,0,0,0,0,0,0,14,5,6,0,4,7,10,0,5,0,24,0,20,8,9,13,14,0,11,0,73,0,20,13,8,10,4,6,5,0,63,4,4,3,7,8,3,0,3,0,35,14,28,30,11,23,21,11,18,3,160,13,27,23,11,5,17,6,12,0,101,4,6,6,0,4,3,0,5,0,30
501011003,6,21,23,18,6,16,3,5,16,117,142,639,536,316,323,337,100,135,41,2574,21,52,52,43,63,105,50,136,7,521,9,4,0,3,4,15,4,18,0,60,39,78,86,64,135,166,49,77,3,700,0,0,3,0,3,9,0,0,0,18,21,54,57,46,83,143,29,106,14,564,0,10,17,10,13,14,5,9,0,76,31,127,85,48,56,52,14,30,5,446,46,230,159,96,156,133,62,72,12,965,4,20,7,11,4,5,0,10,0,65,0,8,5,3,0,6,0,0,0,11,4,5,12,8,5,17,5,7,0,57,3,25,20,13,19,27,10,14,0,123,13,43,42,31,29,49,12,34,5,257,11,50,41,25,35,43,11,23,3,249,6,11,0,0,7,15,0,4,0,42,18,53,50,33,22,23,14,28,5,244,13,47,46,24,29,27,4,12,4,208,3,31,20,8,10,16,3,0,3,94
501011004,3,24,13,8,6,11,0,5,16,86,153,605,489,305,284,252,91,129,32,2336,0,11,6,6,13,66,7,14,0,133,0,8,0,0,0,3,3,5,0,19,18,23,38,46,61,60,18,24,0,290,0,0,0,5,3,3,0,0,0,14,19,42,32,22,51,104,25,49,8,345,3,14,12,7,18,21,3,9,0,92,24,177,114,66,78,57,33,21,9,570,32,183,105,68,69,104,19,64,5,648,8,25,26,3,4,13,0,12,0,97,0,5,4,0,0,3,0,5,0,15,0,10,4,4,13,13,0,7,0,46,3,17,8,3,12,15,6,14,0,74,11,39,31,27,29,36,8,27,0,208,14,42,34,22,27,18,9,13,0,185,17,23,22,18,56,36,6,12,0,189,31,66,82,55,50,69,35,55,5,447,43,101,105,67,63,28,15,22,0,453,5,28,8,6,12,8,7,10,0,80
501011293,6,21,15,10,4,6,0,3,8,74,161,766,576,378,564,353,117,155,29,3093,0,8,10,0,15,10,0,13,0,60,3,4,0,0,0,13,3,23,0,58,14,35,15,16,44,69,35,38,0,255,3,0,7,4,19,11,3,10,0,61,16,42,26,41,76,125,37,79,4,449,3,10,17,7,13,31,15,18,0,107,59,282,206,113,197,109,43,60,8,1070,33,256,90,62,78,87,17,42,10,673,10,49,52,28,32,35,28,49,5,283,3,16,3,8,13,6,0,4,0,48,9,10,16,21,28,32,19,18,0,150,4,12,5,8,39,20,10,32,0,139,4,42,33,27,42,37,12,26,0,217,7,45,27,18,26,33,6,13,0,176,21,36,38,26,131,96,21,21,4,390,24,63,54,45,64,62,30,56,0,400,32,102,109,79,94,66,26,29,3,543,4,22,7,9,17,11,4,3,0,75
501011294,4,18,12,8,16,4,0,0,16,81,194,749,684,451,514,358,89,183,45,3260,4,15,14,5,11,14,10,16,0,93,0,0,3,0,0,3,0,0,0,10,5,12,11,12,16,35,15,14,0,121,4,8,0,5,15,39,10,11,0,81,18,38,36,28,60,121,35,81,4,416,0,0,9,5,5,3,0,0,0,27,27,139,75,54,81,66,24,50,0,517,31,222,120,54,100,58,10,35,13,652,0,6,12,11,3,8,3,10,0,59,6,0,0,0,3,0,0,0,0,10,0,4,0,0,0,0,0,0,0,9,3,7,4,3,9,6,0,5,0,29,3,34,32,23,37,38,7,20,0,201,7,61,36,12,24,25,8,17,5,201,0,7,6,0,3,9,6,8,0,39,36,119,141,88,107,130,52,85,3,762,110,245,311,269,271,172,44,83,8,1511,0,30,5,5,15,5,5,4,0,67
501021005,0,14,9,8,0,6,0,0,10,44,83,483,382,254,269,202,84,113,25,1895,0,4,4,5,0,0,0,3,0,15,26,10,17,9,24,110,22,53,0,267,0,10,8,11,11,28,14,16,0,96,0,4,3,0,8,9,0,3,0,21,10,28,15,21,25,74,26,137,5,343,0,0,5,4,4,10,0,0,0,26,21,124,71,62,80,47,12,18,3,441,12,149,64,16,31,22,4,12,3,314,4,5,5,0,3,3,4,10,3,38,0,0,0,0,0,0,0,3,0,7,0,3,3,10,3,4,4,4,0,27,0,0,6,6,3,6,3,4,0,26,5,20,18,10,5,20,0,13,0,94,0,17,8,12,3,5,0,3,0,58,7,6,17,6,14,21,7,7,0,71,35,106,122,92,104,112,57,84,3,726,15,60,87,45,72,25,11,28,5,341,0,22,12,3,12,4,0,4,0,54
501021007,0,7,0,5,5,3,0,0,8,24,38,162,141,66,74,86,24,49,15,661,16,30,30,11,21,23,16,80,0,227,19,0,8,8,9,72,46,33,6,204,3,4,5,0,5,14,6,23,0,63,0,5,0,0,0,0,0,4,0,6,3,8,11,6,19,31,12,40,3,133,0,7,0,3,0,3,0,6,0,24,6,24,16,5,12,11,3,5,0,86,0,27,12,9,7,4,0,5,0,67,3,12,8,3,0,3,3,11,0,46,0,3,0,0,0,0,0,0,0,4,3,4,3,3,5,3,0,0,0,16,0,3,5,0,4,8,0,6,0,19,0,6,3,3,6,0,0,5,0,31,3,11,11,6,6,3,0,3,3,43,3,11,8,11,28,30,5,10,0,99,7,24,37,14,11,12,8,11,0,128,0,9,8,6,4,9,0,4,0,35,6,12,3,4,11,0,3,6,0,45
501021008,0,8,0,0,0,0,0,0,9,32,230,437,442,420,456,372,83,123,22,2586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,4,11,3,9,0,0,3,3,0,5,0,19,0,0,0,0,0,0,0,0,0,3,5,12,4,9,12,16,14,38,0,104,7,0,0,0,0,5,5,32,0,58,27,72,41,23,27,18,0,3,4,213,10,88,17,16,11,3,0,9,4,160,6,0,5,0,3,21,4,9,0,53,0,0,0,0,8,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,0,4,11,3,0,0,29,5,8,3,5,8,5,0,0,0,32,24,7,19,8,60,129,27,42,5,326,31,88,57,36,116,62,14,28,0,447,175,221,359,384,359,355,72,132,12,2077,3,6,0,0,0,5,0,0,0,20
501021009,7,11,6,7,4,6,0,6,21,57,104,376,325,170,244,254,75,140,43,1733,0,5,0,6,4,8,3,16,4,39,41,16,19,9,44,310,146,148,17,756,80,20,39,22,77,558,109,228,10,1138,26,16,17,11,156,130,65,98,7,523,15,20,10,7,44,76,33,94,3,298,0,4,5,0,4,0,0,5,0,11,13,97,56,24,46,21,13,16,9,296,14,118,57,27,14,18,3,15,0,264,5,11,17,10,7,15,0,19,0,83,0,0,5,0,4,0,0,0,0,9,6,10,4,5,5,3,0,0,0,28,0,0,0,0,7,3,0,7,0,17,4,12,6,7,10,19,7,8,0,71,0,22,15,13,8,5,0,8,0,74,15,12,10,7,55,43,11,21,0,170,21,55,64,40,43,34,17,32,0,311,28,57,83,52,52,37,7,24,5,339,0,4,3,0,0,6,0,5,5,27
501021010,4,0,0,0,3,4,0,0,5,18,26,125,87,41,44,90,27,38,11,488,15,36,27,14,13,27,11,60,3,202,0,0,0,0,3,3,3,10,0,19,16,25,22,8,42,95,178,98,3,486,0,0,4,0,5,14,6,12,0,36,4,12,13,10,15,39,14,48,4,152,0,6,0,0,0,5,3,8,0,32,0,4,17,6,3,5,0,0,0,41,4,33,12,3,12,8,3,6,0,87,11,14,21,12,15,21,21,101,4,213,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,13,0,10,4,4,0,6,0,7,0,33,0,4,5,3,5,4,0,8,0,26,5,0,4,0,4,5,0,0,0,20,4,23,13,15,8,15,5,10,0,87,0,0,0,3,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,8
