POW_SA2_CODE_2021,P_OthSvs_H_0,P_OthSvs_H_1_19,P_OthSvs_H_20_29,P_OthSvs_H_30_34,P_OthSvs_H_35_39,P_OthSvs_H_40_44,P_OthSvs_H_45_49,P_OthSvs_H_50ov,P_OthSvs_H_NS,P_OthSvs_H_Tot,P_IDNS_H_0,P_IDNS_H_1_19,P_IDNS_H_20_29,P_IDNS_H_30_34,P_IDNS_H_35_39,P_IDNS_H_40_44,P_IDNS_H_45_49,P_IDNS_H_50ov,P_IDNS_H_NS,P_IDNS_H_Tot,P_Tot_H_0,P_Tot_H_1_19,P_Tot_H_20_29,P_Tot_H_30_34,P_Tot_H_35_39,P_Tot_H_40_44,P_Tot_H_45_49,P_Tot_H_50ov,P_Tot_H_NS,P_Tot_H_Tot
501011001,0,15,3,8,5,11,0,8,0,54,5,24,11,9,9,10,4,13,13,101,128,401,336,204,293,354,114,355,37,2224
501011003,3,31,30,15,27,30,10,12,0,160,13,34,35,26,24,41,6,23,32,241,258,914,765,498,736,916,294,622,100,5109
501011004,6,34,24,19,35,26,13,13,0,173,10,28,23,13,22,33,6,19,22,173,238,874,680,464,603,722,217,399,62,4258
501011293,6,49,39,23,68,77,26,29,6,316,9,27,21,14,28,24,12,20,22,187,260,1123,781,544,1022,949,338,580,69,5664
501011294,7,51,26,14,23,28,5,16,0,173,3,27,16,9,26,29,4,13,38,166,276,1024,854,603,803,796,234,480,76,5145
501021005,8,50,24,17,20,23,13,20,0,161,6,18,11,3,8,17,4,11,23,103,143,642,494,319,430,526,192,425,46,3224
501021007,3,13,7,4,5,6,0,3,0,47,0,10,0,4,4,9,0,4,11,51,69,219,179,102,154,254,104,258,30,1371
501021008,0,3,5,0,12,3,0,0,0,31,0,8,0,3,4,8,0,12,25,72,293,545,527,501,630,644,152,326,55,3678
501021009,9,30,16,11,21,14,12,29,0,143,15,13,10,9,18,30,7,28,44,181,289,527,433,245,612,1328,436,800,115,4774
501021010,0,9,0,0,4,7,3,16,0,44,4,7,7,4,11,10,4,26,9,94,63,190,141,81,140,272,256,424,27,1603
501021011,9,29,12,10,33,58,29,52,3,220,4,27,13,14,55,55,22,30,31,250,151,320,289,251,835,1069,438,862,70,4295
