POW_SA2_CODE_2021,NS_2000_2999_Mng,NS_2000_2999_Pro,NS_2000_2999_TecTW,NS_2000_2999_CoPSW,NS_2000_2999_ClAW,NS_2000_2999_SWks,NS_2000_2999_MaOpDv,NS_2000_2999_Lab,NS_2000_2999_IDNS,NS_2000_2999_Tot,NS_3000_3499_Mng,NS_3000_3499_Pro,NS_3000_3499_TecTW,NS_3000_3499_CoPSW,NS_3000_3499_ClAW,NS_3000_3499_SWks,NS_3000_3499_MaOpDv,NS_3000_3499_Lab,NS_3000_3499_IDNS,NS_3000_3499_Tot,NS_3500mo_Mng,NS_3500mo_Pro,NS_3500mo_TecTW,NS_3500mo_CoPSW,NS_3500mo_ClAW,NS_3500mo_SWks,NS_3500mo_MaOpDv,NS_3500mo_Lab,NS_3500mo_IDNS,NS_3500mo_Tot,NS_PINS_Mng,NS_PINS_Pro,NS_PINS_TecTW,NS_PINS_CoPSW,NS_PINS_ClAW,NS_PINS_SWks,NS_PINS_MaOpDv,NS_PINS_Lab,NS_PINS_IDNS,NS_PINS_Tot,NS_Tot_Mng,NS_Tot_Pro,NS_Tot_TecTW,NS_Tot_CoPSW,NS_Tot_ClAW,NS_Tot_SWks,NS_Tot_MaOpDv,NS_Tot_Lab,NS_Tot_IDNS,NS_Tot_Tot,Tot_NNI_Mng,Tot_NNI_Pro,Tot_NNI_TecTW,Tot_NNI_CoPSW,Tot_NNI_ClAW,Tot_NNI_SWks,Tot_NNI_MaOpDv,Tot_NNI_Lab,Tot_NNI_IDNS,Tot_NNI_Tot,Tot_1_149_Mng,Tot_1_149_Pro,Tot_1_149_TecTW,Tot_1_149_CoPSW,Tot_1_149_ClAW,Tot_1_149_SWks,Tot_1_149_MaOpDv,Tot_1_149_Lab,Tot_1_149_IDNS,Tot_1_149_Tot,Tot_150_299_Mng,Tot_150_299_Pro,Tot_150_299_TecTW,Tot_150_299_CoPSW,Tot_150_299_ClAW,Tot_150_299_SWks,Tot_150_299_MaOpDv,Tot_150_299_Lab,Tot_150_299_IDNS,Tot_150_299_Tot,Tot_300_399_Mng,Tot_300_399_Pro,Tot_300_399_TecTW,Tot_300_399_CoPSW,Tot_300_399_ClAW,Tot_300_399_SWks,Tot_300_399_MaOpDv,Tot_300_399_Lab,Tot_300_399_IDNS,Tot_300_399_Tot,Tot_400_499_Mng,Tot_400_499_Pro,Tot_400_499_TecTW,Tot_400_499_CoPSW,Tot_400_499_ClAW,Tot_400_499_SWks,Tot_400_499_MaOpDv,Tot_400_499_Lab,Tot_400_499_IDNS,Tot_400_499_Tot,Tot_500_649_Mng,Tot_500_649_Pro,Tot_500_649_TecTW,Tot_500_649_CoPSW,Tot_500_649_ClAW,Tot_500_649_SWks,Tot_500_649_MaOpDv,Tot_500_649_Lab,Tot_500_649_IDNS,Tot_500_649_Tot,Tot_650_799_Mng,Tot_650_799_Pro,Tot_650_799_TecTW,Tot_650_799_CoPSW,Tot_650_799_ClAW,Tot_650_799_SWks,Tot_650_799_MaOpDv,Tot_650_799_Lab,Tot_650_799_IDNS,Tot_650_799_Tot,Tot_800_999_Mng,Tot_800_999_Pro,Tot_800_999_TecTW,Tot_800_999_CoPSW,Tot_800_999_ClAW,Tot_800_999_SWks,Tot_800_999_MaOpDv,Tot_800_999_Lab,Tot_800_999_IDNS,Tot_800_999_Tot,Tot_1000_1249_Mng,Tot_1000_1249_Pro,Tot_1000_1249_TecTW,Tot_1000_1249_CoPSW,Tot_1000_1249_ClAW,Tot_1000_1249_SWks,Tot_1000_1249_MaOpDv,Tot_1000_1249_Lab,Tot_1000_1249_IDNS,Tot_1000_1249_Tot,Tot_1250_1499_Mng,Tot_1250_1499_Pro,Tot_1250_1499_TecTW,Tot_1250_1499_CoPSW,Tot_1250_1499_ClAW,Tot_1250_1499_SWks,Tot_1250_1499_MaOpDv,Tot_1250_1499_Lab,Tot_1250_1499_IDNS,Tot_1250_1499_Tot,Tot_1500_1749_Mng,Tot_1500_1749_Pro,Tot_1500_1749_TecTW,Tot_1500_1749_CoPSW,Tot_1500_1749_ClAW,Tot_1500_1749_SWks,Tot_1500_1749_MaOpDv,Tot_1500_1749_Lab,Tot_1500_1749_IDNS,Tot_1500_1749_Tot,Tot_1750_1999_Mng,Tot_1750_1999_Pro,Tot_1750_1999_TecTW,Tot_1750_1999_CoPSW,Tot_1750_1999_ClAW,Tot_1750_1999_SWks,Tot_1750_1999_MaOpDv,Tot_1750_1999_Lab,Tot_1750_1999_IDNS,Tot_1750_1999_Tot,Tot_2000_2999_Mng,Tot_2000_2999_Pro,Tot_2000_2999_TecTW,Tot_2000_2999_CoPSW,Tot_2000_2999_ClAW,Tot_2000_2999_SWks,Tot_2000_2999_MaOpDv,Tot_2000_2999_Lab,Tot_2000_2999_IDNS,Tot_2000_2999_Tot,Tot_3000_3499_Mng,Tot_3000_3499_Pro,Tot_3000_3499_TecTW,Tot_3000_3499_CoPSW,Tot_3000_3499_ClAW,Tot_3000_3499_SWks,Tot_3000_3499_MaOpDv,Tot_3000_3499_Lab,Tot_3000_3499_IDNS,Tot_3000_3499_Tot,Tot_3500mo_Mng,Tot_3500mo_Pro,Tot_3500mo_TecTW,Tot_3500mo_CoPSW,Tot_3500mo_ClAW,Tot_3500mo_SWks,Tot_3500mo_MaOpDv,Tot_3500mo_Lab,Tot_3500mo_IDNS,Tot_3500mo_Tot
501011001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,3,0,0,4,3,9,31,10,0,0,0,6,0,0,8,0,32,4,3,6,26,0,14,0,18,0,77,20,6,7,11,9,6,3,21,6,78,23,7,15,7,10,8,4,28,0,108,34,14,17,21,20,15,4,29,0,164,44,18,26,24,16,18,4,47,0,211,35,22,32,32,28,37,15,72,3,275,76,26,45,28,28,24,8,66,9,312,88,29,51,25,23,11,18,50,0,301,55,19,42,9,21,3,12,27,3,194,44,25,19,8,18,11,15,18,0,156,35,26,9,4,5,3,3,9,0,99,40,34,12,4,3,0,10,7,3,123,5,9,0,0,0,0,0,0,0,22,22,14,5,0,5,0,0,0,0,49
501011003,0,0,6,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,7,5,5,3,0,0,0,3,6,34,64,22,0,5,3,5,4,0,4,0,50,5,10,8,69,3,59,0,60,3,223,17,9,10,32,26,26,5,41,3,162,22,18,15,29,16,22,7,47,0,161,19,19,37,43,32,37,7,60,8,266,62,33,68,58,54,65,6,84,4,436,60,49,70,93,61,81,13,115,3,551,105,61,120,96,60,63,30,149,12,694,162,87,174,57,84,54,32,97,7,759,144,77,125,18,52,18,24,58,11,529,91,67,77,14,50,25,7,32,3,363,89,61,47,5,18,15,9,19,3,267,123,101,50,10,15,11,14,6,4,335,41,26,5,0,6,10,0,4,6,94,70,44,7,0,3,17,5,4,0,149
501011004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,5,21,41,5,3,0,7,3,4,0,5,0,28,9,6,8,60,0,70,7,45,8,211,8,16,9,22,12,33,3,37,0,141,8,20,18,41,15,24,0,38,3,170,14,25,41,45,26,47,12,45,4,255,28,36,48,65,60,53,10,69,11,380,34,45,77,91,68,68,15,64,0,461,83,56,96,100,56,61,20,63,5,545,106,93,122,73,78,45,32,107,3,663,73,93,86,32,44,21,24,30,10,404,74,105,66,16,24,18,14,14,6,334,42,93,39,14,11,6,3,6,0,215,80,122,35,12,11,12,5,10,3,295,24,18,5,0,7,0,0,0,0,56,18,41,0,0,6,9,5,0,4,76
501011293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,5,5,5,0,0,5,27,46,7,0,10,3,0,12,0,8,0,39,5,8,12,68,3,127,13,59,0,302,8,7,15,49,14,79,8,46,0,223,6,17,21,40,21,59,10,45,7,228,17,18,45,54,31,63,14,61,8,310,31,33,77,72,56,119,32,81,4,510,41,44,80,104,74,136,38,82,6,604,66,69,105,96,133,87,63,72,19,702,92,91,156,77,151,98,75,74,9,813,83,101,121,29,97,35,58,34,5,567,64,107,84,26,55,26,38,17,13,429,52,93,45,20,26,14,23,11,4,290,93,150,50,28,31,25,15,8,0,390,23,23,11,6,7,13,3,6,0,91,30,53,8,0,0,9,0,0,0,107
501011294,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,0,0,0,5,0,0,0,3,32,49,5,3,5,8,7,3,0,7,3,37,6,6,14,47,5,71,0,43,0,202,6,10,11,47,9,39,7,45,5,186,8,18,9,60,24,22,0,49,7,203,19,18,32,73,16,33,4,66,0,269,36,44,56,119,65,50,19,96,5,479,31,70,70,186,80,53,10,105,10,621,38,86,89,188,86,49,21,72,8,630,79,136,127,164,96,21,16,55,0,694,59,138,97,66,51,20,20,21,9,484,55,174,69,21,25,18,16,8,9,398,48,168,45,13,24,11,8,8,0,325,57,202,67,15,18,10,7,10,6,396,13,33,7,0,0,3,0,0,0,68,22,73,7,0,0,3,3,6,3,122
501021005,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,16,29,0,3,3,0,0,0,0,3,0,17,0,13,3,41,4,57,0,42,3,166,4,13,9,34,12,42,6,35,5,151,11,15,10,33,18,34,5,25,0,152,3,16,25,39,19,35,4,14,0,161,12,17,32,80,29,38,7,42,5,266,18,34,40,101,38,56,5,59,3,359,25,36,57,93,43,56,25,52,3,388,38,49,72,61,48,19,37,27,5,364,28,59,55,30,31,11,13,18,4,256,21,77,46,22,13,13,19,12,6,230,25,83,52,10,9,17,14,17,0,225,43,142,78,12,14,0,24,17,8,337,8,24,19,0,3,0,5,4,5,63,23,25,15,0,0,0,0,0,0,71
501021007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,6,12,10,0,0,0,0,0,0,4,0,14,0,4,0,10,0,10,0,13,0,49,5,5,5,7,3,8,0,13,0,46,10,6,12,3,3,3,0,14,0,55,9,6,10,13,14,9,4,10,0,74,9,8,19,21,10,14,4,22,0,103,18,8,17,19,14,9,9,29,0,125,28,13,25,13,16,10,15,26,5,148,24,22,26,10,27,3,11,27,3,158,24,23,25,8,14,0,19,17,3,125,21,16,25,6,9,0,21,11,0,107,22,18,25,4,7,0,26,5,0,107,41,27,48,6,11,4,30,9,0,173,10,7,12,0,0,0,3,0,0,31,15,18,0,0,0,0,0,0,5,37
501021008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,4,3,3,0,0,0,0,4,17,38,3,0,0,8,4,4,0,4,0,24,0,6,0,12,5,52,0,34,3,115,0,17,5,10,5,26,3,19,0,89,0,13,6,11,4,18,0,13,0,75,4,17,3,35,19,15,3,23,0,128,3,40,19,67,31,22,9,37,3,232,6,87,26,96,42,22,5,38,0,324,10,89,29,101,61,17,11,31,4,354,12,167,45,139,79,13,24,11,5,489,15,228,28,69,66,11,8,7,6,429,12,273,31,90,32,5,7,10,3,461,13,199,20,65,14,0,5,3,3,322,62,267,21,49,23,0,6,4,3,426,11,34,8,0,0,0,0,0,0,60,12,97,13,0,3,0,0,0,0,124
501021009,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,4,0,7,5,0,5,14,8,35,72,9,4,0,0,3,0,3,3,7,26,3,0,0,17,11,39,0,37,0,103,6,8,4,20,12,31,3,18,3,104,4,8,16,27,5,21,10,38,6,135,10,5,19,26,23,30,4,45,7,169,17,8,34,67,25,36,14,44,4,245,21,16,50,59,28,29,14,50,3,286,20,21,48,60,31,24,33,51,4,304,31,38,64,38,66,16,70,57,9,374,19,40,67,21,39,4,93,45,4,336,26,53,104,11,31,7,138,41,5,416,26,56,138,4,15,6,160,50,18,474,83,184,511,16,30,0,291,62,24,1206,31,54,145,0,12,0,24,0,7,280,73,36,105,3,4,4,16,0,7,255
501021010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,4,10,21,7,0,0,0,0,0,3,0,0,11,8,5,6,8,5,0,4,18,5,65,9,5,4,5,0,4,0,14,0,44,7,3,6,0,3,4,3,9,0,37,9,5,13,12,9,3,3,12,3,56,24,0,15,6,19,7,10,24,5,106,10,5,15,5,10,6,12,16,0,75,21,7,24,9,25,6,25,39,0,145,32,11,30,12,24,3,58,31,8,209,23,13,33,0,26,3,76,18,0,188,22,16,37,0,11,9,81,11,0,186,26,22,50,0,6,0,64,4,3,175,57,26,61,0,14,4,61,7,4,226,14,6,4,0,0,0,5,0,0,28,22,4,0,0,0,0,3,0,0,31
