POW_SA2_CODE_2021,Pro_500_649_A_25_34,Pro_500_649_A_35_44,Pro_500_649_A_45_54,Pro_500_649_A_55_64,Pro_500_649_A_65_74,Pro_500_649_A_75ov,Pro_500_649_Tot,Pro_650_799_A_15_19,Pro_650_799_A_20_24,Pro_650_799_A_25_34,Pro_650_799_A_35_44,Pro_650_799_A_45_54,Pro_650_799_A_55_64,Pro_650_799_A_65_74,Pro_650_799_A_75ov,Pro_650_799_Tot,Pro_800_999_A_15_19,Pro_800_999_A_20_24,Pro_800_999_A_25_34,Pro_800_999_A_35_44,Pro_800_999_A_45_54,Pro_800_999_A_55_64,Pro_800_999_A_65_74,Pro_800_999_A_75ov,Pro_800_999_Tot,Pro_1000_1249_A_15_19,Pro_1000_1249_A_20_24,Pro_1000_1249_A_25_34,Pro_1000_1249_A_35_44,Pro_1000_1249_A_45_54,Pro_1000_1249_A_55_64,Pro_1000_1249_A_65_74,Pro_1000_1249_A_75ov,Pro_1000_1249_Tot,Pro_1250_1499_A_15_19,Pro_1250_1499_A_20_24,Pro_1250_1499_A_25_34,Pro_1250_1499_A_35_44,Pro_1250_1499_A_45_54,Pro_1250_1499_A_55_64,Pro_1250_1499_A_65_74,Pro_1250_1499_A_75ov,Pro_1250_1499_Tot,Pro_1500_1749_A_15_19,Pro_1500_1749_A_20_24,Pro_1500_1749_A_25_34,Pro_1500_1749_A_35_44,Pro_1500_1749_A_45_54,Pro_1500_1749_A_55_64,Pro_1500_1749_A_65_74,Pro_1500_1749_A_75ov,Pro_1500_1749_Tot,Pro_1750_1999_A_15_19,Pro_1750_1999_A_20_24,Pro_1750_1999_A_25_34,Pro_1750_1999_A_35_44,Pro_1750_1999_A_45_54,Pro_1750_1999_A_55_64,Pro_1750_1999_A_65_74,Pro_1750_1999_A_75ov,Pro_1750_1999_Tot,Pro_2000_2999_A_15_19,Pro_2000_2999_A_20_24,Pro_2000_2999_A_25_34,Pro_2000_2999_A_35_44,Pro_2000_2999_A_45_54,Pro_2000_2999_A_55_64,Pro_2000_2999_A_65_74,Pro_2000_2999_A_75ov,Pro_2000_2999_Tot,Pro_3000_3499_A_15_19,Pro_3000_3499_A_20_24,Pro_3000_3499_A_25_34,Pro_3000_3499_A_35_44,Pro_3000_3499_A_45_54,Pro_3000_3499_A_55_64,Pro_3000_3499_A_65_74,Pro_3000_3499_A_75ov,Pro_3000_3499_Tot,Pro_3500mo_A_15_19,Pro_3500mo_A_20_24,Pro_3500mo_A_25_34,Pro_3500mo_A_35_44,Pro_3500mo_A_45_54,Pro_3500mo_A_55_64,Pro_3500mo_A_65_74,Pro_3500mo_A_75ov,Pro_3500mo_Tot,Pro_PINS_A_15_19,Pro_PINS_A_20_24,Pro_PINS_A_25_34,Pro_PINS_A_35_44,Pro_PINS_A_45_54,Pro_PINS_A_55_64,Pro_PINS_A_65_74,Pro_PINS_A_75ov,Pro_PINS_Tot,Pro_Tot_A_15_19,Pro_Tot_A_20_24,Pro_Tot_A_25_34,Pro_Tot_A_35_44,Pro_Tot_A_45_54,Pro_Tot_A_55_64,Pro_Tot_A_65_74,Pro_Tot_A_75ov,Pro_Tot_Tot,TaTW_NNI_A_15_19,TaTW_NNI_A_20_24,TaTW_NNI_A_25_34,TaTW_NNI_A_35_44,TaTW_NNI_A_45_54,TaTW_NNI_A_55_64,TaTW_NNI_A_65_74,TaTW_NNI_A_75ov,TaTW_NNI_Tot,TaTW_1_149_A_15_19,TaTW_1_149_A_20_24,TaTW_1_149_A_25_34,TaTW_1_149_A_35_44,TaTW_1_149_A_45_54,TaTW_1_149_A_55_64,TaTW_1_149_A_65_74,TaTW_1_149_A_75ov,TaTW_1_149_Tot,TaTW_150_299_A_15_19,TaTW_150_299_A_20_24,TaTW_150_299_A_25_34,TaTW_150_299_A_35_44,TaTW_150_299_A_45_54,TaTW_150_299_A_55_64,TaTW_150_299_A_65_74,TaTW_150_299_A_75ov,TaTW_150_299_Tot,TaTW_300_399_A_15_19,TaTW_300_399_A_20_24,TaTW_300_399_A_25_34,TaTW_300_399_A_35_44,TaTW_300_399_A_45_54,TaTW_300_399_A_55_64,TaTW_300_399_A_65_74,TaTW_300_399_A_75ov,TaTW_300_399_Tot,TaTW_400_499_A_15_19,TaTW_400_499_A_20_24,TaTW_400_499_A_25_34,TaTW_400_499_A_35_44,TaTW_400_499_A_45_54,TaTW_400_499_A_55_64,TaTW_400_499_A_65_74,TaTW_400_499_A_75ov,TaTW_400_499_Tot,TaTW_500_649_A_15_19,TaTW_500_649_A_20_24,TaTW_500_649_A_25_34,TaTW_500_649_A_35_44,TaTW_500_649_A_45_54,TaTW_500_649_A_55_64,TaTW_500_649_A_65_74,TaTW_500_649_A_75ov,TaTW_500_649_Tot,TaTW_650_799_A_15_19,TaTW_650_799_A_20_24,TaTW_650_799_A_25_34,TaTW_650_799_A_35_44,TaTW_650_799_A_45_54,TaTW_650_799_A_55_64,TaTW_650_799_A_65_74,TaTW_650_799_A_75ov,TaTW_650_799_Tot,TaTW_800_999_A_15_19,TaTW_800_999_A_20_24,TaTW_800_999_A_25_34,TaTW_800_999_A_35_44,TaTW_800_999_A_45_54,TaTW_800_999_A_55_64,TaTW_800_999_A_65_74,TaTW_800_999_A_75ov,TaTW_800_999_Tot,TaTW_1000_1249_A_15_19,TaTW_1000_1249_A_20_24,TaTW_1000_1249_A_25_34,TaTW_1000_1249_A_35_44,TaTW_1000_1249_A_45_54,TaTW_1000_1249_A_55_64,TaTW_1000_1249_A_65_74,TaTW_1000_1249_A_75ov,TaTW_1000_1249_Tot,TaTW_1250_1499_A_15_19,TaTW_1250_1499_A_20_24,TaTW_1250_1499_A_25_34,TaTW_1250_1499_A_35_44,TaTW_1250_1499_A_45_54,TaTW_1250_1499_A_55_64,TaTW_1250_1499_A_65_74,TaTW_1250_1499_A_75ov,TaTW_1250_1499_Tot,TaTW_1500_1749_A_15_19,TaTW_1500_1749_A_20_24,TaTW_1500_1749_A_25_34,TaTW_1500_1749_A_35_44
501011001,5,14,0,5,0,0,18,0,0,0,12,0,9,0,0,22,0,0,5,9,0,9,0,0,26,0,0,7,8,10,5,3,0,29,0,0,6,3,7,0,0,0,19,0,0,5,11,4,0,7,0,25,0,0,6,6,8,13,0,0,26,0,0,5,10,11,9,0,0,34,0,0,0,6,3,6,0,0,9,0,0,0,5,4,0,5,0,14,0,0,0,0,0,0,0,0,0,0,3,36,89,55,55,12,0,263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0,0,4,0,3,0,0,7,4,0,0,6,3,6,3,0,15,4,0,0,7,4,7,0,0,17,3,5,5,0,7,0,0,0,26,0,0,8,4,4,6,4,0,32,0,4,10,11,12,4,0,0,45,4,0,13,16,13,7,5,0,51,0,6,15,9,9,3,0,0,42,0,0,5,7
501011003,12,4,8,7,3,0,33,0,5,6,15,5,8,9,0,49,0,5,21,23,12,6,5,0,61,0,7,16,31,15,17,0,0,87,0,6,15,23,16,14,0,0,77,0,0,15,20,20,6,3,0,67,0,0,6,18,20,8,0,0,61,0,0,16,30,34,22,6,0,101,0,0,0,5,10,4,0,0,26,0,0,0,4,24,10,0,0,44,0,0,0,5,3,0,0,0,3,3,16,106,200,177,116,38,8,659,0,0,0,0,0,3,0,0,5,0,0,0,6,0,0,0,0,8,0,0,0,0,0,0,0,0,10,3,0,0,0,3,3,0,0,15,17,3,3,0,9,4,5,0,37,12,9,14,16,12,6,0,0,68,9,21,17,11,6,8,0,0,70,4,20,20,33,21,14,5,0,120,6,10,46,47,35,29,6,0,174,0,4,39,37,16,18,6,0,125,0,0,17,20
501011004,5,11,6,4,6,0,36,0,0,9,16,12,7,4,0,45,0,5,6,22,12,12,5,0,56,0,0,9,24,26,21,5,0,93,0,0,24,23,20,20,9,0,93,0,6,19,39,21,18,6,0,105,0,0,12,23,37,15,7,0,93,0,0,21,29,36,26,13,0,122,0,0,5,0,3,3,0,0,18,0,0,0,8,13,9,3,0,41,0,0,0,0,0,4,0,0,4,0,12,113,236,201,142,65,4,779,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,8,0,0,0,3,0,0,0,0,9,0,0,4,0,4,8,0,0,18,15,4,4,5,11,4,3,0,41,8,9,10,9,11,12,0,0,48,5,7,15,12,16,15,5,0,77,0,11,24,23,18,15,7,0,96,0,18,34,39,24,11,0,0,122,0,7,26,30,10,14,0,0,86,0,3,18,18
501011293,0,7,13,3,0,0,33,0,0,7,15,7,8,4,0,44,0,3,9,18,23,13,4,0,69,0,3,19,28,25,16,3,0,91,0,4,19,23,27,19,6,3,101,0,0,18,28,37,20,5,0,107,0,0,25,17,31,17,0,0,93,0,0,13,47,50,27,8,0,150,0,0,0,5,11,8,3,0,23,0,0,4,14,16,13,3,0,53,0,0,0,4,0,0,0,0,5,8,18,124,215,253,152,50,7,827,0,0,0,4,4,5,0,0,10,4,0,3,0,0,4,0,0,12,0,0,0,0,8,0,0,0,15,5,6,7,0,0,5,4,0,21,16,3,6,3,4,0,3,0,45,16,14,12,9,7,13,8,0,77,11,24,16,13,9,7,0,0,80,3,25,23,16,16,12,10,0,105,0,18,37,35,30,25,8,0,156,0,7,28,33,31,16,6,0,121,0,0,19,18
501011294,8,11,9,8,3,0,44,0,3,3,25,20,14,4,0,70,0,3,15,26,19,17,3,3,86,0,3,19,38,47,30,3,0,136,0,6,44,34,33,24,6,0,138,0,4,33,49,49,36,10,0,174,0,0,25,37,64,29,6,0,168,0,3,26,53,71,49,6,0,202,0,0,0,7,19,3,4,0,33,0,0,3,32,23,8,4,0,73,0,0,0,0,0,0,0,0,5,3,24,192,334,372,232,49,3,1208,0,0,0,0,0,0,0,0,5,4,0,4,0,0,3,0,0,14,5,0,6,0,0,3,0,0,11,0,0,4,0,0,0,0,0,9,7,0,0,5,4,3,5,0,32,14,9,0,8,4,7,5,0,56,3,18,13,11,3,7,4,0,70,0,15,26,16,11,9,4,0,89,0,14,28,37,31,18,3,0,127,0,10,16,29,29,14,0,0,97,0,0,21,25
501021005,0,6,6,3,0,0,17,0,0,6,15,10,0,6,0,34,0,3,7,6,10,6,0,0,36,0,4,8,16,8,11,7,0,49,0,4,22,19,11,10,0,0,59,0,0,30,12,21,14,3,0,77,0,0,21,19,23,19,0,0,83,0,0,15,46,43,31,6,0,142,0,0,0,9,6,6,0,0,24,0,0,3,10,10,4,4,0,25,0,0,0,0,0,3,0,0,4,0,11,132,168,148,119,32,3,622,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,4,0,0,3,0,0,9,0,0,0,10,0,0,5,0,10,6,0,3,0,3,4,3,0,25,5,4,6,7,5,3,3,0,32,6,8,10,4,8,6,4,0,40,0,8,12,9,12,8,0,0,57,0,12,17,16,7,11,0,0,72,0,0,23,11,4,13,0,0,55,0,7,8,17
501021007,0,0,0,0,6,0,8,0,0,0,0,5,0,0,0,8,0,0,0,3,0,0,0,0,13,0,0,4,9,5,5,5,0,22,0,0,6,4,3,0,0,0,23,0,0,5,0,6,3,0,0,16,0,0,0,3,0,3,0,0,18,0,0,4,5,18,3,3,0,27,0,0,0,3,0,0,0,0,7,0,0,0,3,5,8,3,0,18,0,0,0,0,0,0,0,0,0,3,0,26,41,55,25,15,0,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,12,5,0,0,5,4,3,0,0,10,3,4,3,0,4,4,0,0,19,8,0,4,0,5,3,0,0,17,3,3,4,3,4,8,0,0,25,0,5,11,4,0,4,5,0,26,0,3,0,11,9,4,0,0,25,0,3,5,5
501021008,13,6,9,4,0,0,40,0,0,20,31,16,12,8,0,87,0,4,17,25,14,24,6,0,89,0,14,36,44,49,21,7,0,167,0,25,57,57,55,31,9,0,228,0,12,66,64,68,46,10,0,273,0,0,44,47,45,40,15,0,199,0,0,59,71,64,62,9,0,267,0,0,11,12,7,5,0,0,34,0,0,5,31,34,20,8,0,97,0,0,0,0,0,4,0,0,11,0,57,343,403,365,284,78,4,1532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,3,0,0,0,6,0,0,0,0,3,6,0,0,3,0,4,0,4,5,4,3,0,19,0,9,7,3,7,0,0,0,26,0,0,3,6,10,7,0,0,29,0,7,9,7,4,14,0,0,45,0,0,4,3,8,11,4,0,28,0,0,10,6
501021009,3,3,3,3,0,0,8,0,0,4,4,0,3,0,0,16,0,0,0,9,0,7,4,0,21,0,4,5,7,10,9,4,0,38,0,0,11,7,10,5,0,0,40,0,4,15,11,11,7,3,0,53,0,5,17,12,16,12,3,0,56,0,0,32,54,62,31,4,0,184,0,0,6,18,14,9,5,0,54,0,0,4,19,11,5,0,0,36,0,0,0,0,0,0,0,0,3,0,16,103,152,150,103,26,6,551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,8,0,0,4,5,3,6,0,6,4,0,0,16,3,0,0,6,3,0,4,0,19,9,4,6,5,0,4,0,3,34,17,10,7,7,6,4,5,0,50,10,11,10,8,3,4,0,0,48,4,15,11,7,8,16,0,0,64,0,6,14,7,24,12,0,0,67,0,8,24,26
501021010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,3,0,0,0,0,7,0,0,4,9,0,0,0,0,11,0,0,4,6,4,4,0,0,13,0,0,7,3,8,0,0,0,16,0,0,0,7,8,9,0,0,22,0,0,3,4,6,5,3,0,26,0,0,0,0,4,0,0,0,6,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,20,38,21,22,12,0,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,6,3,0,0,5,0,0,0,0,13,6,0,5,0,4,4,0,0,15,3,0,0,3,3,0,0,0,15,5,6,3,5,4,4,3,0,24,0,5,10,6,3,0,0,0,30,0,5,11,5,4,0,3,0,33,0,4,11,10
