POW_SA2_CODE_2021,Mng_NNI_H_0,Mng_NNI_H_1_19,Mng_NNI_H_20_29,Mng_NNI_H_30_34,Mng_NNI_H_35_39,Mng_NNI_H_40_44,Mng_NNI_H_45_49,Mng_NNI_H_50ov,Mng_NNI_H_NS,Mng_NNI_H_Tot,Mng_1_149_H_0,Mng_1_149_H_1_19,Mng_1_149_H_20_29,Mng_1_149_H_30_34,Mng_1_149_H_35_39,Mng_1_149_H_40_44,Mng_1_149_H_45_49,Mng_1_149_H_50ov,Mng_1_149_H_NS,Mng_1_149_H_Tot,Mng_150_299_H_0,Mng_150_299_H_1_19,Mng_150_299_H_20_29,Mng_150_299_H_30_34,Mng_150_299_H_35_39,Mng_150_299_H_40_44,Mng_150_299_H_45_49,Mng_150_299_H_50ov,Mng_150_299_H_NS,Mng_150_299_H_Tot,Mng_300_399_H_0,Mng_300_399_H_1_19,Mng_300_399_H_20_29,Mng_300_399_H_30_34,Mng_300_399_H_35_39,Mng_300_399_H_40_44,Mng_300_399_H_45_49,Mng_300_399_H_50ov,Mng_300_399_H_NS,Mng_300_399_H_Tot,Mng_400_499_H_0,Mng_400_499_H_1_19,Mng_400_499_H_20_29,Mng_400_499_H_30_34,Mng_400_499_H_35_39,Mng_400_499_H_40_44,Mng_400_499_H_45_49,Mng_400_499_H_50ov,Mng_400_499_H_NS,Mng_400_499_H_Tot,Mng_500_649_H_0,Mng_500_649_H_1_19,Mng_500_649_H_20_29,Mng_500_649_H_30_34,Mng_500_649_H_35_39,Mng_500_649_H_40_44,Mng_500_649_H_45_49,Mng_500_649_H_50ov,Mng_500_649_H_NS,Mng_500_649_H_Tot,Mng_650_799_H_0,Mng_650_799_H_1_19,Mng_650_799_H_20_29,Mng_650_799_H_30_34,Mng_650_799_H_35_39,Mng_650_799_H_40_44,Mng_650_799_H_45_49,Mng_650_799_H_50ov,Mng_650_799_H_NS,Mng_650_799_H_Tot,Mng_800_999_H_0,Mng_800_999_H_1_19,Mng_800_999_H_20_29,Mng_800_999_H_30_34,Mng_800_999_H_35_39,Mng_800_999_H_40_44,Mng_800_999_H_45_49,Mng_800_999_H_50ov,Mng_800_999_H_NS,Mng_800_999_H_Tot,Mng_1000_1249_H_0,Mng_1000_1249_H_1_19,Mng_1000_1249_H_20_29,Mng_1000_1249_H_30_34,Mng_1000_1249_H_35_39,Mng_1000_1249_H_40_44,Mng_1000_1249_H_45_49,Mng_1000_1249_H_50ov,Mng_1000_1249_H_NS,Mng_1000_1249_H_Tot,Mng_1250_1499_H_0,Mng_1250_1499_H_1_19,Mng_1250_1499_H_20_29,Mng_1250_1499_H_30_34,Mng_1250_1499_H_35_39,Mng_1250_1499_H_40_44,Mng_1250_1499_H_45_49,Mng_1250_1499_H_50ov,Mng_1250_1499_H_NS,Mng_1250_1499_H_Tot,Mng_1500_1749_H_0,Mng_1500_1749_H_1_19,Mng_1500_1749_H_20_29,Mng_1500_1749_H_30_34,Mng_1500_1749_H_35_39,Mng_1500_1749_H_40_44,Mng_1500_1749_H_45_49,Mng_1500_1749_H_50ov,Mng_1500_1749_H_NS,Mng_1500_1749_H_Tot,Mng_1750_1999_H_0,Mng_1750_1999_H_1_19,Mng_1750_1999_H_20_29,Mng_1750_1999_H_30_34,Mng_1750_1999_H_35_39,Mng_1750_1999_H_40_44,Mng_1750_1999_H_45_49,Mng_1750_1999_H_50ov,Mng_1750_1999_H_NS,Mng_1750_1999_H_Tot,Mng_2000_2999_H_0,Mng_2000_2999_H_1_19,Mng_2000_2999_H_20_29,Mng_2000_2999_H_30_34,Mng_2000_2999_H_35_39,Mng_2000_2999_H_40_44,Mng_2000_2999_H_45_49,Mng_2000_2999_H_50ov,Mng_2000_2999_H_NS,Mng_2000_2999_H_Tot,Mng_3000_3499_H_0,Mng_3000_3499_H_1_19,Mng_3000_3499_H_20_29,Mng_3000_3499_H_30_34,Mng_3000_3499_H_35_39,Mng_3000_3499_H_40_44,Mng_3000_3499_H_45_49,Mng_3000_3499_H_50ov,Mng_3000_3499_H_NS,Mng_3000_3499_H_Tot,Mng_3500mo_H_0,Mng_3500mo_H_1_19,Mng_3500mo_H_20_29,Mng_3500mo_H_30_34,Mng_3500mo_H_35_39,Mng_3500mo_H_40_44,Mng_3500mo_H_45_49,Mng_3500mo_H_50ov,Mng_3500mo_H_NS,Mng_3500mo_H_Tot,Mng_PINS_H_0,Mng_PINS_H_1_19,Mng_PINS_H_20_29,Mng_PINS_H_30_34,Mng_PINS_H_35_39,Mng_PINS_H_40_44,Mng_PINS_H_45_49,Mng_PINS_H_50ov,Mng_PINS_H_NS,Mng_PINS_H_Tot,Mng_Tot_H_0,Mng_Tot_H_1_19,Mng_Tot_H_20_29,Mng_Tot_H_30_34,Mng_Tot_H_35_39,Mng_Tot_H_40_44,Mng_Tot_H_45_49,Mng_Tot_H_50ov,Mng_Tot_H_NS,Mng_Tot_H_Tot,Pro_NNI_H_0,Pro_NNI_H_1_19,Pro_NNI_H_20_29,Pro_NNI_H_30_34,Pro_NNI_H_35_39,Pro_NNI_H_40_44,Pro_NNI_H_45_49,Pro_NNI_H_50ov,Pro_NNI_H_NS,Pro_NNI_H_Tot,Pro_1_149_H_0,Pro_1_149_H_1_19,Pro_1_149_H_20_29,Pro_1_149_H_30_34,Pro_1_149_H_35_39,Pro_1_149_H_40_44,Pro_1_149_H_45_49,Pro_1_149_H_50ov,Pro_1_149_H_NS,Pro_1_149_H_Tot,Pro_150_299_H_0,Pro_150_299_H_1_19,Pro_150_299_H_20_29,Pro_150_299_H_30_34,Pro_150_299_H_35_39,Pro_150_299_H_40_44,Pro_150_299_H_45_49,Pro_150_299_H_50ov,Pro_150_299_H_NS,Pro_150_299_H_Tot
501011001,0,3,0,0,0,0,4,7,0,10,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,0,0,5,20,4,4,0,0,4,0,3,11,0,23,0,6,3,0,0,0,0,15,0,34,10,0,0,5,5,4,4,14,0,44,0,3,10,8,5,12,0,6,0,35,6,15,12,6,13,15,3,15,0,76,10,8,0,5,14,20,7,23,3,88,3,4,0,4,11,16,3,14,0,55,0,3,3,3,7,9,8,14,0,44,4,0,3,0,0,9,4,12,0,35,0,3,3,4,3,11,3,21,0,40,0,0,0,0,3,0,0,4,0,5,3,0,0,0,0,6,0,11,4,22,0,5,0,0,0,4,0,0,0,12,36,49,44,47,63,99,37,167,11,564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6
501011003,4,0,9,0,0,0,0,7,0,22,0,3,0,0,0,0,0,0,0,5,4,7,6,0,0,0,5,5,0,17,0,0,5,0,0,0,5,6,0,22,0,0,8,0,0,0,4,6,0,19,3,10,11,6,5,11,3,8,0,62,0,11,11,10,7,0,3,16,0,60,4,12,10,10,20,22,6,15,4,105,12,9,6,12,38,42,11,31,0,162,10,0,10,6,29,42,18,22,0,144,0,0,0,3,3,31,20,28,0,91,3,9,4,5,3,23,7,31,0,89,0,3,8,3,9,27,29,45,0,123,4,5,0,4,4,8,4,11,0,41,3,4,9,4,0,7,4,28,0,70,4,0,0,0,0,0,4,3,0,15,51,76,96,72,125,226,110,262,14,1044,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,10,0,6,5,0,0,0,0,0,0,9
501011004,0,4,0,0,0,0,0,0,0,5,0,7,0,0,0,0,0,0,0,9,0,3,0,0,0,0,0,0,0,8,0,3,5,0,0,0,0,0,0,8,0,4,7,0,0,4,0,4,0,14,0,10,6,0,0,6,0,9,0,28,7,4,6,3,6,4,0,4,0,34,3,7,18,14,14,15,3,9,0,83,0,8,9,15,20,25,8,14,0,106,0,3,4,5,12,23,12,12,0,73,3,7,0,3,9,29,4,14,0,74,0,3,4,3,5,17,3,11,0,42,3,3,4,3,15,10,14,29,0,80,0,0,8,4,4,7,0,10,0,24,0,0,4,0,3,4,3,8,0,18,0,0,0,0,0,5,0,0,0,9,21,59,55,51,87,145,58,124,4,612,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,6,5,9,0,0,0,0,0,0,0,16
501011293,0,0,0,0,0,0,0,0,0,7,0,4,0,0,0,0,0,0,0,5,0,0,0,0,6,0,0,0,0,8,0,3,0,0,0,0,0,0,0,6,0,4,8,0,0,0,0,0,0,17,3,7,7,6,0,0,0,4,0,31,3,6,7,7,6,6,0,5,0,41,5,5,0,4,12,24,3,9,0,66,0,0,4,3,26,22,14,19,3,92,4,3,4,3,16,21,14,15,0,83,3,0,0,0,17,20,5,21,0,64,0,0,0,4,8,14,7,15,0,52,0,3,10,0,7,25,10,29,0,93,4,0,0,0,4,4,0,10,0,23,0,0,4,4,0,3,3,19,0,30,0,0,0,0,0,0,0,0,5,7,19,45,44,39,96,151,58,155,6,617,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,8,0,9,0,0,0,0,0,0,0,7
501011294,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,6,0,4,0,0,0,0,0,0,0,6,0,6,3,0,0,0,0,0,0,8,0,0,0,5,3,3,3,3,0,19,0,3,8,0,4,4,0,3,0,36,3,5,9,3,4,0,0,3,0,31,4,3,3,7,9,7,0,0,0,38,4,9,4,7,21,17,12,10,0,79,0,3,6,3,9,18,0,18,0,59,0,0,5,7,14,7,9,19,0,55,3,0,0,5,7,14,8,11,0,48,0,6,0,0,6,8,7,28,0,57,0,0,0,0,0,0,0,7,0,13,3,0,0,0,0,0,0,6,0,22,0,0,3,0,0,0,0,0,0,4,28,45,40,42,79,88,37,123,3,490,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,6,0,8,0,0,0,0,0,0,0,10
501021005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,11,0,4,0,0,0,0,0,0,0,3,0,6,3,0,4,0,0,0,0,12,3,0,3,5,5,0,0,0,0,18,0,0,3,4,6,3,0,0,0,25,0,0,4,4,11,15,4,3,0,38,0,0,6,4,6,8,0,9,0,28,3,0,0,4,3,3,4,3,0,21,0,0,6,0,4,8,0,8,0,25,0,0,3,0,0,12,10,12,0,43,0,0,0,0,5,0,4,4,0,8,0,0,0,0,0,3,11,9,0,23,0,0,0,0,0,0,0,0,0,3,9,11,27,14,42,69,37,57,0,269,0,0,0,0,0,0,0,0,0,3,0,9,0,3,0,0,0,0,0,13,0,5,6,5,0,0,0,0,0,13
501021007,0,0,0,0,0,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,0,5,0,0,0,0,0,0,0,4,0,10,4,0,0,0,0,0,0,0,0,9,0,0,0,3,0,0,0,3,0,9,0,0,7,4,0,0,4,6,0,18,0,0,3,3,4,0,3,12,0,28,0,0,0,0,0,7,0,9,0,24,0,0,5,0,5,3,4,11,0,24,3,0,0,0,0,3,6,6,0,21,0,0,0,0,5,5,0,12,0,22,3,0,6,0,5,11,7,6,0,41,0,0,0,0,0,4,3,6,0,10,4,0,0,0,0,4,4,9,0,15,0,0,0,0,0,0,0,4,0,8,12,23,24,15,23,36,24,98,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5
501021008,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,4,0,3,0,0,0,10,0,0,0,3,4,6,0,0,0,12,0,0,0,0,6,3,0,0,0,15,0,0,0,0,7,3,0,5,0,12,0,0,0,0,6,0,5,4,0,13,0,0,0,4,11,17,10,13,0,62,0,0,0,0,3,3,0,4,0,11,0,0,0,0,0,0,0,3,0,12,0,0,0,0,0,0,0,0,0,0,5,5,6,11,38,46,19,35,0,168,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,6,3,6,0,0,0,0,0,0,0,17
501021009,0,6,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,3,0,10,0,0,7,3,0,0,0,0,0,17,0,0,0,3,0,4,0,5,0,21,3,0,6,0,3,3,0,0,0,20,0,0,4,3,6,8,6,9,0,31,0,0,0,3,5,5,0,7,0,19,3,0,0,0,3,8,0,8,0,26,0,0,0,0,7,7,3,5,0,26,6,3,0,0,5,36,18,17,0,83,0,0,0,0,3,14,4,6,0,31,0,0,0,0,7,17,5,37,0,73,0,0,0,0,0,0,0,0,0,3,20,18,19,19,35,105,39,107,5,373,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8
501021010,0,0,0,0,0,3,0,0,0,7,0,0,0,4,0,0,0,0,0,8,0,8,5,0,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,7,0,5,0,0,0,4,0,0,0,9,3,6,8,0,4,3,0,3,0,24,0,0,0,0,0,3,0,0,0,10,0,4,6,0,0,6,0,3,0,21,0,7,0,0,5,8,0,8,0,32,0,0,0,0,3,3,0,10,0,23,0,0,0,3,0,4,0,8,0,22,0,0,0,0,0,5,3,12,0,26,5,0,0,0,0,10,15,22,0,57,0,0,0,0,0,0,0,6,0,14,0,0,3,0,0,4,3,3,0,22,0,0,0,0,0,0,0,5,0,10,14,25,27,15,20,53,26,93,5,280,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,5
