POW_SA2_CODE_2021,BDLA_NNI_Mng,BDLA_NNI_Pro,BDLA_NNI_TecTW,BDLA_NNI_CoPSW,BDLA_NNI_ClAW,BDLA_NNI_SWks,BDLA_NNI_MaOpDv,BDLA_NNI_Lab,BDLA_NNI_IDNS,BDLA_NNI_Tot,BDLA_1_149_Mng,BDLA_1_149_Pro,BDLA_1_149_TecTW,BDLA_1_149_CoPSW,BDLA_1_149_ClAW,BDLA_1_149_SWks,BDLA_1_149_MaOpDv,BDLA_1_149_Lab,BDLA_1_149_IDNS,BDLA_1_149_Tot,BDLA_150_299_Mng,BDLA_150_299_Pro,BDLA_150_299_TecTW,BDLA_150_299_CoPSW,BDLA_150_299_ClAW,BDLA_150_299_SWks,BDLA_150_299_MaOpDv,BDLA_150_299_Lab,BDLA_150_299_IDNS,BDLA_150_299_Tot,BDLA_300_399_Mng,BDLA_300_399_Pro,BDLA_300_399_TecTW,BDLA_300_399_CoPSW,BDLA_300_399_ClAW,BDLA_300_399_SWks,BDLA_300_399_MaOpDv,BDLA_300_399_Lab,BDLA_300_399_IDNS,BDLA_300_399_Tot,BDLA_400_499_Mng,BDLA_400_499_Pro,BDLA_400_499_TecTW,BDLA_400_499_CoPSW,BDLA_400_499_ClAW,BDLA_400_499_SWks,BDLA_400_499_MaOpDv,BDLA_400_499_Lab,BDLA_400_499_IDNS,BDLA_400_499_Tot,BDLA_500_649_Mng,BDLA_500_649_Pro,BDLA_500_649_TecTW,BDLA_500_649_CoPSW,BDLA_500_649_ClAW,BDLA_500_649_SWks,BDLA_500_649_MaOpDv,BDLA_500_649_Lab,BDLA_500_649_IDNS,BDLA_500_649_Tot,BDLA_650_799_Mng,BDLA_650_799_Pro,BDLA_650_799_TecTW,BDLA_650_799_CoPSW,BDLA_650_799_ClAW,BDLA_650_799_SWks,BDLA_650_799_MaOpDv,BDLA_650_799_Lab,BDLA_650_799_IDNS,BDLA_650_799_Tot,BDLA_800_999_Mng,BDLA_800_999_Pro,BDLA_800_999_TecTW,BDLA_800_999_CoPSW,BDLA_800_999_ClAW,BDLA_800_999_SWks,BDLA_800_999_MaOpDv,BDLA_800_999_Lab,BDLA_800_999_IDNS,BDLA_800_999_Tot,BDLA_1000_1249_Mng,BDLA_1000_1249_Pro,BDLA_1000_1249_TecTW,BDLA_1000_1249_CoPSW,BDLA_1000_1249_ClAW,BDLA_1000_1249_SWks,BDLA_1000_1249_MaOpDv,BDLA_1000_1249_Lab,BDLA_1000_1249_IDNS,BDLA_1000_1249_Tot,BDLA_1250_1499_Mng,BDLA_1250_1499_Pro,BDLA_1250_1499_TecTW,BDLA_1250_1499_CoPSW,BDLA_1250_1499_ClAW,BDLA_1250_1499_SWks,BDLA_1250_1499_MaOpDv,BDLA_1250_1499_Lab,BDLA_1250_1499_IDNS,BDLA_1250_1499_Tot,BDLA_1500_1749_Mng,BDLA_1500_1749_Pro,BDLA_1500_1749_TecTW,BDLA_1500_1749_CoPSW,BDLA_1500_1749_ClAW,BDLA_1500_1749_SWks,BDLA_1500_1749_MaOpDv,BDLA_1500_1749_Lab,BDLA_1500_1749_IDNS,BDLA_1500_1749_Tot,BDLA_1750_1999_Mng,BDLA_1750_1999_Pro,BDLA_1750_1999_TecTW,BDLA_1750_1999_CoPSW,BDLA_1750_1999_ClAW,BDLA_1750_1999_SWks,BDLA_1750_1999_MaOpDv,BDLA_1750_1999_Lab,BDLA_1750_1999_IDNS,BDLA_1750_1999_Tot,BDLA_2000_2999_Mng,BDLA_2000_2999_Pro,BDLA_2000_2999_TecTW,BDLA_2000_2999_CoPSW,BDLA_2000_2999_ClAW,BDLA_2000_2999_SWks,BDLA_2000_2999_MaOpDv,BDLA_2000_2999_Lab,BDLA_2000_2999_IDNS,BDLA_2000_2999_Tot,BDLA_3000_3499_Mng,BDLA_3000_3499_Pro,BDLA_3000_3499_TecTW,BDLA_3000_3499_CoPSW,BDLA_3000_3499_ClAW,BDLA_3000_3499_SWks,BDLA_3000_3499_MaOpDv,BDLA_3000_3499_Lab,BDLA_3000_3499_IDNS,BDLA_3000_3499_Tot,BDLA_3500mo_Mng,BDLA_3500mo_Pro,BDLA_3500mo_TecTW,BDLA_3500mo_CoPSW,BDLA_3500mo_ClAW,BDLA_3500mo_SWks,BDLA_3500mo_MaOpDv,BDLA_3500mo_Lab,BDLA_3500mo_IDNS,BDLA_3500mo_Tot,BDLA_PINS_Mng,BDLA_PINS_Pro,BDLA_PINS_TecTW,BDLA_PINS_CoPSW,BDLA_PINS_ClAW,BDLA_PINS_SWks,BDLA_PINS_MaOpDv,BDLA_PINS_Lab,BDLA_PINS_IDNS,BDLA_PINS_Tot,BDLA_Tot_Mng,BDLA_Tot_Pro,BDLA_Tot_TecTW,BDLA_Tot_CoPSW,BDLA_Tot_ClAW,BDLA_Tot_SWks,BDLA_Tot_MaOpDv,BDLA_Tot_Lab,BDLA_Tot_IDNS,BDLA_Tot_Tot,Ad_Dip_NNI_Mng,Ad_Dip_NNI_Pro,Ad_Dip_NNI_TecTW,Ad_Dip_NNI_CoPSW,Ad_Dip_NNI_ClAW,Ad_Dip_NNI_SWks,Ad_Dip_NNI_MaOpDv,Ad_Dip_NNI_Lab,Ad_Dip_NNI_IDNS,Ad_Dip_NNI_Tot,Ad_Dip_1_149_Mng,Ad_Dip_1_149_Pro,Ad_Dip_1_149_TecTW,Ad_Dip_1_149_CoPSW,Ad_Dip_1_149_ClAW,Ad_Dip_1_149_SWks,Ad_Dip_1_149_MaOpDv,Ad_Dip_1_149_Lab,Ad_Dip_1_149_IDNS,Ad_Dip_1_149_Tot,Ad_Dip_150_299_Mng,Ad_Dip_150_299_Pro,Ad_Dip_150_299_TecTW,Ad_Dip_150_299_CoPSW,Ad_Dip_150_299_ClAW,Ad_Dip_150_299_SWks,Ad_Dip_150_299_MaOpDv,Ad_Dip_150_299_Lab,Ad_Dip_150_299_IDNS,Ad_Dip_150_299_Tot
501011001,4,0,0,0,0,0,0,0,0,12,0,4,3,0,0,0,0,0,0,7,9,0,0,0,0,0,0,0,0,10,6,3,0,9,0,0,0,8,0,21,5,13,0,7,5,4,0,3,0,27,6,18,3,6,3,0,0,9,0,48,13,14,8,3,4,6,0,10,0,53,21,21,3,5,3,6,0,5,0,68,31,18,8,9,4,0,0,11,0,82,13,17,0,0,7,0,0,4,0,45,10,20,3,4,3,0,0,0,0,38,14,28,0,0,0,0,0,3,3,43,20,25,0,4,0,0,0,0,0,58,7,9,0,0,0,0,0,0,0,15,8,13,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,4,157,190,29,47,33,25,4,56,4,544,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,3
501011003,8,0,0,0,0,0,0,0,0,13,5,3,0,4,0,0,0,0,0,14,0,6,0,0,7,3,0,4,0,25,6,6,0,4,0,5,0,9,0,32,9,13,0,9,9,10,0,12,0,49,17,21,9,12,7,10,0,8,0,78,13,26,10,21,11,14,0,19,0,115,22,38,10,22,13,11,3,25,0,139,45,51,19,11,14,6,0,11,0,162,46,62,15,3,12,3,0,12,0,150,22,51,6,6,17,6,0,5,0,105,28,49,6,3,0,0,0,0,0,89,52,83,4,6,8,5,0,0,0,152,19,23,0,0,0,0,0,4,3,42,25,34,0,0,0,0,0,0,0,64,0,8,0,0,0,0,0,3,0,9,305,464,71,89,97,79,5,105,9,1235,0,0,0,0,0,0,0,0,0,6,0,0,0,4,0,0,0,0,0,6,0,0,0,0,0,5,0,6,0,10
501011004,0,0,0,0,0,0,0,0,0,7,0,3,0,0,0,4,0,0,0,14,0,9,0,6,0,0,0,3,0,27,0,6,3,3,3,3,0,9,0,37,3,17,4,9,9,6,0,10,0,55,7,21,0,16,9,0,0,4,0,69,15,37,12,18,13,12,3,6,0,117,25,43,12,27,15,12,3,10,0,152,22,68,13,15,16,9,4,10,0,158,22,74,6,10,10,3,0,0,0,128,28,88,4,7,3,3,0,3,3,134,9,83,0,3,4,5,0,0,0,105,46,107,5,6,5,3,0,0,0,166,9,12,0,0,0,0,0,0,0,27,11,31,0,0,0,0,0,0,0,44,0,4,0,0,0,0,0,0,0,5,198,615,72,116,89,67,16,68,13,1234,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,7,0,3,0,3,0,0,4,0,0,18
501011293,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,6,0,4,0,0,0,0,0,0,0,13,4,4,0,7,0,0,0,5,0,19,0,10,0,10,0,0,0,0,0,25,8,15,0,10,7,11,4,3,0,49,10,28,3,10,6,9,0,0,0,63,8,38,0,14,10,7,0,3,5,81,9,55,11,16,16,8,4,4,0,117,18,62,4,8,18,4,4,7,0,126,17,75,6,8,12,4,0,0,4,126,18,83,0,4,4,0,0,0,0,114,36,128,0,7,9,5,0,0,0,182,18,22,0,0,4,0,0,0,0,45,14,45,0,0,0,0,0,0,0,54,0,4,0,0,0,0,0,0,3,6,154,575,32,89,85,50,13,25,11,1034,3,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,6,0,0,0,4,0,4,0,0,0,14
501011294,0,0,0,0,0,0,0,0,0,8,0,3,0,6,3,0,0,0,0,10,0,9,0,0,0,0,0,0,0,19,0,10,0,4,0,0,0,6,0,17,3,14,0,4,3,0,0,6,0,34,4,23,0,11,12,0,0,3,0,61,8,59,4,20,16,0,0,6,3,112,0,63,10,22,9,3,0,8,0,118,11,105,8,21,13,3,0,4,0,162,12,117,4,16,8,0,0,4,0,162,17,146,3,6,9,4,0,0,0,184,21,151,5,3,5,0,0,0,0,182,28,183,3,6,0,0,0,0,0,227,10,31,0,0,0,0,0,0,0,40,6,70,0,0,5,0,0,0,0,86,0,6,0,0,0,0,0,0,3,10,114,991,40,116,83,20,0,43,11,1425,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,10,6,0,0,8,0,0,0,0,0,13
501021005,0,4,0,0,0,0,0,0,0,4,0,7,0,4,0,0,0,0,0,11,0,3,0,0,0,0,0,0,0,8,0,6,0,5,0,0,0,0,0,14,0,15,0,0,0,0,0,0,0,16,0,8,0,10,3,3,0,8,0,32,0,23,3,10,0,4,0,0,0,41,0,27,6,13,3,4,0,5,0,59,3,37,0,7,4,3,0,3,0,59,10,49,3,0,0,0,0,0,0,72,8,73,3,5,3,0,0,0,0,88,7,72,5,0,0,0,0,0,0,85,21,125,0,3,0,0,0,0,0,154,5,18,0,0,0,0,0,0,0,25,14,22,3,0,0,0,0,0,0,37,0,3,0,0,0,0,0,0,0,8,70,494,24,59,28,17,5,14,0,714,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,0,0,0,4,0,4,0,7,0,0,0,0,0,14
501021007,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,6,0,0,0,0,0,0,0,7,0,0,0,0,6,0,0,0,0,10,0,9,0,0,0,0,0,0,0,8,0,7,0,3,0,0,0,0,0,13,0,11,0,0,3,0,0,0,0,12,3,17,0,0,3,0,0,6,0,29,4,19,5,0,3,0,0,4,0,36,0,12,5,0,0,0,0,0,0,17,5,11,0,0,5,0,0,0,0,27,7,28,7,3,0,0,0,0,0,41,7,8,0,0,0,0,0,0,0,13,9,15,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,51,138,19,11,17,0,3,4,5,246,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
501021008,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,12,0,0,0,0,0,0,0,12,0,10,0,4,3,3,0,0,0,20,0,16,0,3,4,5,0,0,0,25,0,28,4,5,0,0,0,0,0,46,0,61,0,11,7,0,0,3,0,82,0,69,3,6,8,0,4,0,0,90,7,134,8,15,9,0,0,0,0,167,3,190,4,0,9,0,0,0,0,210,3,217,4,9,3,0,0,0,0,240,0,159,0,8,9,0,0,0,0,176,30,230,3,8,13,0,0,0,3,288,4,27,4,0,0,0,0,0,0,45,7,92,0,0,0,0,0,0,0,98,0,10,0,0,0,0,0,0,0,11,62,1274,29,72,57,4,7,7,8,1523,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
501021009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,9,0,5,0,0,0,0,0,0,0,3,0,5,0,6,0,0,0,0,0,11,0,3,0,3,0,0,0,0,0,8,0,17,0,0,0,0,0,0,0,22,0,21,0,4,0,0,0,0,0,28,6,22,0,0,5,0,0,0,0,45,3,26,0,0,0,0,0,0,0,31,4,46,3,0,0,0,4,0,0,58,6,42,3,0,0,0,3,0,0,57,33,132,10,4,4,0,5,0,0,190,9,42,8,0,3,0,0,0,0,62,41,34,19,3,0,0,0,0,0,97,0,3,0,0,0,0,0,0,0,3,101,391,46,19,24,6,19,10,3,617,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,10
501021010,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,8,0,5,0,0,0,0,0,0,0,7,0,4,0,0,6,0,0,0,0,15,6,5,0,0,0,0,0,0,0,15,6,10,0,0,0,0,0,0,0,15,6,14,0,0,0,0,0,0,0,24,4,9,6,0,0,0,4,0,0,25,21,20,0,0,0,0,0,0,0,41,4,6,0,0,0,0,0,0,0,9,11,4,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,3,64,88,5,4,14,3,7,7,0,198,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,5
