POW_SA3_CODE_2021,M_15_19_E,M_15_19_OM_IE,M_15_19_OM_UIE,M_15_19_CFW,M_15_19_SE_NS,M_15_19_Total,M_20_24_E,M_20_24_OM_IE,M_20_24_OM_UIE,M_20_24_CFW,M_20_24_ES_NS,M_20_24_Total,M_25_29_E,M_25_29_OM_IE,M_25_29_OM_UIE,M_25_29_CFW,M_25_29_ES_NS,M_25_29_Total,M_30_34_E,M_30_34_OM_IE,M_30_34_OM_UIE,M_30_34_CFW,M_30_34_ES_NS,M_30_34_Total,M_35_39_E,M_35_39_OM_IE,M_35_39_OM_UIE,M_35_39_CFW,M_35_39_ES_NS,M_35_39_Total,M_40_44_E,M_40_44_OM_IE,M_40_44_OM_UIE,M_40_44_CFW,M_40_44_ES_NS,M_40_44_Total,M_45_49_E,M_45_49_OM_IE,M_45_49_OM_UIE,M_45_49_CFW,M_45_49_ES_NS,M_45_49_Total,M_50_54_E,M_50_54_OM_IE,M_50_54_OM_UIE,M_50_54_CFW,M_50_54_ES_NS,M_50_54_Total,M_55_59_E,M_55_59_OM_IE,M_55_59_OM_UIE,M_55_59_CFW,M_55_59_ES_NS,M_55_59_Total,M_60_64_E,M_60_64_OM_IE,M_60_64_OM_UIE,M_60_64_CFW,M_60_64_ES_NS,M_60_64_Total,M_65_69_E,M_65_69_OM_IE,M_65_69_OM_UIE,M_65_69_CFW,M_65_69_ES_NS,M_65_69_Total,M_70_74_E,M_70_74_OM_IE,M_70_74_OM_UIE,M_70_74_CFW,M_70_74_ES_NS,M_70_74_Total,M_75ov_E,M_75ov_OM_IE,M_75ov_OM_UIE,M_75ov_CFW,M_75ov_ES_NS,M_75ov_Total,M_Total_E,M_Total_OM_IE,M_Total_OM_UIE,M_Total_CFW,M_Total_ES_NS,M_Total_Total,F_15_19_E,F_15_19_OM_IE,F_15_19_OM_UIE,F_15_19_CFW,F_15_19_ES_NS,F_15_19_Total,F_20_24_E,F_20_24_OM_IE,F_20_24_OM_UIE,F_20_24_CFW,F_20_24_ES_NS,F_20_24_Total,F_25_29_E,F_25_29_OM_IE,F_25_29_OM_UIE,F_25_29_CFW,F_25_29_ES_NS,F_25_29_Total,F_30_34_E,F_30_34_OM_IE,F_30_34_OM_UIE,F_30_34_CFW,F_30_34_ES_NS,F_30_34_Total,F_35_39_E,F_35_39_OM_IE,F_35_39_OM_UIE,F_35_39_CFW,F_35_39_ES_NS,F_35_39_Total,F_40_44_E,F_40_44_OM_IE,F_40_44_OM_UIE,F_40_44_CFW,F_40_44_ES_NS,F_40_44_Total,F_45_49_E,F_45_49_OM_IE,F_45_49_OM_UIE,F_45_49_CFW,F_45_49_ES_NS,F_45_49_Total,F_50_54_E,F_50_54_OM_IE,F_50_54_OM_UIE,F_50_54_CFW,F_50_54_ES_NS,F_50_54_Total,F_55_59_E,F_55_59_OM_IE,F_55_59_OM_UIE,F_55_59_CFW,F_55_59_ES_NS,F_55_59_Total,F_60_64_E,F_60_64_OM_IE,F_60_64_OM_UIE,F_60_64_CFW,F_60_64_ES_NS,F_60_64_Total,F_65_69_E,F_65_69_OM_IE,F_65_69_OM_UIE,F_65_69_CFW,F_65_69_ES_NS,F_65_69_Total,F_70_74_E,F_70_74_OM_IE,F_70_74_OM_UIE,F_70_74_CFW,F_70_74_ES_NS,F_70_74_Total,F_75ov_E,F_75ov_OM_IE,F_75ov_OM_UIE,F_75ov_CFW,F_75ov_ES_NS,F_75ov_Total,F_Total_E,F_Total_OM_IE,F_Total_OM_UIE,F_Total_CFW,F_Total_ES_NS,F_Total_Total,P_15_19_E,P_15_19_OM_IE,P_15_19_OM_UIE,P_15_19_CFW,P_15_19_ES_NS,P_15_19_Total,P_20_24_E,P_20_24_OM_IE,P_20_24_OM_UIE,P_20_24_CFW,P_20_24_ES_NS,P_20_24_Total,P_25_29_E,P_25_29_OM_IE,P_25_29_OM_UIE,P_25_29_CFW,P_25_29_ES_NS,P_25_29_Total,P_30_34_E,P_30_34_OM_IE,P_30_34_OM_UIE,P_30_34_CFW,P_30_34_ES_NS,P_30_34_Total,P_35_39_E,P_35_39_OM_IE,P_35_39_OM_UIE,P_35_39_CFW,P_35_39_ES_NS,P_35_39_Total,P_40_44_E,P_40_44_OM_IE
50101,850,0,7,8,5,872,643,0,20,5,0,676,624,11,57,4,0,702,724,81,106,0,13,924,678,110,149,10,10,951,699,155,182,21,9,1062,671,174,208,26,15,1088,618,173,207,26,10,1024,567,163,209,17,11,968,464,148,204,35,15,865,262,69,127,54,11,523,93,59,67,42,12,264,33,15,41,35,5,131,6914,1154,1577,291,116,10057,919,0,6,3,0,926,631,0,12,7,0,643,766,7,59,12,8,842,881,37,118,17,10,1061,1116,95,169,26,20,1420,1198,102,190,35,3,1526,1167,95,212,30,14,1531,1124,99,163,32,10,1422,962,87,152,38,20,1252,781,63,143,41,5,1036,283,39,84,33,0,442,73,21,42,30,4,176,18,10,16,22,5,74,9912,652,1352,321,102,12347,1766,0,11,16,5,1803,1272,0,29,4,0,1322,1392,17,113,10,8,1546,1600,122,220,18,19,1983,1791,200,317,38,26,2379,1893,255
50102,1545,4,5,7,9,1572,1872,3,25,8,6,1914,1916,36,72,4,10,2045,2104,74,97,3,9,2286,2142,139,129,23,5,2437,2134,147,150,20,12,2461,2159,157,169,26,22,2522,2164,205,183,28,19,2609,2009,190,190,24,19,2432,1580,173,212,30,13,2012,639,96,145,31,17,927,158,48,93,44,8,358,66,32,44,50,15,200,20486,1313,1512,297,166,23775,1711,0,8,0,4,1726,1676,8,32,4,9,1723,1856,17,65,11,3,1956,2008,49,113,25,14,2207,2309,73,155,35,6,2571,2274,90,131,27,10,2523,2431,115,156,31,18,2758,2423,96,166,39,22,2742,2006,98,150,38,11,2309,1454,76,123,42,12,1709,518,42,73,45,14,682,127,22,44,32,6,228,34,7,28,20,8,97,20846,681,1233,354,130,23242,3258,4,19,12,10,3296,3555,14,50,11,16,3640,3781,49,139,15,18,4001,4113,121,207,31,20,4499,4447,209,276,57,15,5011,4404,242
50103,272,0,4,3,0,285,297,0,12,3,0,317,311,14,18,8,8,349,287,27,36,8,3,358,299,47,39,9,0,398,294,33,52,20,7,403,326,63,65,21,7,489,331,63,89,24,12,520,342,61,104,38,9,557,321,62,89,39,7,511,162,37,100,47,11,362,50,30,66,51,10,203,23,19,45,61,4,148,3306,461,728,327,80,4909,283,0,0,3,0,285,230,0,6,0,0,239,228,3,19,4,0,258,288,12,29,13,4,345,309,24,48,16,0,396,336,28,48,19,3,433,414,36,54,20,5,526,403,41,69,31,6,545,435,24,81,35,3,582,375,33,79,31,3,518,136,23,57,37,3,253,38,7,38,25,0,114,18,7,24,25,4,72,3485,236,539,261,48,4568,554,0,4,6,0,571,528,0,14,8,0,554,539,13,35,10,5,609,575,37,60,21,6,709,605,69,88,25,5,797,628,60
50201,1243,0,6,6,5,1261,1150,6,33,3,7,1198,978,35,70,4,5,1091,875,60,106,6,5,1059,882,107,131,17,8,1138,825,108,119,5,4,1065,847,145,146,19,7,1174,817,141,165,9,18,1146,852,151,182,26,8,1223,656,119,163,31,13,982,281,84,102,22,3,500,119,47,56,20,10,244,44,22,27,29,3,121,9573,1030,1295,202,101,12200,1555,0,3,0,11,1571,1574,8,36,0,9,1628,1362,31,80,13,11,1487,1451,55,116,29,5,1650,1663,76,137,15,9,1894,1566,77,140,26,10,1818,1745,94,141,33,13,2024,1790,101,155,27,9,2090,1536,83,157,23,18,1822,1079,74,135,29,10,1329,381,35,70,25,0,514,82,13,32,21,4,151,25,3,9,12,12,63,15809,653,1212,259,107,18036,2795,0,9,7,11,2831,2724,10,70,3,10,2828,2345,64,152,13,20,2587,2326,114,221,36,9,2710,2542,182,265,32,12,3029,2387,189
50301,941,0,15,5,5,965,1686,4,52,0,4,1747,1728,38,68,5,5,1840,1681,100,92,3,0,1889,1664,157,75,10,13,1913,1347,182,102,10,5,1646,1218,218,106,16,4,1558,1111,287,140,21,12,1565,1024,232,161,21,7,1450,867,212,150,28,7,1258,424,168,138,17,0,753,169,106,75,17,5,380,90,90,59,46,12,293,13951,1796,1234,207,66,17256,1256,3,10,0,0,1273,2939,0,38,0,6,2983,3188,10,60,5,8,3274,3292,45,96,13,9,3457,3090,89,124,21,5,3334,2613,105,129,19,7,2872,2552,168,165,33,7,2936,2567,157,191,49,7,2970,2333,135,173,36,12,2684,1712,83,129,32,16,1967,822,68,78,19,6,989,259,44,53,28,5,383,102,18,31,27,6,182,26721,930,1275,286,92,29304,2199,3,32,8,5,2245,4630,8,86,0,12,4729,4920,48,130,6,11,5119,4971,155,194,19,10,5347,4757,245,198,34,16,5250,3954,288
50302,2011,4,12,12,7,2046,7156,33,98,18,15,7323,10612,159,194,15,40,11015,12325,479,254,27,33,13120,14166,851,396,36,30,15464,12342,961,409,43,28,13781,10906,1013,443,29,39,12429,9646,946,467,56,33,11150,7383,809,480,31,18,8725,4917,643,428,36,29,6052,2155,448,296,33,17,2952,755,212,162,35,18,1180,220,124,91,41,23,503,94593,6667,3745,409,326,105743,2683,4,33,13,13,2739,9355,16,113,10,21,9516,13149,81,221,11,24,13487,14983,245,296,45,43,15605,14553,362,359,65,44,15379,12011,401,349,56,19,12840,10611,387,348,64,23,11439,9397,390,421,59,25,10285,7659,318,265,44,28,8308,5224,214,228,44,25,5740,2223,138,138,36,20,2546,624,59,74,32,17,794,175,22,29,23,22,276,102656,2630,2866,496,311,108960,4698,13,41,26,19,4788,16514,55,207,21,40,16841,23761,238,417,31,63,24502,27304,723,553,67,73,28721,28714,1205,751,100,67,30845,24350,1364
50401,895,7,9,3,5,907,1440,12,44,7,10,1509,1321,57,94,4,10,1484,1262,115,103,10,3,1489,1245,183,164,13,14,1620,1141,191,122,12,8,1479,980,204,142,19,8,1357,1026,223,169,12,9,1432,938,179,194,16,16,1335,666,155,192,6,4,1024,309,112,113,11,5,549,119,56,66,14,5,259,33,28,28,16,3,111,11369,1512,1440,142,105,14564,952,0,6,0,4,966,1271,7,29,5,3,1316,1132,19,59,7,3,1220,1110,50,107,16,10,1295,1139,75,134,14,11,1383,1059,80,103,22,3,1274,1026,84,132,16,11,1262,1084,74,126,19,5,1302,928,69,106,13,10,1126,682,59,74,15,8,839,307,35,53,19,4,418,108,18,22,11,0,163,21,8,15,9,3,54,10808,578,963,174,75,12594,1841,7,15,9,3,1869,2707,19,74,12,15,2826,2449,73,152,12,13,2705,2369,164,217,29,7,2785,2381,258,303,26,24,2996,2202,275
50402,391,0,8,3,3,405,390,3,21,0,0,411,353,9,24,0,4,398,346,37,33,0,7,428,356,45,52,8,0,461,303,57,55,0,6,424,300,78,72,9,0,461,326,81,85,10,4,509,321,97,90,12,0,520,252,70,72,9,9,407,120,49,74,13,0,258,38,21,27,11,0,106,16,13,25,8,3,63,3515,566,636,82,39,4840,436,0,6,0,0,444,331,0,16,0,0,352,339,3,25,4,5,370,329,16,53,8,3,399,367,28,53,11,0,463,385,42,65,13,0,495,414,44,73,17,0,551,451,51,83,13,6,606,442,52,79,14,4,592,298,34,62,18,5,411,147,14,32,4,4,207,31,9,23,5,0,73,25,0,15,3,0,43,3984,293,595,115,28,5009,829,0,14,3,3,849,727,3,32,0,0,765,696,18,52,3,9,773,672,54,90,3,10,823,716,70,110,22,0,920,688,98
50403,2169,3,11,17,10,2207,3136,23,72,12,8,3256,3382,104,147,12,10,3656,3372,247,249,29,17,3916,3234,355,247,26,23,3881,2953,319,241,24,15,3559,2751,348,248,42,22,3406,2753,407,297,32,34,3528,2400,386,295,29,20,3136,1705,280,259,38,24,2313,748,188,178,41,14,1170,248,85,81,27,11,455,100,54,48,37,0,248,28966,2807,2375,365,211,34728,2184,0,12,6,6,2220,2686,3,43,6,3,2746,2734,32,121,16,14,2911,2930,93,228,44,9,3308,2758,129,224,56,18,3188,2596,127,196,44,10,2978,2637,140,212,54,10,3045,2517,160,218,42,16,2949,2106,147,180,54,15,2508,1527,106,140,38,7,1821,558,72,63,36,5,730,135,25,27,23,5,215,48,18,20,13,4,99,25411,1059,1678,445,123,28716,4354,8,25,24,19,4429,5826,31,120,22,12,6004,6114,133,271,30,20,6564,6302,339,478,74,25,7219,5996,481,469,80,41,7067,5554,447
50501,1983,7,24,11,5,2022,2056,12,73,9,6,2152,1583,47,127,4,10,1776,1356,179,147,13,10,1704,1248,272,210,14,5,1751,1043,245,232,21,9,1548,993,312,255,23,7,1595,984,326,300,31,7,1654,838,289,312,20,6,1472,730,270,278,30,12,1314,372,156,212,30,10,769,144,83,111,33,4,365,55,33,38,15,4,148,13388,2219,2313,250,94,18260,2836,5,18,4,9,2871,2984,0,50,10,7,3046,2508,27,128,12,4,2672,2582,84,203,22,5,2896,2652,150,281,51,16,3142,2623,164,288,52,6,3133,2955,167,290,49,11,3461,3029,170,308,40,17,3570,2613,169,240,42,17,3079,1871,131,186,39,9,2237,663,62,109,41,4,883,191,35,59,14,5,302,43,13,12,7,3,82,27544,1170,2172,377,107,31377,4816,6,34,15,15,4892,5035,13,119,17,11,5202,4091,74,251,13,9,4445,3940,257,349,40,16,4598,3899,422,493,60,20,4889,3671,408
