POW_SA3_CODE_2021,CL_nfd_650_799_Mng,CL_nfd_650_799_Pro,CL_nfd_650_799_TecTW,CL_nfd_650_799_CoPSW,CL_nfd_650_799_ClAW,CL_nfd_650_799_SWks,CL_nfd_650_799_MaOpDv,CL_nfd_650_799_Lab,CL_nfd_650_799_IDNS,CL_nfd_650_799_Tot,CL_nfd_800_999_Mng,CL_nfd_800_999_Pro,CL_nfd_800_999_TecTW,CL_nfd_800_999_CoPSW,CL_nfd_800_999_ClAW,CL_nfd_800_999_SWks,CL_nfd_800_999_MaOpDv,CL_nfd_800_999_Lab,CL_nfd_800_999_IDNS,CL_nfd_800_999_Tot,CL_nfd_1000_1249_Mng,CL_nfd_1000_1249_Pro,CL_nfd_1000_1249_TecTW,CL_nfd_1000_1249_CoPSW,CL_nfd_1000_1249_ClAW,CL_nfd_1000_1249_SWks,CL_nfd_1000_1249_MaOpDv,CL_nfd_1000_1249_Lab,CL_nfd_1000_1249_IDNS,CL_nfd_1000_1249_Tot,CL_nfd_1250_1499_Mng,CL_nfd_1250_1499_Pro,CL_nfd_1250_1499_TecTW,CL_nfd_1250_1499_CoPSW,CL_nfd_1250_1499_ClAW,CL_nfd_1250_1499_SWks,CL_nfd_1250_1499_MaOpDv,CL_nfd_1250_1499_Lab,CL_nfd_1250_1499_IDNS,CL_nfd_1250_1499_Tot,CL_nfd_1500_1749_Mng,CL_nfd_1500_1749_Pro,CL_nfd_1500_1749_TecTW,CL_nfd_1500_1749_CoPSW,CL_nfd_1500_1749_ClAW,CL_nfd_1500_1749_SWks,CL_nfd_1500_1749_MaOpDv,CL_nfd_1500_1749_Lab,CL_nfd_1500_1749_IDNS,CL_nfd_1500_1749_Tot,CL_nfd_1750_1999_Mng,CL_nfd_1750_1999_Pro,CL_nfd_1750_1999_TecTW,CL_nfd_1750_1999_CoPSW,CL_nfd_1750_1999_ClAW,CL_nfd_1750_1999_SWks,CL_nfd_1750_1999_MaOpDv,CL_nfd_1750_1999_Lab,CL_nfd_1750_1999_IDNS,CL_nfd_1750_1999_Tot,CL_nfd_2000_2999_Mng,CL_nfd_2000_2999_Pro,CL_nfd_2000_2999_TecTW,CL_nfd_2000_2999_CoPSW,CL_nfd_2000_2999_ClAW,CL_nfd_2000_2999_SWks,CL_nfd_2000_2999_MaOpDv,CL_nfd_2000_2999_Lab,CL_nfd_2000_2999_IDNS,CL_nfd_2000_2999_Tot,CL_nfd_3000_3499_Mng,CL_nfd_3000_3499_Pro,CL_nfd_3000_3499_TecTW,CL_nfd_3000_3499_CoPSW,CL_nfd_3000_3499_ClAW,CL_nfd_3000_3499_SWks,CL_nfd_3000_3499_MaOpDv,CL_nfd_3000_3499_Lab,CL_nfd_3000_3499_IDNS,CL_nfd_3000_3499_Tot,CL_nfd_3500mo_Mng,CL_nfd_3500mo_Pro,CL_nfd_3500mo_TecTW,CL_nfd_3500mo_CoPSW,CL_nfd_3500mo_ClAW,CL_nfd_3500mo_SWks,CL_nfd_3500mo_MaOpDv,CL_nfd_3500mo_Lab,CL_nfd_3500mo_IDNS,CL_nfd_3500mo_Tot,CL_nfd_PINS_Mng,CL_nfd_PINS_Pro,CL_nfd_PINS_TecTW,CL_nfd_PINS_CoPSW,CL_nfd_PINS_ClAW,CL_nfd_PINS_SWks,CL_nfd_PINS_MaOpDv,CL_nfd_PINS_Lab,CL_nfd_PINS_IDNS,CL_nfd_PINS_Tot,CL_nfd_Tot_Mng,CL_nfd_Tot_Pro,CL_nfd_Tot_TecTW,CL_nfd_Tot_CoPSW,CL_nfd_Tot_ClAW,CL_nfd_Tot_SWks,CL_nfd_Tot_MaOpDv,CL_nfd_Tot_Lab,CL_nfd_Tot_IDNS,CL_nfd_Tot_Tot,CIII_IV_NNI_Mng,CIII_IV_NNI_Pro,CIII_IV_NNI_TecTW,CIII_IV_NNI_CoPSW,CIII_IV_NNI_ClAW,CIII_IV_NNI_SWks,CIII_IV_NNI_MaOpDv,CIII_IV_NNI_Lab,CIII_IV_NNI_IDNS,CIII_IV_NNI_Tot,CIII_IV_1_149_Mng,CIII_IV_1_149_Pro,CIII_IV_1_149_TecTW,CIII_IV_1_149_CoPSW,CIII_IV_1_149_ClAW,CIII_IV_1_149_SWks,CIII_IV_1_149_MaOpDv,CIII_IV_1_149_Lab,CIII_IV_1_149_IDNS,CIII_IV_1_149_Tot,CIII_IV_150_299_Mng,CIII_IV_150_299_Pro,CIII_IV_150_299_TecTW,CIII_IV_150_299_CoPSW,CIII_IV_150_299_ClAW,CIII_IV_150_299_SWks,CIII_IV_150_299_MaOpDv,CIII_IV_150_299_Lab,CIII_IV_150_299_IDNS,CIII_IV_150_299_Tot,CIII_IV_300_399_Mng,CIII_IV_300_399_Pro,CIII_IV_300_399_TecTW,CIII_IV_300_399_CoPSW,CIII_IV_300_399_ClAW,CIII_IV_300_399_SWks,CIII_IV_300_399_MaOpDv,CIII_IV_300_399_Lab,CIII_IV_300_399_IDNS,CIII_IV_300_399_Tot,CIII_IV_400_499_Mng,CIII_IV_400_499_Pro,CIII_IV_400_499_TecTW,CIII_IV_400_499_CoPSW,CIII_IV_400_499_ClAW,CIII_IV_400_499_SWks,CIII_IV_400_499_MaOpDv,CIII_IV_400_499_Lab,CIII_IV_400_499_IDNS,CIII_IV_400_499_Tot,CIII_IV_500_649_Mng,CIII_IV_500_649_Pro,CIII_IV_500_649_TecTW,CIII_IV_500_649_CoPSW,CIII_IV_500_649_ClAW,CIII_IV_500_649_SWks,CIII_IV_500_649_MaOpDv,CIII_IV_500_649_Lab,CIII_IV_500_649_IDNS,CIII_IV_500_649_Tot,CIII_IV_650_799_Mng,CIII_IV_650_799_Pro,CIII_IV_650_799_TecTW,CIII_IV_650_799_CoPSW,CIII_IV_650_799_ClAW,CIII_IV_650_799_SWks,CIII_IV_650_799_MaOpDv,CIII_IV_650_799_Lab,CIII_IV_650_799_IDNS,CIII_IV_650_799_Tot,CIII_IV_800_999_Mng,CIII_IV_800_999_Pro,CIII_IV_800_999_TecTW,CIII_IV_800_999_CoPSW,CIII_IV_800_999_ClAW,CIII_IV_800_999_SWks,CIII_IV_800_999_MaOpDv,CIII_IV_800_999_Lab,CIII_IV_800_999_IDNS,CIII_IV_800_999_Tot,CIII_IV_1000_1249_Mng,CIII_IV_1000_1249_Pro,CIII_IV_1000_1249_TecTW,CIII_IV_1000_1249_CoPSW,CIII_IV_1000_1249_ClAW,CIII_IV_1000_1249_SWks,CIII_IV_1000_1249_MaOpDv,CIII_IV_1000_1249_Lab,CIII_IV_1000_1249_IDNS,CIII_IV_1000_1249_Tot
50101,6,3,10,22,3,13,0,3,0,54,11,0,6,24,16,9,7,7,0,79,14,3,9,19,13,3,0,14,0,82,8,0,0,7,16,6,0,3,0,52,4,0,0,0,3,3,0,3,0,22,4,0,0,4,0,0,0,3,0,17,4,4,0,0,0,0,4,0,0,15,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,4,0,0,0,9,0,0,0,5,0,0,0,0,0,4,73,26,37,119,82,70,22,62,4,501,9,0,4,6,4,0,0,5,5,36,9,5,10,10,5,14,0,12,0,67,11,7,20,35,14,24,8,31,0,143,17,3,27,45,15,25,4,33,3,174,15,5,64,58,26,30,11,46,6,271,32,21,108,110,61,61,21,75,3,494,44,23,135,164,80,80,28,90,3,639,78,21,210,180,73,51,34,95,11,751,114,32,359,135,111,50,49,69,11,939
50102,4,5,0,39,27,13,5,14,0,107,12,7,0,37,32,15,0,19,0,132,10,4,16,24,33,12,10,14,0,128,6,0,13,6,30,9,8,8,0,87,6,8,5,5,16,3,13,8,0,72,8,4,8,12,7,0,10,0,0,54,12,9,19,10,3,0,20,5,0,76,3,0,10,0,0,0,0,0,0,12,8,3,0,0,3,0,0,0,0,19,0,0,0,0,0,3,0,0,0,3,84,56,85,200,202,93,83,113,11,936,8,3,8,8,8,5,8,4,7,62,8,8,27,42,14,32,5,36,0,166,11,12,38,69,40,47,10,40,3,272,18,16,65,84,40,42,11,53,3,330,16,19,103,160,78,66,12,66,6,532,44,27,156,296,126,103,32,116,8,922,52,32,214,370,162,125,38,125,9,1132,72,47,366,342,241,108,88,200,8,1479,142,85,598,294,293,94,147,185,16,1848
50103,0,0,3,4,6,6,0,10,0,26,8,0,3,8,9,0,0,9,0,43,5,0,4,8,9,3,3,0,0,24,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0,0,0,0,0,8,9,0,0,0,3,0,0,4,0,13,3,6,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,46,12,21,30,35,24,9,32,4,214,21,0,7,0,0,0,0,0,0,32,8,0,3,6,0,4,0,9,0,31,17,4,6,16,10,11,0,25,4,93,19,0,14,17,9,5,0,10,0,80,18,0,22,24,9,8,0,17,3,100,16,5,31,44,23,15,12,28,0,182,32,6,50,56,31,22,9,35,4,245,50,11,70,62,34,20,17,58,0,317,54,18,113,46,42,10,32,28,8,359
50201,4,5,0,30,16,14,4,13,3,83,5,5,6,20,13,3,3,12,0,70,3,3,9,17,27,11,0,4,0,87,0,0,0,4,11,4,4,5,0,32,7,3,3,8,6,7,6,0,0,37,3,8,7,5,0,0,3,0,5,34,11,0,3,0,4,6,11,4,0,39,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7,0,0,0,5,0,3,0,0,0,0,54,33,54,144,108,85,40,55,4,584,5,3,12,10,10,4,0,3,5,49,3,3,12,31,14,32,10,26,0,125,10,12,27,75,25,57,6,44,5,251,20,5,57,102,36,70,17,36,3,344,9,15,66,120,32,81,8,62,0,402,24,19,133,250,89,100,28,73,11,725,36,28,168,325,101,94,35,85,7,884,72,36,231,345,116,79,33,79,9,993,89,44,392,302,126,56,57,80,13,1153
50301,0,0,12,19,7,12,5,12,0,64,4,0,5,27,26,4,0,11,0,83,10,0,10,19,30,3,3,7,3,91,13,7,8,12,30,10,6,4,3,85,6,3,6,0,22,3,0,0,0,52,10,10,4,5,9,3,0,0,0,29,13,3,3,5,14,5,0,0,0,45,3,0,0,0,0,0,0,0,0,11,7,3,0,0,0,7,0,0,0,13,0,0,0,0,0,0,0,0,0,3,66,51,60,138,179,66,20,52,6,629,4,0,4,5,3,0,0,0,7,23,0,0,0,24,4,8,0,4,0,44,0,10,15,43,0,15,6,13,5,96,7,0,35,37,17,14,3,12,0,133,4,9,34,69,19,22,3,19,0,180,9,8,78,114,40,26,0,43,3,323,17,14,97,153,76,26,0,47,0,436,32,24,157,177,103,35,12,55,9,604,63,24,245,198,163,28,21,46,3,804
50302,3,6,21,54,83,18,3,36,5,220,16,27,30,53,120,25,6,19,4,303,31,26,33,86,202,30,11,17,4,433,37,48,21,44,198,16,10,12,5,393,42,73,14,30,138,13,9,10,5,339,34,65,17,30,73,22,15,12,0,264,88,101,32,30,95,26,18,13,4,406,30,35,20,0,12,14,11,0,0,117,71,48,9,0,12,12,3,0,3,165,0,0,0,0,13,0,0,0,4,19,365,459,224,455,1039,225,81,160,47,3049,0,0,22,13,10,6,0,6,10,77,4,13,5,57,25,28,0,28,0,156,7,13,44,119,51,53,9,57,12,378,18,25,54,164,73,60,13,61,9,477,13,31,102,183,120,71,10,77,12,613,36,52,192,368,238,101,18,130,15,1162,67,95,292,466,404,125,30,129,24,1628,129,116,494,528,650,132,63,129,22,2265,211,269,739,527,990,147,89,158,42,3166
50401,5,0,3,19,9,3,4,7,0,54,4,0,8,16,19,9,11,4,4,79,13,6,13,20,17,8,6,3,0,84,4,0,12,12,7,8,3,5,0,49,6,7,6,4,8,4,9,3,0,42,4,3,0,0,4,3,0,0,0,21,8,0,6,0,0,0,5,0,0,20,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,6,0,0,0,9,0,0,0,3,0,0,0,0,0,3,56,24,63,128,88,62,40,43,7,508,0,3,16,5,0,3,0,0,5,37,0,0,7,12,4,5,3,12,3,51,5,11,17,36,13,24,3,26,0,143,3,6,37,38,17,33,5,25,0,172,10,3,65,62,22,43,16,27,0,242,10,14,101,132,37,59,15,53,7,429,24,9,158,145,54,58,42,34,4,522,42,19,249,186,74,52,71,75,4,772,82,32,434,150,108,43,80,90,9,1028
50402,0,0,7,5,3,3,0,3,0,22,0,4,0,7,9,0,0,0,0,24,3,0,6,3,11,0,6,3,0,35,0,0,4,4,5,3,3,0,0,21,4,0,0,4,0,0,0,0,0,18,0,0,0,3,0,0,0,5,0,17,5,3,3,5,4,4,3,3,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,20,22,49,42,19,19,21,3,219,7,0,4,0,0,0,0,0,0,16,6,4,5,8,6,5,0,0,0,41,0,9,0,16,4,15,0,15,4,62,8,4,16,10,8,10,5,13,0,73,6,8,27,29,11,6,5,18,0,103,10,9,43,55,20,16,9,15,0,168,13,9,73,62,27,20,11,28,0,244,17,9,86,73,26,18,17,31,0,280,19,13,132,57,35,19,30,37,8,353
50403,10,3,12,28,36,12,15,16,6,132,9,9,18,25,39,17,15,26,0,153,21,8,16,41,48,21,20,27,4,203,14,3,14,13,50,11,15,9,3,133,22,15,14,9,20,12,4,6,0,95,17,9,3,15,5,0,6,0,0,66,26,8,12,15,12,6,11,3,0,85,4,4,0,0,0,3,0,0,0,13,3,4,0,0,0,0,0,0,0,11,0,0,5,3,0,0,0,0,0,11,126,69,117,220,241,134,96,136,20,1157,18,3,28,4,10,3,0,4,7,80,3,7,14,49,14,29,9,25,0,156,8,12,42,68,19,64,12,53,4,292,9,16,81,84,36,74,14,65,3,391,18,14,107,130,41,82,24,75,3,491,39,36,183,219,107,119,38,105,15,860,63,35,295,304,125,110,82,125,3,1144,101,52,490,348,211,111,186,177,12,1691,170,64,841,310,307,114,307,205,28,2358
50501,13,5,8,32,38,20,4,10,0,121,9,8,12,39,22,18,3,15,4,127,15,8,15,41,30,11,3,9,0,138,10,7,3,18,32,14,4,3,0,92,5,3,7,3,21,0,0,5,0,59,6,5,0,7,6,0,0,0,0,26,6,11,3,4,5,0,0,0,0,36,4,3,0,0,0,0,0,0,0,9,8,4,0,0,0,3,0,0,0,14,0,0,0,0,0,0,0,0,0,10,95,70,73,256,232,130,23,81,11,967,9,4,11,3,4,0,0,5,4,36,8,8,9,59,13,56,12,30,0,192,6,3,44,114,20,88,7,50,0,341,11,12,78,105,34,80,18,61,4,400,14,10,92,162,47,98,10,50,4,489,35,24,167,304,104,114,17,61,4,834,46,34,245,336,116,130,23,81,8,1025,65,41,265,393,179,96,36,83,16,1173,127,54,427,334,172,74,47,80,13,1317
