POW_SA3_CODE_2021,Tot_1250_1499_Mng,Tot_1250_1499_Pro,Tot_1250_1499_TecTW,Tot_1250_1499_CoPSW,Tot_1250_1499_ClAW,Tot_1250_1499_SWks,Tot_1250_1499_MaOpDv,Tot_1250_1499_Lab,Tot_1250_1499_IDNS,Tot_1250_1499_Tot,Tot_1500_1749_Mng,Tot_1500_1749_Pro,Tot_1500_1749_TecTW,Tot_1500_1749_CoPSW,Tot_1500_1749_ClAW,Tot_1500_1749_SWks,Tot_1500_1749_MaOpDv,Tot_1500_1749_Lab,Tot_1500_1749_IDNS,Tot_1500_1749_Tot,Tot_1750_1999_Mng,Tot_1750_1999_Pro,Tot_1750_1999_TecTW,Tot_1750_1999_CoPSW,Tot_1750_1999_ClAW,Tot_1750_1999_SWks,Tot_1750_1999_MaOpDv,Tot_1750_1999_Lab,Tot_1750_1999_IDNS,Tot_1750_1999_Tot,Tot_2000_2999_Mng,Tot_2000_2999_Pro,Tot_2000_2999_TecTW,Tot_2000_2999_CoPSW,Tot_2000_2999_ClAW,Tot_2000_2999_SWks,Tot_2000_2999_MaOpDv,Tot_2000_2999_Lab,Tot_2000_2999_IDNS,Tot_2000_2999_Tot,Tot_3000_3499_Mng,Tot_3000_3499_Pro,Tot_3000_3499_TecTW,Tot_3000_3499_CoPSW,Tot_3000_3499_ClAW,Tot_3000_3499_SWks,Tot_3000_3499_MaOpDv,Tot_3000_3499_Lab,Tot_3000_3499_IDNS,Tot_3000_3499_Tot,Tot_3500mo_Mng,Tot_3500mo_Pro,Tot_3500mo_TecTW,Tot_3500mo_CoPSW,Tot_3500mo_ClAW,Tot_3500mo_SWks,Tot_3500mo_MaOpDv,Tot_3500mo_Lab,Tot_3500mo_IDNS,Tot_3500mo_Tot,Tot_PINS_Mng,Tot_PINS_Pro,Tot_PINS_TecTW,Tot_PINS_CoPSW,Tot_PINS_ClAW,Tot_PINS_SWks,Tot_PINS_MaOpDv,Tot_PINS_Lab,Tot_PINS_IDNS,Tot_PINS_Tot,Tot_Tot_Mng,Tot_Tot_Pro,Tot_Tot_TecTW,Tot_Tot_CoPSW,Tot_Tot_ClAW,Tot_Tot_SWks,Tot_Tot_MaOpDv,Tot_Tot_Lab,Tot_Tot_IDNS,Tot_Tot_Tot
50101,0,0,0,0,3,0,0,0,0,11,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,0,0,5,13,16,25,212,412,35,504,13,303,19,1539
50102,0,10,14,5,7,0,3,0,0,37,0,4,10,5,0,0,0,0,0,15,0,0,4,0,0,0,0,0,0,3,0,3,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0,0,0,0,0,4,0,0,7,9,0,6,0,3,4,33,26,73,497,502,140,882,77,601,37,2844
50103,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,10,89,77,21,109,6,102,6,427
50201,0,0,12,11,0,0,5,0,0,26,4,0,3,3,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,3,7,0,3,3,28,44,64,318,667,92,1150,94,545,22,2997
50301,5,34,10,16,7,3,0,0,0,75,0,14,0,6,7,5,0,0,0,29,0,11,5,4,0,6,0,0,0,21,0,5,0,9,0,3,0,0,0,14,0,0,0,0,0,0,0,0,0,7,0,0,0,0,3,3,0,0,0,12,0,0,0,13,5,0,0,0,10,24,104,452,278,1778,365,990,95,482,50,4589
50302,15,138,15,26,81,7,0,6,3,291,8,85,13,21,29,10,0,3,7,186,0,31,3,5,12,4,0,0,0,66,8,16,0,5,0,0,0,0,0,41,0,3,0,4,0,0,0,0,0,10,0,6,0,4,5,4,0,0,0,18,0,8,8,14,10,11,0,7,26,81,225,1377,688,3012,1559,2054,161,1306,189,10557
50401,0,9,9,4,0,3,5,3,0,24,0,6,0,3,0,0,4,0,0,17,0,0,4,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,4,25,53,99,348,569,107,861,83,469,28,2619
50402,0,0,0,7,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,14,17,22,71,181,32,313,25,223,5,888
50403,5,9,12,10,5,4,7,4,0,59,0,9,6,5,0,0,0,0,0,26,0,3,5,5,0,0,3,0,0,13,0,6,0,0,0,0,0,0,0,8,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,0,14,3,0,22,52,99,183,634,1080,261,1750,270,989,76,5347
50501,14,15,6,20,4,7,0,0,0,59,4,6,0,0,0,0,0,3,0,26,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17,4,13,0,9,9,59,134,185,301,1663,284,2557,171,1198,46,6541
50502,4,16,28,23,14,4,4,0,0,88,0,15,15,8,5,3,5,0,0,46,0,6,0,0,0,0,0,0,0,8,0,0,9,0,0,3,3,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,4,4,12,4,13,0,4,6,56,104,369,715,1507,399,2487,245,1063,76,6970
50503,4,3,9,8,9,3,0,0,0,47,0,3,3,0,0,6,0,0,0,18,0,3,5,3,0,4,0,0,0,11,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,11,0,13,12,47,95,185,644,1005,195,1708,227,1093,50,5207
50601,0,4,3,3,0,5,0,0,0,20,0,5,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,5,0,3,0,14,38,55,209,365,86,792,68,431,22,2059
50602,0,17,19,19,11,3,4,0,7,80,6,10,7,10,5,7,0,0,0,46,0,7,13,0,4,0,0,0,0,23,0,0,11,8,0,0,0,0,0,19,0,0,3,3,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,11,0,0,6,8,0,15,0,7,13,53,101,219,480,1424,323,1299,257,793,66,4972
50603,10,19,21,17,10,5,17,0,0,97,4,4,10,3,0,5,4,0,0,35,0,5,7,0,5,0,0,0,0,17,0,0,4,3,0,0,3,3,0,18,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,6,0,0,6,12,0,9,5,4,13,51,133,315,726,1041,369,1720,359,947,88,5694
50604,0,0,6,10,4,0,5,3,0,30,0,0,5,3,0,0,0,0,0,12,0,0,4,0,0,0,0,0,0,7,0,3,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,10,0,4,5,19,37,84,336,409,97,793,115,467,25,2371
50605,0,3,5,4,3,0,0,4,0,18,0,0,0,0,0,0,0,0,0,6,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,16,58,158,291,51,341,74,299,11,1302
50606,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,13,30,64,145,16,169,16,151,4,607
50607,3,3,3,6,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,9,11,41,75,78,532,94,324,20,198,24,1384
50701,3,11,31,4,6,0,5,7,0,64,0,8,15,9,0,0,0,4,0,34,0,0,0,0,0,0,0,0,0,6,0,0,7,3,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,4,0,0,8,10,0,9,0,9,3,37,81,154,652,865,239,1271,241,732,47,4282
50702,0,6,4,10,0,0,0,0,0,21,4,5,0,4,0,0,3,3,0,19,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,3,0,6,0,8,10,28,61,107,251,964,167,659,81,406,35,2725
50703,0,6,3,0,4,0,0,3,0,12,0,8,3,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,4,13,15,32,150,139,36,263,38,175,18,864
50704,0,22,5,11,9,0,5,0,0,51,0,3,0,0,4,0,4,5,0,21,0,4,0,0,0,0,0,0,0,10,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,6,13,3,13,0,0,8,51,83,293,289,1053,272,1732,114,780,40,4652
50705,6,3,13,8,6,0,0,0,0,30,0,0,3,3,6,0,0,0,0,11,0,0,0,0,0,0,0,0,0,7,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,10,0,3,0,20,57,99,299,669,93,1365,96,715,48,3432
50901,0,4,3,9,5,0,0,0,0,20,0,0,0,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,4,13,26,35,225,284,51,393,28,302,33,1382
50902,0,3,6,0,0,0,0,0,0,17,0,0,4,0,0,0,4,0,0,10,0,0,3,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,8,8,36,27,187,117,37,210,28,183,21,847
50903,0,0,0,0,0,0,0,0,0,8,0,4,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,6,16,9,66,56,11,55,20,53,11,296
51001,0,10,5,0,4,0,0,0,0,15,0,0,0,6,0,0,0,4,0,9,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,5,22,67,115,34,141,4,93,6,492
51002,0,4,39,0,4,0,3,4,0,47,0,5,17,3,5,0,4,3,0,33,0,0,14,0,0,0,3,0,0,25,0,0,20,0,0,0,6,0,0,25,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,3,0,12,8,22,161,72,35,104,28,92,19,531
51003,0,0,25,4,0,0,0,7,0,35,4,0,11,0,0,0,0,4,0,21,0,0,8,4,4,0,0,0,0,16,0,0,11,0,0,0,0,0,0,27,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,12,23,171,88,45,190,12,137,18,687
51101,0,0,0,0,0,0,0,0,0,7,0,0,3,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,9,6,20,65,56,27,112,15,73,9,375
51102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,28,11,44,3,25,0,150
51103,0,10,31,3,5,3,0,0,0,45,0,0,29,3,6,0,7,7,0,47,0,8,17,0,3,0,8,0,0,31,0,7,15,0,0,0,7,0,0,27,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,12,6,53,261,110,60,220,43,138,16,912
