POW_SA3_CODE_2021,M1_Train_Mng,M1_Train_Pro,M1_Train_TecTW,M1_Train_CoPSW,M1_Train_ClAW,M1_Train_SWks,M1_Train_MaOpDv,M1_Train_Lab,M1_Train_IDNS,M1_Train_Tot,M1_Bus_Mng,M1_Bus_Pro,M1_Bus_TecTW,M1_Bus_CoPSW,M1_Bus_ClAW,M1_Bus_SWks,M1_Bus_MaOpDv,M1_Bus_Lab,M1_Bus_IDNS,M1_Bus_Tot,M1_Ferry_Mng,M1_Ferry_Pro,M1_Ferry_TecTW,M1_Ferry_CoPSW,M1_Ferry_ClAW,M1_Ferry_SWks,M1_Ferry_MaOpDv,M1_Ferry_Lab,M1_Ferry_IDNS,M1_Ferry_Tot,M1_Tram_or_LR_Mng,M1_Tram_or_LR_Pro,M1_Tram_or_LR_TecTW,M1_Tram_or_LR_CoPSW,M1_Tram_or_LR_ClAW,M1_Tram_or_LR_SWks,M1_Tram_or_LR_MaOpDv,M1_Tram_or_LR_Lab,M1_Tram_or_LR_IDNS,M1_Tram_or_LR_Tot,M1_Taxi_or_RSS_Mng,M1_Taxi_or_RSS_Pro,M1_Taxi_or_RSS_TecTW,M1_Taxi_or_RSS_CoPSW,M1_Taxi_or_RSS_ClAW,M1_Taxi_or_RSS_SWks,M1_Taxi_or_RSS_MaOpDv,M1_Taxi_or_RSS_Lab,M1_Taxi_or_RSS_IDNS,M1_Taxi_or_RSS_Tot,M1_CarAsDriv_Mng,M1_CarAsDriv_Pro,M1_CarAsDriv_TecTW,M1_CarAsDriv_CoPSW,M1_CarAsDriv_ClAW,M1_CarAsDriv_SWks,M1_CarAsDriv_MaOpDv,M1_CarAsDriv_Lab,M1_CarAsDriv_IDNS,M1_CarAsDriv_Tot,M1_CarAsPas_Mng,M1_CarAsPas_Pro,M1_CarAsPas_TecTW,M1_CarAsPas_CoPSW,M1_CarAsPas_ClAW,M1_CarAsPas_SWks,M1_CarAsPas_MaOpDv,M1_CarAsPas_Lab,M1_CarAsPas_IDNS,M1_CarAsPas_Tot,M1_Truck_Mng,M1_Truck_Pro,M1_Truck_TecTW,M1_Truck_CoPSW,M1_Truck_ClAW,M1_Truck_SWks,M1_Truck_MaOpDv,M1_Truck_Lab,M1_Truck_IDNS,M1_Truck_Tot,M1_MBikeScoot_Mng,M1_MBikeScoot_Pro,M1_MBikeScoot_TecTW,M1_MBikeScoot_CoPSW,M1_MBikeScoot_ClAW,M1_MBikeScoot_SWks,M1_MBikeScoot_MaOpDv,M1_MBikeScoot_Lab,M1_MBikeScoot_IDNS,M1_MBikeScoot_Tot,M1_Bicycle_Mng,M1_Bicycle_Pro,M1_Bicycle_TecTW,M1_Bicycle_CoPSW,M1_Bicycle_ClAW,M1_Bicycle_SWks,M1_Bicycle_MaOpDv,M1_Bicycle_Lab,M1_Bicycle_IDNS,M1_Bicycle_Tot,M1_Oth_Mng,M1_Oth_Pro,M1_Oth_TecTW,M1_Oth_CoPSW,M1_Oth_ClAW,M1_Oth_SWks,M1_Oth_MaOpDv,M1_Oth_Lab,M1_Oth_IDNS,M1_Oth_Tot,M1_WlkOnly_Mng,M1_WlkOnly_Pro,M1_WlkOnly_TecTW,M1_WlkOnly_CoPSW,M1_WlkOnly_ClAW,M1_WlkOnly_SWks,M1_WlkOnly_MaOpDv,M1_WlkOnly_Lab,M1_WlkOnly_IDNS,M1_WlkOnly_Tot,M1_Tot_M1_Mng,M1_Tot_M1_Pro,M1_Tot_M1_TecTW,M1_Tot_M1_CoPSW,M1_Tot_M1_ClAW,M1_Tot_M1_SWks,M1_Tot_M1_MaOpDv,M1_Tot_M1_Lab,M1_Tot_M1_IDNS,M1_Tot_M1_Tot,M2_TrnBus_Mng,M2_TrnBus_Pro,M2_TrnBus_TecTW,M2_TrnBus_CoPSW,M2_TrnBus_ClAW,M2_TrnBus_SWks,M2_TrnBus_MaOpDv,M2_TrnBus_Lab,M2_TrnBus_IDNS,M2_TrnBus_Tot,M2_TrnFer_Mng,M2_TrnFer_Pro,M2_TrnFer_TecTW,M2_TrnFer_CoPSW,M2_TrnFer_ClAW,M2_TrnFer_SWks,M2_TrnFer_MaOpDv,M2_TrnFer_Lab,M2_TrnFer_IDNS,M2_TrnFer_Tot,M2_TrnTrm_or_LR_Mng,M2_TrnTrm_or_LR_Pro,M2_TrnTrm_or_LR_TecTW,M2_TrnTrm_or_LR_CoPSW,M2_TrnTrm_or_LR_ClAW,M2_TrnTrm_or_LR_SWks,M2_TrnTrm_or_LR_MaOpDv,M2_TrnTrm_or_LR_Lab,M2_TrnTrm_or_LR_IDNS,M2_TrnTrm_or_LR_Tot,M2_TrnCarAsDriv_Mng,M2_TrnCarAsDriv_Pro,M2_TrnCarAsDriv_TecTW,M2_TrnCarAsDriv_CoPSW,M2_TrnCarAsDriv_ClAW,M2_TrnCarAsDriv_SWks,M2_TrnCarAsDriv_MaOpDv,M2_TrnCarAsDriv_Lab,M2_TrnCarAsDriv_IDNS,M2_TrnCarAsDriv_Tot,M2_TrnCarAsPa_Mng,M2_TrnCarAsPa_Pro,M2_TrnCarAsPa_TecTW,M2_TrnCarAsPa_CoPSW,M2_TrnCarAsPa_ClAW,M2_TrnCarAsPa_SWks,M2_TrnCarAsPa_MaOpDv,M2_TrnCarAsPa_Lab,M2_TrnCarAsPa_IDNS,M2_TrnCarAsPa_Tot,M2_TrnOth_Mng,M2_TrnOth_Pro,M2_TrnOth_TecTW,M2_TrnOth_CoPSW,M2_TrnOth_ClAW,M2_TrnOth_SWks,M2_TrnOth_MaOpDv,M2_TrnOth_Lab,M2_TrnOth_IDNS,M2_TrnOth_Tot,M2_Trn_and_Tot_Mng,M2_Trn_and_Tot_Pro,M2_Trn_and_Tot_TecTW,M2_Trn_and_Tot_CoPSW,M2_Trn_and_Tot_ClAW,M2_Trn_and_Tot_SWks,M2_Trn_and_Tot_MaOpDv,M2_Trn_and_Tot_Lab,M2_Trn_and_Tot_IDNS,M2_Trn_and_Tot_Tot
50101,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,12,3,9,0,34,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,16,0,26,1959,2496,2495,1971,1497,1454,688,1848,149,14552,78,56,148,174,60,243,27,326,12,1123,7,0,22,0,0,0,32,17,0,78,8,3,0,4,0,0,0,8,0,23,24,43,26,41,14,58,23,65,0,286,34,9,21,7,4,5,10,18,5,102,189,66,76,91,43,68,13,113,4,675,2294,2670,2796,2301,1609,1843,806,2426,172,16914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3
50102,0,0,0,0,0,0,0,0,0,12,11,21,177,18,17,39,96,103,3,491,0,0,0,0,0,0,0,5,0,9,0,0,0,0,0,0,0,0,0,0,0,7,7,12,9,12,3,25,4,80,3391,5774,6264,3988,3958,2406,3366,3932,466,33545,99,214,403,296,175,454,193,801,40,2678,26,3,76,0,6,3,89,46,6,250,14,12,18,5,8,8,19,18,4,105,18,35,29,26,8,27,7,56,3,217,23,22,29,21,6,6,24,62,9,200,158,126,77,94,65,91,28,140,11,792,3741,6213,7096,4471,4255,3047,3837,5180,553,38384,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,9,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,5,0,0,0,16
50103,0,0,0,0,0,0,0,0,0,0,0,0,34,3,0,0,17,37,3,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,914,776,852,618,594,399,588,913,68,5721,44,23,54,56,20,65,29,213,6,519,7,0,20,0,0,0,38,12,0,81,21,0,5,4,0,0,7,0,0,33,0,6,3,3,3,3,11,8,0,35,31,0,11,3,5,6,4,8,0,71,202,28,52,29,29,35,20,104,7,508,1215,837,1039,718,648,512,713,1300,84,7081,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,4
50201,3,12,7,14,8,3,4,13,0,66,7,12,22,49,10,75,11,74,0,263,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,6,7,8,11,0,7,3,13,0,49,2073,3725,3258,3733,2124,2393,1301,1994,243,20837,79,95,175,283,77,402,54,352,21,1524,24,0,41,0,6,6,42,40,0,162,3,8,14,5,7,6,13,10,0,60,4,12,24,17,3,18,7,16,0,105,8,9,24,23,5,6,15,23,5,129,47,30,56,71,23,59,16,88,6,400,2267,3917,3625,4204,2262,2969,1465,2614,280,23596,0,10,11,22,3,21,0,11,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,3,4,7,3,4,8,0,36,0,0,4,0,0,0,0,0,0,8,0,5,0,0,0,0,0,0,0,7,10,27,19,26,10,29,5,19,0,137
50301,38,128,50,64,60,69,5,56,13,479,94,600,84,211,203,71,11,103,17,1392,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,11,50,13,18,9,3,8,3,0,112,3235,11697,2796,4113,3312,1607,432,1340,324,28844,108,531,128,282,191,164,8,191,15,1623,7,0,22,0,0,0,5,6,3,50,21,76,20,23,9,4,3,3,0,159,48,460,43,63,34,15,5,21,7,699,16,33,19,19,8,3,6,9,3,119,118,492,53,229,84,115,13,67,14,1184,3692,14071,3225,5036,3908,2045,499,1802,406,34674,43,283,82,100,137,43,13,74,7,789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,25,8,7,19,9,0,3,0,81,7,8,5,7,5,0,0,0,0,39,3,8,4,0,3,9,0,5,0,28,58,332,102,117,157,60,14,85,8,939
50302,2382,7431,1340,1041,4604,679,144,547,383,18554,1956,7358,1172,1131,2909,679,236,783,261,16479,13,25,3,3,8,3,0,5,5,62,0,10,0,0,0,0,0,0,0,9,152,371,75,115,138,28,22,56,18,980,15950,32229,7335,9753,13648,3990,1809,3395,1243,89346,1054,2894,582,805,1712,516,123,587,128,8401,17,0,46,4,0,0,36,25,7,137,163,385,94,74,74,8,25,26,18,861,620,1690,186,136,259,42,45,71,35,3076,186,518,579,84,131,25,334,230,81,2160,753,1957,378,568,605,287,52,280,54,4934,23253,54866,11790,13712,24082,6254,2821,6010,2233,145007,874,3283,539,544,1678,367,37,440,171,7938,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,1076,3331,655,342,2078,221,48,102,129,7997,162,469,71,66,303,63,6,33,16,1197,60,203,41,33,55,8,5,12,3,426,2174,7293,1313,995,4121,664,98,593,318,17572
50401,16,17,27,18,6,21,11,25,11,140,17,28,48,79,18,101,12,93,7,399,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,11,9,10,20,9,8,19,24,0,108,2387,2991,4052,2591,2073,1791,1461,1832,272,19450,74,81,153,197,93,267,66,321,19,1278,14,0,36,0,6,0,50,24,0,139,3,14,19,9,4,0,9,10,0,63,13,24,30,12,6,10,4,19,0,121,12,10,31,10,16,10,16,19,16,134,39,50,21,58,18,44,14,66,3,314,2582,3223,4426,2987,2264,2249,1664,2433,326,22159,10,13,20,25,10,15,11,40,0,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,8,6,3,0,0,0,31,0,0,0,3,0,0,3,0,0,15,0,0,3,0,0,0,0,4,0,12,14,18,33,34,16,25,10,47,0,196
50402,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,19,3,14,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,6,3,5,0,20,752,1166,1073,1121,650,581,476,664,100,6575,19,31,54,63,26,105,20,138,9,466,25,0,19,0,0,4,52,14,0,111,0,0,5,3,10,3,4,0,0,27,4,10,11,0,3,5,0,8,0,36,4,10,8,0,10,0,14,11,0,51,21,27,15,19,16,17,5,25,8,148,826,1237,1181,1222,703,740,582,875,120,7484,4,4,5,6,5,0,4,6,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,3,6,5,0,3,6,3,32
50403,16,50,20,20,26,18,5,30,11,201,14,29,64,50,18,105,56,101,14,453,0,0,5,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,14,15,23,32,5,26,28,42,0,193,5819,7747,8333,5315,5624,3912,4928,4347,723,46754,173,195,387,357,248,596,183,724,50,2921,53,4,119,4,18,3,195,51,11,466,10,24,32,35,5,3,38,10,4,170,18,44,24,22,14,17,28,36,4,206,29,34,111,18,30,14,80,62,15,402,99,122,74,100,35,135,34,112,11,716,6241,8266,9198,5971,6023,4848,5588,5514,836,52477,6,38,36,29,13,51,12,46,0,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,4,7,3,3,3,0,40,0,6,7,0,0,3,0,0,0,10,0,4,0,5,0,4,0,3,0,18,9,55,51,42,25,60,19,56,0,312
50501,34,108,43,75,52,81,6,48,18,465,22,35,21,72,23,87,12,71,5,352,0,0,6,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,14,15,13,29,9,19,7,11,3,111,3261,8771,3502,6169,3517,3817,820,2260,382,32489,99,213,201,431,176,654,29,490,35,2329,20,0,74,0,9,0,31,44,3,181,6,15,16,10,10,9,8,7,5,83,13,49,13,24,12,15,5,24,0,152,6,36,39,7,14,5,14,15,10,144,47,139,54,138,56,114,8,82,15,649,3523,9372,3972,6952,3875,4803,931,3049,463,36945,28,73,40,89,49,97,3,66,11,452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,27,7,18,7,0,0,9,0,75,0,9,0,6,8,17,0,8,0,55,4,7,0,5,7,0,0,3,0,24,29,115,51,116,69,114,9,80,17,600
