POW_SA4_CODE_2021,Tot_Bf_91,Tot_91_95,Tot_96_00,Tot_01_05,Tot_06_10,Tot_11_15,Tot_16_20,Tot_2021,Tot_NS,Tot_Tot
501,5710,773,1135,1745,3490,3102,2186,77,465,18683
502,2511,378,521,1040,2516,2151,879,14,146,10153
503,26398,6449,9217,13623,23539,21046,15720,397,1229,117606
504,10082,2254,2771,3857,8838,7358,4502,97,536,40304
505,18313,4603,6050,9678,18587,14954,8859,143,912,82115
506,22009,4849,6395,9921,23009,19142,12957,187,1169,99640
507,17192,3597,4866,7312,16319,13881,7700,174,826,71871
509,4265,560,779,1110,2122,1829,1557,164,335,12725
510,4668,964,1459,1951,4904,4332,2974,136,435,21829
511,3882,684,1156,1590,3710,3252,2511,98,376,17260
597,116,31,45,56,97,76,47,0,14,480
599,6105,1200,1702,2320,4460,3800,2728,65,414,22790
