POW_SA4_CODE_2021,TPW_Oth_tspt_P,TPW_PstCour_PU_D_Svc_M,TPW_PstCour_PU_D_Svc_F,TPW_PstCour_PU_D_Svc_P,TPW_Tspt_supt_Svs_M,TPW_Tspt_supt_Svs_F,TPW_Tspt_supt_Svs_P,TPW_Wh_storage_Svs_M,TPW_Wh_storage_Svs_F,TPW_Wh_storage_Svs_P,TPW_Tot_M,TPW_Tot_F,TPW_Tot_P,IMT_IMT_nfd_M,IMT_IMT_nfd_F,IMT_IMT_nfd_P,IMT_PubExc_InetMusP_M,IMT_PubExc_InetMusP_F,IMT_PubExc_InetMusP_P,IMT_MotionP_SR_Act_M,IMT_MotionP_SR_Act_F,IMT_MotionP_SR_Act_P,IMT_Brdcast_ex_Inet_M,IMT_Brdcast_ex_Inet_F,IMT_Brdcast_ex_Inet_P,IMT_InetPub_brdcast_M,IMT_InetPub_brdcast_F,IMT_InetPub_brdcast_P,IMT_Tel_Svs_M,IMT_Tel_Svs_F,IMT_Tel_Svs_P,IMT_ISP_WSP_DP_svce_M,IMT_ISP_WSP_DP_svce_F,IMT_ISP_WSP_DP_svce_P,IMT_Lib_and_oth_IS_M,IMT_Lib_and_oth_IS_F,IMT_Lib_and_oth_IS_P,IMT_Tot_M,IMT_Tot_F,IMT_Tot_P,FinIns_FinIns_nfd_M,FinIns_FinIns_nfd_F,FinIns_FinIns_nfd_P,FinIns_Finance_M,FinIns_Finance_F,FinIns_Finance_P,FinIns_Ins_and_super_funds_M,FinIns_Ins_and_super_funds_F,FinIns_Ins_and_super_funds_P,FinIns_Aux_FinIns_Svs_M,FinIns_Aux_FinIns_Svs_F,FinIns_Aux_FinIns_Svs_P,FinIns_Tot_M,FinIns_Tot_F,FinIns_Tot_P,RHRE_RHRE_nfd_M,RHRE_RHRE_nfd_F,RHRE_RHRE_nfd_P,RHRE_RHSvc_ex_RealE_M,RHRE_RHSvc_ex_RealE_F,RHRE_RHSvc_ex_RealE_P,RHRE_POps_and_RE_svs_M,RHRE_POps_and_RE_svs_F,RHRE_POps_and_RE_svs_P,RHRE_Tot_M,RHRE_Tot_F,RHRE_Tot_P,ProSTS_ProSTS_nfd_M,ProSTS_ProSTS_nfd_F,ProSTS_ProSTS_nfd_P,ProSTS_ProSTS_ex_CSD_RS_M,ProSTS_ProSTS_ex_CSD_RS_F,ProSTS_ProSTS_ex_CSD_RS_P,ProSTS_CSD_RS_M,ProSTS_CSD_RS_F,ProSTS_CSD_RS_P,ProSTS_Tot_M,ProSTS_Tot_F,ProSTS_Tot_P,AdSup_AdSup_nfd_M,AdSup_AdSup_nfd_F,AdSup_AdSup_nfd_P,AdSup_Admin_Svs_M,AdSup_Admin_Svs_F,AdSup_Admin_Svs_P,AdSup_BldCln_PC_oth_Svc_M,AdSup_BldCln_PC_oth_Svc_F,AdSup_BldCln_PC_oth_Svc_P,AdSup_Tot_M,AdSup_Tot_F,AdSup_Tot_P,PubAS_PubAS_nfd_M,PubAS_PubAS_nfd_F,PubAS_PubAS_nfd_P,PubAS_PubAdm_M,PubAS_PubAdm_F,PubAS_PubAdm_P,PubAS_Defen_M,PubAS_Defen_F,PubAS_Defen_P,PubAS_PO_S_and_R_Svs_M,PubAS_PO_S_and_R_Svs_F,PubAS_PO_S_and_R_Svs_P,PubAS_Tot_M,PubAS_Tot_F,PubAS_Tot_P,EdTrn_EdTrn_nfd_M,EdTrn_EdTrn_nfd_F,EdTrn_EdTrn_nfd_P,EdTrn_PreSch_and_Sch_ed_M,EdTrn_PreSch_and_Sch_ed_F,EdTrn_PreSch_and_Sch_ed_P,EdTrn_Tertiary_ed_M,EdTrn_Tertiary_ed_F,EdTrn_Tertiary_ed_P,EdTrn_AdultCom_andOthEd_M,EdTrn_AdultCom_andOthEd_F,EdTrn_AdultCom_andOthEd_P,EdTrn_Tot_M,EdTrn_Tot_F,EdTrn_Tot_P,HC_SA_HC_SA_nfd_M,HC_SA_HC_SA_nfd_F,HC_SA_HC_SA_nfd_P,HC_SA_Hospitals_M,HC_SA_Hospitals_F,HC_SA_Hospitals_P,HC_SA_Med_oth_HCS_M,HC_SA_Med_oth_HCS_F,HC_SA_Med_oth_HCS_P,HC_SA_Resident_CS_M,HC_SA_Resident_CS_F,HC_SA_Resident_CS_P,HC_SA_Soc_assis_Svs_M,HC_SA_Soc_assis_Svs_F,HC_SA_Soc_assis_Svs_P,HC_SA_Tot_M,HC_SA_Tot_F,HC_SA_Tot_P,ArtsR_ArtsR_nfd_M,ArtsR_ArtsR_nfd_F,ArtsR_ArtsR_nfd_P,ArtsR_Heritage_ac_M,ArtsR_Heritage_ac_F,ArtsR_Heritage_ac_P,ArtsR_Creative_PAA_M,ArtsR_Creative_PAA_F,ArtsR_Creative_PAA_P,ArtsR_Sports_rec_ac_M,ArtsR_Sports_rec_ac_F,ArtsR_Sports_rec_ac_P,ArtsR_Gambling_ac_M,ArtsR_Gambling_ac_F,ArtsR_Gambling_ac_P,ArtsR_Tot_M,ArtsR_Tot_F,ArtsR_Tot_P,OthSvs_OthSvs_nfd_M,OthSvs_OthSvs_nfd_F,OthSvs_OthSvs_nfd_P,OthSvs_Repair_maintenanc_M,OthSvs_Repair_maintenanc_F,OthSvs_Repair_maintenanc_P,OthSvs_Personal_OthSvs_M,OthSvs_Personal_OthSvs_F,OthSvs_Personal_OthSvs_P,OthSvs_PriHES_UG_SPA_HOU_M,OthSvs_PriHES_UG_SPA_HOU_F,OthSvs_PriHES_UG_SPA_HOU_P,OthSvs_Tot_M,OthSvs_Tot_F,OthSvs_Tot_P,Inad_des_M,Inad_des_F,Inad_des_P,Industry_of_em_NS_M,Industry_of_em_NS_F,Industry_of_em_NS_P,Tot_M,Tot_F,Tot_P
501,48,232,232,464,177,58,237,62,29,89,1951,736,2695,3,6,7,16,31,50,43,44,89,42,46,89,0,0,0,69,28,98,21,5,21,3,20,28,188,188,380,16,22,38,125,303,422,35,94,132,136,169,305,316,590,905,0,3,3,136,62,200,270,585,853,406,649,1057,4,0,9,1070,1315,2382,151,54,205,1226,1369,2596,6,0,3,260,482,742,617,773,1392,878,1257,2134,5,10,17,1146,1558,2707,12,3,10,707,351,1060,1871,1925,3793,38,94,136,1057,4847,5899,145,341,485,132,316,442,1372,5594,6965,26,169,194,503,2449,2948,582,2522,3103,194,1483,1685,470,2151,2622,1778,8776,10553,17,11,31,78,88,163,75,130,207,209,330,539,8,8,16,381,570,956,0,0,0,1168,279,1449,304,1308,1613,0,3,0,1473,1588,3064,1331,826,2155,477,406,874,38731,40162,78895
502,17,112,86,199,32,8,40,24,11,35,536,261,801,0,0,0,11,17,22,16,14,27,20,18,35,4,0,0,19,9,23,6,3,3,4,3,10,60,62,120,11,11,21,27,114,139,14,39,53,52,69,125,101,238,339,0,0,0,40,45,85,129,315,444,172,363,533,5,3,3,282,491,777,65,26,92,347,521,871,0,0,5,98,189,290,235,348,584,335,537,876,0,0,0,353,570,925,11,9,19,243,130,374,604,711,1319,16,31,46,536,2486,3019,39,95,127,56,140,196,646,2745,3391,14,84,103,111,748,860,310,1381,1693,98,1115,1220,249,1322,1576,786,4656,5443,0,6,9,25,26,52,20,25,47,148,239,381,11,14,29,203,315,514,0,0,0,462,132,589,129,691,829,0,3,3,594,821,1414,488,383,874,201,156,357,12200,18036,30240
503,255,272,147,424,697,369,1064,184,90,278,3592,1482,5080,47,43,84,199,157,355,207,147,352,291,298,583,79,47,125,793,343,1141,381,133,518,45,129,173,2041,1293,3330,175,133,304,3252,3995,7246,1707,2769,4470,2582,2187,4766,7711,9079,16797,4,7,8,107,73,182,2090,2384,4472,2198,2460,4659,98,56,161,20556,17893,38445,5904,1960,7869,26557,19914,46474,0,9,9,2175,3425,5598,1035,1292,2323,3208,4724,7935,33,48,82,6521,10539,17066,663,179,839,3899,2598,6501,11126,13362,24492,189,410,602,1872,5640,7514,2633,3754,6383,597,1005,1600,5294,10797,16100,198,709,910,5656,18595,24252,2323,8086,10410,756,3118,3873,1388,4661,6045,10313,35170,45484,50,70,115,161,280,438,410,566,973,992,923,1915,236,229,469,1850,2066,3915,0,4,3,759,237,999,1909,4329,6239,0,112,111,2668,4680,7348,3972,2948,6918,1345,1117,2461,123004,138272,261272
504,29,674,266,943,273,56,335,332,104,442,4338,1141,5479,15,0,21,21,40,63,60,52,112,61,17,84,4,3,3,280,76,360,59,21,85,7,18,24,520,226,743,14,18,34,144,267,407,45,104,155,141,140,283,348,527,872,4,0,6,339,137,475,336,476,810,681,612,1291,14,4,19,1671,1608,3279,492,135,625,2183,1738,3923,0,8,8,490,501,991,896,659,1552,1386,1162,2547,3,6,10,1172,1416,2583,370,106,475,2186,1194,3381,3732,2718,6452,65,116,176,1502,6064,7564,176,145,317,271,569,843,2015,6885,8899,46,158,200,451,1793,2244,711,2652,3363,339,1673,2016,769,2937,3705,2321,9212,11532,21,21,46,66,57,123,151,194,341,385,426,810,23,45,68,643,746,1389,3,0,3,2319,474,2789,619,1870,2490,0,18,17,2945,2362,5305,3131,1492,4626,732,494,1223,54135,46324,100464
505,45,793,319,1113,177,50,228,191,86,277,3227,848,4071,40,12,53,169,146,318,189,136,325,278,264,536,10,14,19,363,117,479,127,58,188,8,34,48,1185,786,1969,90,65,150,399,588,991,182,370,554,701,657,1358,1371,1683,3053,3,8,11,253,158,413,803,1312,2120,1064,1481,2547,42,13,54,4115,3828,7939,1425,475,1892,5578,4311,9885,3,12,14,804,1270,2075,1680,1484,3165,2483,2774,5255,12,9,16,2662,3363,6024,44,49,93,1894,761,2658,4613,4174,8792,127,288,423,3273,13822,17092,1054,1815,2863,633,1239,1876,5090,17164,22255,92,338,423,804,3915,4710,1980,7630,9614,763,4450,5207,1224,5532,6760,4863,21866,26728,31,36,70,66,54,119,172,216,380,873,906,1787,284,238,518,1428,1448,2868,3,0,3,2783,599,3377,1268,3905,5176,0,50,50,4051,4555,8609,4255,2451,6706,1091,811,1903,84297,95548,179841
506,61,2581,1010,3588,2044,818,2862,1142,323,1466,15223,4925,20145,29,13,39,55,81,136,151,125,272,49,29,79,5,4,13,432,132,561,152,63,212,16,49,68,891,491,1383,48,37,81,435,561,993,180,214,388,549,509,1060,1208,1320,2525,5,10,22,982,421,1402,869,1310,2180,1860,1745,3607,34,20,53,4908,3939,8844,1412,391,1797,6348,4353,10696,0,6,6,1573,1643,3219,1850,1574,3422,3423,3229,6656,16,15,25,2522,3122,5646,42,25,64,3048,1468,4514,5629,4625,10253,148,258,409,2967,11914,14883,2197,2975,5177,557,1061,1619,5878,16215,22092,111,359,473,631,2483,3116,2026,6079,8100,1090,5133,6224,1489,5634,7123,5353,19682,25032,35,48,82,186,246,436,145,184,335,1266,1365,2633,1687,1458,3142,3327,3301,6620,0,0,0,4314,875,5194,1170,3115,4290,0,20,20,5488,4020,9500,6710,3056,9768,1540,1116,2658,122607,100543,223150
507,193,621,265,882,1329,407,1740,561,196,752,5986,1709,7693,17,12,31,52,71,119,162,130,294,26,32,53,33,13,46,154,67,219,57,22,78,11,29,36,515,371,882,53,39,91,227,502,734,49,144,194,379,338,722,713,1017,1734,7,8,11,326,142,466,715,1252,1965,1045,1400,2443,18,23,41,3788,3434,7221,811,256,1075,4618,3719,8338,0,12,12,724,850,1569,1137,1212,2349,1856,2071,3925,9,9,15,1714,2098,3812,2716,857,3576,2223,1123,3352,6655,4091,10750,148,228,381,2360,10758,13116,1361,2082,3439,572,1106,1682,4449,14167,18615,77,330,409,2394,8867,11263,1812,6414,8223,532,3291,3826,1191,4973,6167,6016,23875,29890,33,54,83,112,127,237,194,272,471,795,916,1707,30,37,66,1158,1412,2571,0,0,0,2358,499,2854,944,3151,4100,0,48,48,3302,3697,6994,4692,2327,7020,1039,752,1791,88482,88688,177166
509,15,147,196,338,140,29,171,152,33,186,1569,661,2230,0,3,7,27,40,62,12,13,29,23,13,35,0,0,0,32,11,46,14,0,17,4,21,24,114,112,223,7,4,14,99,267,368,48,48,100,44,113,153,199,433,627,5,0,0,55,21,76,142,244,383,200,270,470,6,4,8,518,843,1364,71,32,94,595,871,1465,0,3,3,160,221,381,304,382,686,465,606,1065,0,4,5,1275,1335,2611,6,0,11,802,348,1154,2082,1696,3777,27,69,97,886,3562,4440,128,253,381,59,160,218,1098,4042,5136,30,123,154,413,1870,2285,329,1301,1627,156,930,1085,251,1129,1376,1171,5356,6523,4,6,12,53,63,119,32,60,90,94,140,234,6,12,14,188,282,472,0,0,0,954,258,1214,181,577,758,0,5,5,1140,838,1977,889,555,1438,430,365,792,31762,27520,59284
510,154,81,108,191,653,211,863,20,9,28,2673,792,3465,0,5,9,3,12,11,15,23,36,44,38,85,0,0,0,41,14,51,5,0,14,4,12,17,104,110,215,0,4,4,37,103,136,3,3,8,12,17,27,48,129,178,0,0,5,255,140,396,158,297,452,407,446,854,0,5,5,705,438,1147,70,14,88,780,458,1238,0,0,0,817,570,1390,369,524,894,1185,1097,2283,3,4,6,766,1026,1787,57,8,64,714,393,1115,1542,1426,2971,45,72,119,615,2555,3174,142,257,401,120,195,312,921,3079,3997,33,129,164,303,1252,1557,340,1048,1389,58,205,266,277,1062,1338,1010,3701,4717,6,11,17,126,75,201,23,63,83,43,120,161,4,18,26,208,283,492,0,0,0,820,139,959,189,481,671,0,3,6,1011,619,1630,1324,499,1818,505,371,874,47469,23291,70762
511,134,146,154,296,344,110,451,98,28,126,2505,834,3342,13,0,11,7,13,24,22,24,45,23,36,55,0,0,0,33,10,36,17,5,22,0,7,9,110,95,202,0,11,14,65,170,233,25,41,63,42,69,111,133,287,427,0,0,0,193,89,278,108,318,427,299,407,710,5,0,3,843,805,1649,99,27,133,956,832,1786,0,0,0,297,331,628,326,498,825,631,825,1456,4,5,7,979,1131,2106,45,9,52,775,408,1183,1798,1558,3357,30,52,83,698,3272,3967,171,322,494,59,150,208,961,3804,4761,22,132,148,358,1716,2073,337,1228,1559,71,585,654,248,1240,1488,1029,4900,5928,4,6,13,54,83,137,23,56,82,72,138,215,5,17,26,161,303,466,0,0,0,1143,281,1423,157,630,789,0,4,4,1295,916,2213,1025,594,1620,471,339,810,38730,27043,65776
