POW_SA4_CODE_2021,Mng_Mng_nfd_M,Mng_Mng_nfd_F,Mng_Mng_nfd_P,Mng_ChiefEx_GMng_legs__M,Mng_ChiefEx_GMng_legs__F,Mng_ChiefEx_GMng_legs__P,Mng_Farmers_FMng_M,Mng_Farmers_FMng_F,Mng_Farmers_FMng_P,Mng_Spec_Mng_M,Mng_Spec_Mng_F,Mng_Spec_Mng_P,Mng_Hosp_ret_svce_Mng_M,Mng_Hosp_ret_svce_Mng_F,Mng_Hosp_ret_svce_Mng_P,Mng_Tot_M,Mng_Tot_F,Mng_Tot_P,Pro_Pro_nfd_M,Pro_Pro_nfd_F,Pro_Pro_nfd_P,Pro_Arts_media_Pro_M,Pro_Arts_media_Pro_F,Pro_Arts_media_Pro_P,Pro_Busin_HR_mkting_Pro_M,Pro_Busin_HR_mkting_Pro_F,Pro_Busin_HR_mkting_Pro_P,Pro_DesEng_sci_tspt_Pro_M,Pro_DesEng_sci_tspt_Pro_F,Pro_DesEng_sci_tspt_Pro_P,Pro_Educ_Pro_M,Pro_Educ_Pro_F,Pro_Educ_Pro_P,Pro_Health_Pro_M,Pro_Health_Pro_F,Pro_Health_Pro_P,Pro_Inf_Com_Tec_ICT_Pro_M,Pro_Inf_Com_Tec_ICT_Pro_F,Pro_Inf_Com_Tec_ICT_Pro_P,Pro_Leg_soc_welf_Pro_M,Pro_Leg_soc_welf_Pro_F,Pro_Leg_soc_welf_Pro_P,Pro_Tot_M,Pro_Tot_F,Pro_Tot_P,TecTW_TecTW_nfd_M,TecTW_TecTW_nfd_F,TecTW_TecTW_nfd_P,TecTW_Eng_ICT_STecs_M,TecTW_Eng_ICT_STecs_F,TecTW_Eng_ICT_STecs_P,TecTW_Auto_eng_tds_wks_M,TecTW_Auto_eng_tds_wks_F,TecTW_Auto_eng_tds_wks_P,TecTW_Const_tds_wks_M,TecTW_Const_tds_wks_F,TecTW_Const_tds_wks_P,TecTW_EleTec_telco_tds_wks_M,TecTW_EleTec_telco_tds_wks_F,TecTW_EleTec_telco_tds_wks_P,TecTW_Food_tds_wks_M,TecTW_Food_tds_wks_F,TecTW_Food_tds_wks_P,TecTW_Sk_ani_hort_wks_M,TecTW_Sk_ani_hort_wks_F,TecTW_Sk_ani_hort_wks_P,TecTW_Oth_TecTW_M,TecTW_Oth_TecTW_F,TecTW_Oth_TecTW_P,TecTW_Tot_M,TecTW_Tot_F,TecTW_Tot_P,CoPSW_CoPSW_nfd_M,CoPSW_CoPSW_nfd_F,CoPSW_CoPSW_nfd_P,CoPSW_HlthWlfSptWs_M,CoPSW_HlthWlfSptWs_F,CoPSW_HlthWlfSptWs_P,CoPSW_Carers_aides_M,CoPSW_Carers_aides_F,CoPSW_Carers_aides_P,CoPSW_Hosp_wks_M,CoPSW_Hosp_wks_F,CoPSW_Hosp_wks_P,CoPSW_ProtecSvcWks_M,CoPSW_ProtecSvcWks_F,CoPSW_ProtecSvcWks_P,CoPSW_SptsPsnlSvceWs_M,CoPSW_SptsPsnlSvceWs_F,CoPSW_SptsPsnlSvceWs_P,CoPSW_Tot_M,CoPSW_Tot_F,CoPSW_Tot_P,ClAW_ClAW_nfd_M,ClAW_ClAW_nfd_F,ClAW_ClAW_nfd_P,ClAW_OfMngs_ProgAdm_M,ClAW_OfMngs_ProgAdm_F,ClAW_OfMngs_ProgAdm_P,ClAW_PsnlAs_secretaries_M,ClAW_PsnlAs_secretaries_F,ClAW_PsnlAs_secretaries_P,ClAW_GnrlClerWs_M,ClAW_GnrlClerWs_F,ClAW_GnrlClerWs_P,ClAW_InqClks_recepts_M,ClAW_InqClks_recepts_F,ClAW_InqClks_recepts_P,ClAW_Num_clerks_M,ClAW_Num_clerks_F,ClAW_Num_clerks_P,ClAW_Clerl_OfSuptWs_M,ClAW_Clerl_OfSuptWs_F,ClAW_Clerl_OfSuptWs_P,ClAW_Oth_ClAW_M,ClAW_Oth_ClAW_F,ClAW_Oth_ClAW_P,ClAW_Tot_M,ClAW_Tot_F,ClAW_Tot_P,SWs_SWs_nfd_M,SWs_SWs_nfd_F,SWs_SWs_nfd_P,SWs_Sales_reps_agnts_M,SWs_Sales_reps_agnts_F,SWs_Sales_reps_agnts_P,SWs_SalesAs_SalesPsns_M,SWs_SalesAs_SalesPsns_F,SWs_SalesAs_SalesPsns_P,SWs_SalesSptWks_M,SWs_SalesSptWks_F,SWs_SalesSptWks_P,SWs_Tot_M,SWs_Tot_F,SWs_Tot_P,MaOpD_MaOpD_nfd_M,MaOpD_MaOpD_nfd_F,MaOpD_MaOpD_nfd_P,MaOpD_Ma_StatPlntOps_M,MaOpD_Ma_StatPlntOps_F,MaOpD_Ma_StatPlntOps_P,MaOpD_MobPlntOps_M,MaOpD_MobPlntOps_F,MaOpD_MobPlntOps_P,MaOpD_RoadRail_dvrs_M,MaOpD_RoadRail_dvrs_F,MaOpD_RoadRail_dvrs_P,MaOpD_StorPsns_M,MaOpD_StorPsns_F,MaOpD_StorPsns_P,MaOpD_Tot_M,MaOpD_Tot_F,MaOpD_Tot_P,Lab_Lab_nfd_M,Lab_Lab_nfd_F,Lab_Lab_nfd_P,Lab_Clnrs_lndryWs_M,Lab_Clnrs_lndryWs_F,Lab_Clnrs_lndryWs_P,Lab_Const_and_Min_Lab_M,Lab_Const_and_Min_Lab_F,Lab_Const_and_Min_Lab_P,Lab_Factory_ProcWs_M,Lab_Factory_ProcWs_F,Lab_Factory_ProcWs_P,Lab_FarmFrstyGrdnWs_M,Lab_FarmFrstyGrdnWs_F,Lab_FarmFrstyGrdnWs_P,Lab_Food_prep_asts_M,Lab_Food_prep_asts_F,Lab_Food_prep_asts_P,Lab_Oth_Lab_M,Lab_Oth_Lab_F,Lab_Oth_Lab_P,Lab_Tot_M,Lab_Tot_F,Lab_Tot_P,Inad_des_M,Inad_des_F,Inad_des_P,NS_M,NS_F,NS_P,Tot_M,Tot_F,Tot_P
501,157,107,265,344,158,503,1865,774,2639,2088,1228,3315,1464,1905,3368,5918,4171,10086,34,57,89,154,213,370,794,1132,1928,1370,594,1961,845,2663,3504,828,2678,3496,175,39,214,262,752,1011,4454,8118,12571,166,7,172,1426,558,1989,3576,79,3655,1659,25,1679,1443,46,1488,863,605,1471,692,396,1087,601,707,1312,10425,2433,12853,4,24,28,178,820,995,465,4169,4635,401,1601,2003,586,156,742,259,839,1097,1890,7610,9500,6,23,29,262,1194,1459,10,372,385,116,1671,1783,73,1528,1606,174,1635,1809,208,234,437,407,617,1028,1260,7273,8535,11,18,23,408,478,885,1522,3537,5065,261,798,1060,2205,4826,7038,155,10,164,2044,282,2325,1013,69,1080,2053,271,2317,384,130,514,5648,761,6409,130,33,172,584,1833,2409,1097,64,1162,1153,665,1821,1263,553,1811,648,774,1423,1267,567,1833,6146,4485,10630,487,235,719,294,254,544,38731,40162,78895
502,59,36,93,129,62,188,109,52,156,568,495,1066,555,846,1406,1412,1494,2908,9,22,27,45,72,119,241,415,659,272,151,422,406,1286,1688,358,1147,1505,48,22,62,88,384,478,1468,3494,4962,46,4,49,330,197,528,1110,34,1141,655,16,672,413,10,419,310,246,553,266,191,457,194,411,601,3324,1106,4432,6,12,12,94,460,549,241,2583,2832,198,794,992,222,68,284,138,500,634,896,4410,5304,0,4,8,60,433,500,10,160,173,36,594,629,49,676,728,50,542,597,79,91,168,98,224,320,384,2733,3122,0,7,7,143,233,382,855,2151,3006,105,490,593,1109,2876,3984,22,0,26,582,103,678,159,6,169,659,170,825,104,46,149,1529,319,1850,39,11,52,246,666,910,304,8,313,101,59,159,166,40,201,384,389,774,578,243,822,1819,1418,3234,153,79,233,108,102,210,12200,18036,30240
503,975,540,1512,3146,1187,4337,65,26,89,14100,10056,24153,3641,3999,7644,21921,15807,37735,802,918,1720,911,964,1870,14220,15912,30132,14721,6254,20978,2482,4891,7371,4639,15618,20255,8115,2077,10198,3545,5778,9321,49435,52407,101836,335,75,414,5701,2416,8114,1759,81,1839,1721,44,1762,1657,84,1741,2350,1151,3503,514,401,915,1324,1316,2639,15345,5569,20917,17,50,64,607,2229,2836,1563,6757,8324,2188,4182,6365,3436,853,4282,1232,2119,3353,9041,16191,25230,63,186,252,2665,5476,8141,103,2982,3081,1193,5827,7022,1226,6176,7398,2390,7088,9479,491,946,1435,2428,4374,6801,10563,33049,43609,17,20,37,1746,1867,3615,2381,4569,6950,424,1032,1456,4571,7484,12057,49,5,49,1825,627,2452,201,11,217,1438,193,1626,409,116,522,3922,957,4877,135,38,170,1428,2607,4037,1069,48,1108,310,202,508,142,32,176,1415,1438,2847,1421,405,1821,5913,4758,10673,1471,1320,2798,812,722,1533,123004,138272,261272
504,311,126,437,900,240,1136,232,104,337,3902,1821,5718,2124,1826,3948,7465,4106,11572,65,49,114,256,290,545,1498,1472,2969,1694,593,2292,1209,3401,4616,983,2726,3706,595,90,687,391,988,1378,6693,9615,16308,258,21,280,1540,523,2061,5483,140,5620,2304,43,2346,1812,48,1858,991,541,1535,686,484,1175,1078,913,1994,14154,2713,16870,8,21,33,307,1013,1316,745,5188,5939,487,1581,2063,1546,490,2036,478,1105,1586,3579,9393,12974,10,28,38,404,1398,1802,14,424,438,243,1980,2226,189,1674,1868,311,2186,2496,443,242,684,1062,957,2020,2683,8894,11580,21,20,39,754,486,1239,2733,4560,7295,346,1190,1536,3856,6251,10109,199,9,209,1550,282,1833,1035,68,1109,3706,239,3947,1436,349,1785,7922,947,8875,141,31,168,772,1235,2006,1317,55,1375,1148,567,1720,488,277,763,924,992,1917,1920,626,2548,6722,3785,10497,633,318,952,429,311,738,54135,46324,100464
505,555,258,813,1562,517,2078,299,157,450,6430,3792,10226,3631,3717,7351,12475,8445,20918,154,205,357,534,570,1100,3693,3737,7430,2921,1573,4498,2663,7993,10660,1926,6174,8097,1639,398,2032,706,1879,2588,14231,22537,36762,378,26,408,3040,1378,4422,3853,85,3940,5089,82,5166,3802,90,3893,1722,935,2660,1236,733,1970,1552,1968,3525,20675,5304,25981,15,46,55,532,1939,2471,1349,11440,12790,1069,3172,4239,1556,433,1988,1198,2577,3774,5718,19596,25320,19,82,102,804,2875,3676,31,923,948,440,3897,4331,486,4117,4605,691,4127,4819,546,393,938,1233,1587,2818,4237,17997,22238,26,41,71,1534,1287,2821,5083,9231,14318,781,2421,3195,7425,12982,20408,134,13,151,1350,318,1671,939,32,965,3551,336,3889,1348,372,1714,7324,1068,8396,213,48,259,1626,2366,3991,2052,61,2122,1437,968,2406,700,332,1029,1872,1661,3539,2706,974,3676,10610,6418,17030,951,672,1623,651,529,1175,84297,95548,179841
506,742,309,1045,2022,528,2553,349,124,468,9824,4546,14371,4420,3737,8157,17353,9243,26595,325,331,651,353,389,749,4605,4810,9415,5585,1702,7284,3177,7510,10687,1931,5027,6959,2040,450,2492,777,1721,2504,18789,21946,40737,589,45,636,4347,1464,5813,10004,272,10270,3612,87,3702,3989,99,4090,2096,1182,3279,1222,809,2030,1505,1514,3017,27363,5476,32844,22,40,57,857,2159,3014,1437,11019,12457,2064,3934,5998,2706,783,3490,1138,2760,3905,8226,20690,28914,41,100,141,1141,3096,4233,32,937,973,579,4535,5116,523,3599,4122,771,4289,5054,1918,760,2679,2953,2665,5620,7964,19988,27952,38,41,80,1805,1311,3113,5058,7697,12753,912,2457,3369,7806,11500,19314,371,22,393,3548,611,4155,3217,226,3445,8335,680,9017,4046,1051,5095,19516,2589,22101,356,72,421,1873,3013,4889,2330,96,2422,2303,1215,3517,778,338,1121,2047,1775,3824,3591,1146,4735,13288,7654,20942,1368,794,2157,937,662,1596,122607,100543,223150
507,567,223,790,1446,423,1874,146,73,215,7125,3546,10671,3154,3268,6417,12436,7531,19965,186,229,414,466,553,1014,2905,3323,6228,4368,1829,6202,2427,6563,8992,3034,9056,12092,1127,278,1401,728,1783,2514,15232,23624,38857,763,51,811,3316,1442,4762,7061,134,7193,3476,75,3548,3446,151,3601,1727,934,2665,939,787,1725,1935,1604,3536,22660,5183,27841,10,40,50,467,1790,2255,1146,9387,10535,1069,3026,4094,2203,607,2812,1022,2246,3267,5921,17099,23024,16,57,78,984,2653,3641,26,814,844,376,3481,3860,278,3380,3654,598,3296,3896,428,423,857,1602,1754,3360,4315,15867,20184,18,27,42,1008,1034,2044,3894,7541,11437,675,1879,2560,5595,10484,16079,290,19,306,2812,430,3244,1422,82,1507,4087,402,4492,1674,452,2122,10280,1379,11660,240,48,287,1351,2475,3824,2081,81,2162,1602,1040,2639,483,308,790,1703,1608,3310,2879,899,3782,10341,6449,16785,1083,592,1675,624,473,1098,88482,88688,177166
509,131,71,201,273,118,394,5633,2035,7671,1342,905,2242,1010,1170,2179,8390,4301,12696,22,30,53,79,124,204,545,650,1191,827,408,1237,590,1810,2399,537,1658,2192,74,9,83,174,471,650,2844,5167,8009,87,7,88,801,273,1072,2746,70,2822,898,15,917,850,18,870,488,398,881,604,313,914,222,381,598,6699,1470,8165,8,9,11,108,646,756,379,2594,2973,188,784,971,643,163,808,115,360,474,1434,4557,5995,4,20,22,123,776,898,10,303,310,89,1269,1357,51,867,915,90,1305,1391,130,163,298,273,335,607,769,5030,5797,3,6,12,267,233,502,949,1900,2849,140,454,592,1357,2599,3959,108,13,125,1601,252,1856,1187,113,1299,1726,340,2064,168,39,203,4788,757,5546,119,30,149,393,1268,1658,557,38,597,754,347,1102,1859,735,2591,301,517,816,890,309,1200,4876,3242,8117,327,155,480,281,241,522,31762,27520,59284
510,183,77,266,281,174,454,166,65,229,2291,1050,3342,872,860,1732,3796,2220,6022,40,50,85,74,115,190,500,676,1179,3032,634,3668,633,1412,2048,698,1528,2228,126,24,144,223,475,693,5321,4919,10242,336,33,373,3453,647,4102,7234,308,7537,1287,12,1306,3223,163,3383,604,316,920,387,112,495,699,264,962,17228,1855,19085,6,5,13,297,618,913,239,1544,1787,205,581,784,910,292,1200,145,335,479,1805,3368,5177,8,22,27,350,730,1086,0,168,173,88,1248,1334,62,669,735,67,570,641,63,145,212,763,505,1272,1413,4071,5484,4,8,7,75,207,284,568,1071,1642,76,273,350,724,1555,2279,197,51,251,6721,1172,7897,995,132,1128,2936,845,3779,470,131,599,11319,2333,13653,135,36,174,577,1365,1937,1971,132,2103,138,41,177,376,137,507,271,353,622,1313,405,1717,4776,2473,7240,756,237,988,333,257,590,47469,23291,70762
511,174,90,269,328,134,461,1541,640,2179,1997,934,2928,1011,1104,2112,5049,2896,7951,29,23,52,60,115,178,503,709,1213,2172,613,2784,571,1695,2269,622,1626,2248,118,27,143,198,482,675,4282,5281,9563,181,16,203,2017,520,2536,5255,116,5376,981,12,992,1784,57,1839,545,369,917,344,191,526,302,321,627,11407,1604,13020,0,12,16,156,604,759,258,2340,2595,192,854,1045,768,247,1016,133,482,615,1511,4530,6046,10,24,29,195,867,1064,7,271,283,92,1444,1536,61,993,1055,87,1050,1136,107,138,249,424,472,892,987,5265,6249,4,4,10,176,236,413,974,1935,2913,134,483,611,1286,2651,3946,168,17,187,5372,727,6104,890,77,966,2446,607,3055,398,124,521,9285,1549,10834,117,30,141,408,1520,1933,1230,73,1306,177,91,266,659,203,855,360,525,886,1207,363,1567,4154,2807,6957,456,219,678,310,229,545,38730,27043,65776
