POW_SA4_CODE_2021,Tot_800_999_H_0,Tot_800_999_H_1_19,Tot_800_999_H_20_29,Tot_800_999_H_30_34,Tot_800_999_H_35_39,Tot_800_999_H_40_44,Tot_800_999_H_45_49,Tot_800_999_H_50ov,Tot_800_999_H_NS,Tot_800_999_H_Tot,Tot_1000_1249_H_0,Tot_1000_1249_H_1_19,Tot_1000_1249_H_20_29,Tot_1000_1249_H_30_34,Tot_1000_1249_H_35_39,Tot_1000_1249_H_40_44,Tot_1000_1249_H_45_49,Tot_1000_1249_H_50ov,Tot_1000_1249_H_NS,Tot_1000_1249_H_Tot,Tot_1250_1499_H_0,Tot_1250_1499_H_1_19,Tot_1250_1499_H_20_29,Tot_1250_1499_H_30_34,Tot_1250_1499_H_35_39,Tot_1250_1499_H_40_44,Tot_1250_1499_H_45_49,Tot_1250_1499_H_50ov,Tot_1250_1499_H_NS,Tot_1250_1499_H_Tot,Tot_1500_1749_H_0,Tot_1500_1749_H_1_19,Tot_1500_1749_H_20_29,Tot_1500_1749_H_30_34,Tot_1500_1749_H_35_39,Tot_1500_1749_H_40_44,Tot_1500_1749_H_45_49,Tot_1500_1749_H_50ov,Tot_1500_1749_H_NS,Tot_1500_1749_H_Tot,Tot_1750_1999_H_0,Tot_1750_1999_H_1_19,Tot_1750_1999_H_20_29,Tot_1750_1999_H_30_34,Tot_1750_1999_H_35_39,Tot_1750_1999_H_40_44,Tot_1750_1999_H_45_49,Tot_1750_1999_H_50ov,Tot_1750_1999_H_NS,Tot_1750_1999_H_Tot,Tot_2000_2999_H_0,Tot_2000_2999_H_1_19,Tot_2000_2999_H_20_29,Tot_2000_2999_H_30_34,Tot_2000_2999_H_35_39,Tot_2000_2999_H_40_44,Tot_2000_2999_H_45_49,Tot_2000_2999_H_50ov,Tot_2000_2999_H_NS,Tot_2000_2999_H_Tot,Tot_3000_3499_H_0,Tot_3000_3499_H_1_19,Tot_3000_3499_H_20_29,Tot_3000_3499_H_30_34,Tot_3000_3499_H_35_39,Tot_3000_3499_H_40_44,Tot_3000_3499_H_45_49,Tot_3000_3499_H_50ov,Tot_3000_3499_H_NS,Tot_3000_3499_H_Tot,Tot_3500mo_H_0,Tot_3500mo_H_1_19,Tot_3500mo_H_20_29,Tot_3500mo_H_30_34,Tot_3500mo_H_35_39,Tot_3500mo_H_40_44,Tot_3500mo_H_45_49,Tot_3500mo_H_50ov,Tot_3500mo_H_NS,Tot_3500mo_H_Tot,Tot_PINS_H_0,Tot_PINS_H_1_19,Tot_PINS_H_20_29,Tot_PINS_H_30_34,Tot_PINS_H_35_39,Tot_PINS_H_40_44,Tot_PINS_H_45_49,Tot_PINS_H_50ov,Tot_PINS_H_NS,Tot_PINS_H_Tot,Tot_Tot_H_0,Tot_Tot_H_1_19,Tot_Tot_H_20_29,Tot_Tot_H_30_34,Tot_Tot_H_35_39,Tot_Tot_H_40_44,Tot_Tot_H_45_49,Tot_Tot_H_50ov,Tot_Tot_H_NS,Tot_Tot_H_Tot
501,361,813,1390,1404,2460,1677,443,664,133,9352,462,621,1016,1039,2696,2470,753,1165,127,10355,331,298,552,621,1722,1945,712,1350,93,7621,305,266,363,472,1279,1773,668,1478,66,6666,261,140,196,256,873,1481,622,1428,68,5313,449,216,266,279,1134,2380,1135,2735,75,8678,83,41,57,73,186,417,183,652,29,1708,113,96,109,96,167,432,191,900,34,2150,30,99,59,41,65,106,29,129,218,773,3913,12747,10014,6864,12783,14385,5133,11711,1337,78895
502,112,335,589,569,984,491,101,194,39,3416,149,211,454,458,1108,822,186,292,38,3723,93,111,181,217,720,602,196,304,30,2443,89,84,132,172,575,507,199,394,23,2161,72,47,62,104,367,424,165,339,12,1589,156,50,104,118,701,721,358,661,33,2912,17,12,30,16,107,128,74,150,8,539,30,28,41,38,78,171,71,248,11,707,6,36,34,13,35,23,4,22,120,298,1292,6397,4717,2847,5652,4466,1470,2881,520,30240
503,678,2104,3996,2673,4895,2827,525,740,254,18688,1025,1658,3552,2996,8776,6410,1278,1531,278,27509,1108,1011,2362,2547,9001,7166,1625,2092,212,27126,1288,888,1645,2266,8155,7603,1737,2778,181,26545,1099,570,1027,1464,6118,6628,1688,2783,161,21534,2238,1043,1527,2131,10830,15993,4759,8475,250,47242,587,357,396,500,1928,4808,1718,3436,65,13793,1098,713,887,941,2725,9081,4026,10993,128,30582,46,119,115,62,212,290,60,195,782,1885,11513,28848,28027,19297,55864,62752,17807,33887,3282,261272
504,338,883,1578,1543,3757,2317,485,698,171,11766,426,646,1181,1209,4263,3772,988,1428,189,14104,352,353,641,682,2881,3110,1032,1596,118,10768,288,290,399,513,2118,2793,967,1840,89,9298,263,153,235,282,1337,1959,791,1739,49,6803,451,223,302,338,1570,2865,1397,3279,70,10491,77,53,69,71,194,469,250,801,19,1999,87,100,110,138,213,546,270,1093,24,2583,19,102,74,55,110,132,31,95,411,1035,3411,15961,12437,7669,19254,19860,6665,13561,1640,100464
505,621,1870,3398,2910,6107,3674,711,980,275,20539,721,1360,2476,2526,7318,5885,1348,1849,257,23734,581,737,1434,1474,5183,5093,1355,2114,172,18147,547,562,897,1158,4073,4632,1453,2451,142,15907,414,348,532,683,2496,3411,1184,2267,80,11421,709,514,598,770,3347,5171,2026,4778,129,18049,89,142,174,151,432,896,393,1253,26,3548,137,263,278,294,513,1312,538,2192,43,5575,46,179,153,101,215,211,54,147,709,1803,6222,33334,25549,15271,34377,33325,9704,19393,2669,179841
506,751,2063,3719,3424,7686,4838,1033,1329,379,25221,946,1483,2624,2775,9789,8458,2066,2740,402,31282,828,800,1390,1633,6797,7232,2299,3186,227,24397,805,658,907,1136,5069,6447,2332,3880,217,21446,634,384,452,612,3216,4553,1738,3622,128,15335,1131,590,705,807,4341,7231,3147,7874,206,26034,265,172,149,183,690,1508,679,2116,54,5810,315,298,356,283,699,1968,896,3461,66,8344,45,167,113,90,217,278,72,189,856,2030,8239,32760,26598,16506,44027,46249,15059,30038,3679,223150
507,662,1623,2949,2666,5129,3208,654,919,214,18022,775,1246,2244,2310,6473,5638,1394,1968,241,22288,688,705,1268,1494,4830,5207,1477,2387,176,18239,686,572,935,1147,4002,4914,1654,2908,154,16959,578,340,516,693,2649,3785,1415,2697,133,12801,1006,489,686,788,4031,6717,2625,6142,146,22622,197,148,170,155,608,1349,565,1645,47,4867,199,244,318,295,631,1787,773,2765,49,7062,30,163,109,57,166,211,55,162,629,1594,7089,28669,22253,14209,32639,35614,11218,22875,2602,177166
509,285,568,941,889,1526,1305,368,830,127,6842,347,450,660,718,1672,1981,679,1414,130,8050,293,269,380,375,1067,1408,575,1249,78,5697,271,236,276,300,783,1237,580,1506,69,5257,220,151,156,159,529,947,421,1395,61,4034,446,220,225,214,749,1351,736,2822,68,6820,92,68,59,43,103,226,154,721,24,1492,78,105,101,86,110,305,179,870,28,1854,47,74,61,34,60,95,25,186,200,782,3093,8304,6705,4426,8158,10385,4197,12803,1215,59284
510,159,221,362,390,751,546,173,557,79,3239,277,202,302,380,1094,1025,361,1260,113,5011,387,213,211,243,987,1041,388,1995,100,5563,545,209,205,218,932,1068,486,2611,107,6386,618,166,141,167,708,912,488,3228,129,6554,2134,472,469,227,1236,1817,1586,11214,291,19435,874,169,171,56,290,517,749,4596,88,7511,1107,188,163,90,340,682,872,5307,104,8851,54,46,42,30,56,69,35,233,339,904,6640,4272,3425,2508,7126,8217,5282,31687,1614,70762
511,227,364,640,720,1359,1069,233,652,96,5356,329,312,467,542,1536,1666,520,1304,109,6785,312,212,255,318,1077,1341,527,1617,105,5758,371,172,232,254,935,1199,624,2394,101,6279,438,150,152,167,620,989,550,2672,79,5811,1105,385,350,179,952,1693,1377,7308,178,13527,258,95,94,46,153,326,412,2290,59,3730,260,134,112,60,126,335,378,2223,46,3678,42,64,52,31,42,74,20,196,286,809,4086,6571,5476,3665,8136,9750,4951,21722,1414,65776
