POW_SA4_CODE_2021,Ad_Dip_300_399_Mng,Ad_Dip_300_399_Pro,Ad_Dip_300_399_TecTW,Ad_Dip_300_399_CoPSW,Ad_Dip_300_399_ClAW,Ad_Dip_300_399_SWks,Ad_Dip_300_399_MaOpDv,Ad_Dip_300_399_Lab,Ad_Dip_300_399_IDNS,Ad_Dip_300_399_Tot,Ad_Dip_400_499_Mng,Ad_Dip_400_499_Pro,Ad_Dip_400_499_TecTW,Ad_Dip_400_499_CoPSW,Ad_Dip_400_499_ClAW,Ad_Dip_400_499_SWks,Ad_Dip_400_499_MaOpDv,Ad_Dip_400_499_Lab,Ad_Dip_400_499_IDNS,Ad_Dip_400_499_Tot,Ad_Dip_500_649_Mng,Ad_Dip_500_649_Pro,Ad_Dip_500_649_TecTW,Ad_Dip_500_649_CoPSW,Ad_Dip_500_649_ClAW,Ad_Dip_500_649_SWks,Ad_Dip_500_649_MaOpDv,Ad_Dip_500_649_Lab,Ad_Dip_500_649_IDNS,Ad_Dip_500_649_Tot,Ad_Dip_650_799_Mng,Ad_Dip_650_799_Pro,Ad_Dip_650_799_TecTW,Ad_Dip_650_799_CoPSW,Ad_Dip_650_799_ClAW,Ad_Dip_650_799_SWks,Ad_Dip_650_799_MaOpDv,Ad_Dip_650_799_Lab,Ad_Dip_650_799_IDNS,Ad_Dip_650_799_Tot,Ad_Dip_800_999_Mng,Ad_Dip_800_999_Pro,Ad_Dip_800_999_TecTW,Ad_Dip_800_999_CoPSW,Ad_Dip_800_999_ClAW,Ad_Dip_800_999_SWks,Ad_Dip_800_999_MaOpDv,Ad_Dip_800_999_Lab,Ad_Dip_800_999_IDNS,Ad_Dip_800_999_Tot,Ad_Dip_1000_1249_Mng,Ad_Dip_1000_1249_Pro,Ad_Dip_1000_1249_TecTW,Ad_Dip_1000_1249_CoPSW,Ad_Dip_1000_1249_ClAW,Ad_Dip_1000_1249_SWks,Ad_Dip_1000_1249_MaOpDv,Ad_Dip_1000_1249_Lab,Ad_Dip_1000_1249_IDNS,Ad_Dip_1000_1249_Tot,Ad_Dip_1250_1499_Mng,Ad_Dip_1250_1499_Pro,Ad_Dip_1250_1499_TecTW,Ad_Dip_1250_1499_CoPSW,Ad_Dip_1250_1499_ClAW,Ad_Dip_1250_1499_SWks,Ad_Dip_1250_1499_MaOpDv,Ad_Dip_1250_1499_Lab,Ad_Dip_1250_1499_IDNS,Ad_Dip_1250_1499_Tot,Ad_Dip_1500_1749_Mng,Ad_Dip_1500_1749_Pro,Ad_Dip_1500_1749_TecTW,Ad_Dip_1500_1749_CoPSW,Ad_Dip_1500_1749_ClAW,Ad_Dip_1500_1749_SWks,Ad_Dip_1500_1749_MaOpDv,Ad_Dip_1500_1749_Lab,Ad_Dip_1500_1749_IDNS,Ad_Dip_1500_1749_Tot,Ad_Dip_1750_1999_Mng,Ad_Dip_1750_1999_Pro,Ad_Dip_1750_1999_TecTW,Ad_Dip_1750_1999_CoPSW,Ad_Dip_1750_1999_ClAW,Ad_Dip_1750_1999_SWks,Ad_Dip_1750_1999_MaOpDv,Ad_Dip_1750_1999_Lab,Ad_Dip_1750_1999_IDNS,Ad_Dip_1750_1999_Tot,Ad_Dip_2000_2999_Mng,Ad_Dip_2000_2999_Pro,Ad_Dip_2000_2999_TecTW,Ad_Dip_2000_2999_CoPSW,Ad_Dip_2000_2999_ClAW,Ad_Dip_2000_2999_SWks,Ad_Dip_2000_2999_MaOpDv,Ad_Dip_2000_2999_Lab,Ad_Dip_2000_2999_IDNS,Ad_Dip_2000_2999_Tot,Ad_Dip_3000_3499_Mng,Ad_Dip_3000_3499_Pro,Ad_Dip_3000_3499_TecTW,Ad_Dip_3000_3499_CoPSW,Ad_Dip_3000_3499_ClAW,Ad_Dip_3000_3499_SWks,Ad_Dip_3000_3499_MaOpDv,Ad_Dip_3000_3499_Lab,Ad_Dip_3000_3499_IDNS,Ad_Dip_3000_3499_Tot,Ad_Dip_3500mo_Mng,Ad_Dip_3500mo_Pro,Ad_Dip_3500mo_TecTW,Ad_Dip_3500mo_CoPSW,Ad_Dip_3500mo_ClAW,Ad_Dip_3500mo_SWks,Ad_Dip_3500mo_MaOpDv,Ad_Dip_3500mo_Lab,Ad_Dip_3500mo_IDNS,Ad_Dip_3500mo_Tot,Ad_Dip_PINS_Mng,Ad_Dip_PINS_Pro,Ad_Dip_PINS_TecTW,Ad_Dip_PINS_CoPSW,Ad_Dip_PINS_ClAW,Ad_Dip_PINS_SWks,Ad_Dip_PINS_MaOpDv,Ad_Dip_PINS_Lab,Ad_Dip_PINS_IDNS,Ad_Dip_PINS_Tot,Ad_Dip_Tot_Mng,Ad_Dip_Tot_Pro,Ad_Dip_Tot_TecTW,Ad_Dip_Tot_CoPSW,Ad_Dip_Tot_ClAW,Ad_Dip_Tot_SWks,Ad_Dip_Tot_MaOpDv,Ad_Dip_Tot_Lab,Ad_Dip_Tot_IDNS,Ad_Dip_Tot_Tot,CL_nfd_NNI_Mng,CL_nfd_NNI_Pro,CL_nfd_NNI_TecTW,CL_nfd_NNI_CoPSW,CL_nfd_NNI_ClAW,CL_nfd_NNI_SWks,CL_nfd_NNI_MaOpDv,CL_nfd_NNI_Lab,CL_nfd_NNI_IDNS,CL_nfd_NNI_Tot,CL_nfd_1_149_Mng,CL_nfd_1_149_Pro,CL_nfd_1_149_TecTW,CL_nfd_1_149_CoPSW,CL_nfd_1_149_ClAW,CL_nfd_1_149_SWks,CL_nfd_1_149_MaOpDv,CL_nfd_1_149_Lab,CL_nfd_1_149_IDNS,CL_nfd_1_149_Tot,CL_nfd_150_299_Mng,CL_nfd_150_299_Pro,CL_nfd_150_299_TecTW,CL_nfd_150_299_CoPSW,CL_nfd_150_299_ClAW,CL_nfd_150_299_SWks,CL_nfd_150_299_MaOpDv,CL_nfd_150_299_Lab,CL_nfd_150_299_IDNS,CL_nfd_150_299_Tot,CL_nfd_300_399_Mng,CL_nfd_300_399_Pro,CL_nfd_300_399_TecTW,CL_nfd_300_399_CoPSW,CL_nfd_300_399_ClAW,CL_nfd_300_399_SWks,CL_nfd_300_399_MaOpDv,CL_nfd_300_399_Lab,CL_nfd_300_399_IDNS,CL_nfd_300_399_Tot,CL_nfd_400_499_Mng,CL_nfd_400_499_Pro,CL_nfd_400_499_TecTW,CL_nfd_400_499_CoPSW,CL_nfd_400_499_ClAW,CL_nfd_400_499_SWks,CL_nfd_400_499_MaOpDv,CL_nfd_400_499_Lab,CL_nfd_400_499_IDNS,CL_nfd_400_499_Tot,CL_nfd_500_649_Mng,CL_nfd_500_649_Pro,CL_nfd_500_649_TecTW,CL_nfd_500_649_CoPSW,CL_nfd_500_649_ClAW,CL_nfd_500_649_SWks,CL_nfd_500_649_MaOpDv,CL_nfd_500_649_Lab,CL_nfd_500_649_IDNS,CL_nfd_500_649_Tot
501,26,40,22,64,34,27,5,21,6,243,36,37,38,78,61,32,7,45,3,343,73,60,59,180,92,64,15,64,0,613,62,83,78,221,114,77,31,72,8,743,124,121,106,264,152,75,27,103,4,977,171,141,157,278,180,54,24,82,9,1104,137,160,124,134,166,30,27,31,10,820,151,201,102,106,106,33,38,20,8,763,140,149,105,59,64,16,37,25,6,597,235,227,166,92,58,34,54,28,16,893,74,36,53,5,11,8,10,9,8,223,99,37,43,6,15,22,0,5,3,238,13,3,4,13,3,0,5,6,4,51,1407,1348,1071,1577,1090,507,300,549,94,7932,11,0,0,4,0,0,0,0,0,19,0,0,3,6,7,3,0,4,0,26,3,5,9,13,9,16,0,12,0,61,11,0,9,15,8,10,0,9,0,64,12,6,7,26,18,16,5,17,0,109,15,5,8,54,42,27,13,32,5,203
502,14,11,3,49,21,26,4,10,0,139,6,27,11,60,30,25,10,9,0,177,23,36,30,114,38,43,4,19,5,314,28,40,31,153,56,40,11,22,4,380,39,63,36,159,57,30,10,24,5,415,68,82,70,143,74,26,16,26,0,503,55,41,45,77,55,15,11,6,3,297,51,64,35,60,35,6,13,10,6,276,42,46,13,39,22,0,9,7,0,181,65,75,39,45,19,14,20,6,4,288,20,11,18,5,3,0,8,0,0,61,34,14,6,3,6,18,3,0,0,83,0,5,0,7,9,0,0,0,0,18,442,514,350,957,457,289,114,148,28,3298,0,0,0,0,0,0,0,0,0,10,0,0,0,3,0,4,0,3,0,14,0,0,9,10,0,4,0,0,0,28,4,0,5,13,4,12,0,4,0,39,3,4,7,16,13,10,0,3,0,54,4,5,3,17,12,7,3,6,0,58
503,26,74,52,155,83,70,14,74,6,555,38,92,56,223,135,83,11,118,7,753,88,181,129,448,263,137,18,141,11,1419,84,231,189,546,412,142,16,145,29,1800,202,366,373,699,621,156,44,135,31,2628,372,677,589,752,1006,167,60,120,54,3797,348,811,462,431,1125,146,52,53,39,3465,426,982,396,293,885,118,44,43,54,3243,399,887,313,264,507,92,40,20,26,2554,1240,1781,730,513,666,167,107,34,67,5311,415,462,218,47,120,42,23,8,13,1357,926,771,243,32,168,108,36,17,24,2318,17,23,22,19,18,7,0,0,20,122,4639,7423,3822,4636,6096,1489,479,973,413,29966,0,0,0,3,0,0,0,0,0,9,0,4,0,10,6,7,0,7,0,33,3,0,3,28,12,18,0,8,0,69,0,5,8,30,25,20,0,12,3,105,4,10,12,28,28,15,4,22,0,120,9,13,16,59,62,21,0,18,0,202
504,27,45,40,74,49,51,14,42,4,335,20,38,39,108,60,62,21,48,3,407,52,77,68,208,125,97,39,81,3,750,78,96,119,316,149,97,50,86,6,995,115,139,202,365,213,93,99,101,10,1324,206,171,313,413,321,75,114,94,15,1731,182,190,210,202,255,72,88,49,17,1268,202,222,142,157,171,60,78,23,11,1072,167,168,132,146,91,32,59,13,11,820,383,273,192,267,101,44,44,13,16,1334,106,56,29,15,13,11,14,0,0,244,156,54,16,11,23,15,0,4,3,281,11,7,5,11,5,0,0,4,8,47,1748,1609,1555,2413,1604,780,636,624,122,11080,3,0,5,0,0,0,0,0,0,14,0,0,0,5,3,0,0,7,0,19,0,6,7,19,9,17,0,20,0,79,5,4,9,15,16,13,0,13,0,77,8,6,8,24,11,14,4,16,0,88,0,3,21,57,31,42,6,19,0,173
505,34,88,60,205,92,116,13,80,10,696,44,101,85,308,128,148,17,104,7,947,82,165,151,566,266,213,34,155,7,1652,134,223,202,662,342,207,68,147,9,1990,213,275,353,853,401,209,109,172,22,2614,369,414,494,797,679,171,132,165,33,3243,355,394,387,420,458,126,76,86,25,2328,362,495,342,249,349,109,63,46,19,2029,294,400,221,189,165,71,31,27,19,1405,707,621,288,244,193,108,31,34,30,2255,185,93,64,12,31,27,4,0,5,427,280,150,46,18,42,69,4,8,5,623,16,24,13,29,15,6,5,4,23,136,3151,3561,2769,4756,3291,1737,613,1099,222,21193,3,5,0,0,9,5,0,3,4,36,5,4,3,29,10,19,8,10,0,86,3,3,6,25,14,35,0,21,0,120,6,5,10,35,34,34,6,15,3,165,4,9,10,61,55,35,3,22,0,207,18,16,24,99,71,49,9,44,3,333
506,46,70,49,195,90,106,34,106,5,714,43,94,81,294,104,129,39,133,11,930,65,136,143,493,242,195,85,165,15,1540,112,188,237,655,318,181,129,181,14,2011,215,273,428,778,485,173,289,220,20,2891,398,399,593,869,747,183,418,192,50,3850,394,419,491,421,665,167,287,124,35,3001,439,530,435,356,428,115,185,61,16,2572,379,399,312,202,227,80,125,40,17,1766,990,818,470,292,281,105,141,24,34,3166,309,173,114,21,44,23,10,9,4,708,518,273,91,13,56,60,21,5,15,1041,21,11,19,25,16,10,3,4,21,134,4002,3908,3522,4880,3821,1641,1809,1378,287,25244,0,0,0,0,4,0,4,5,4,18,0,0,0,16,5,15,0,4,0,53,3,0,14,34,9,23,6,24,0,118,6,6,11,43,27,24,4,18,0,143,8,5,19,49,37,32,10,30,0,189,18,12,29,108,62,32,9,45,3,315
507,31,77,60,172,82,80,14,67,3,592,40,71,55,231,128,107,30,68,10,738,62,151,137,457,208,166,29,124,18,1359,106,168,199,537,269,179,44,154,18,1672,205,263,304,709,322,164,101,172,20,2255,289,366,433,658,505,148,146,141,28,2712,262,377,346,337,459,104,116,69,29,2100,330,490,323,271,300,68,104,55,23,1965,279,427,275,171,186,57,65,34,19,1514,761,714,550,243,258,80,94,58,34,2788,248,122,112,32,54,27,12,6,4,623,366,156,88,19,50,57,10,4,16,773,18,24,12,24,16,9,4,3,15,122,3065,3525,2948,4076,2927,1333,797,1035,232,19938,5,0,4,0,8,0,0,5,0,26,0,10,3,10,4,8,0,11,0,49,0,9,7,24,9,19,5,11,0,85,0,0,12,29,15,37,3,27,0,126,9,6,19,38,29,33,3,18,0,149,7,12,27,86,65,35,12,32,0,271
509,29,20,15,35,33,14,4,20,0,171,40,26,17,51,45,23,10,37,3,247,63,39,35,89,73,31,8,40,0,378,70,51,41,135,64,40,12,46,3,468,101,73,52,146,119,38,25,70,6,633,141,111,75,175,149,41,24,77,12,798,120,112,64,114,99,14,39,33,9,603,133,111,55,71,64,4,22,18,0,494,120,108,41,66,42,12,26,20,0,437,228,153,72,96,40,16,74,16,6,692,57,25,25,11,13,4,8,3,4,152,83,23,23,6,6,16,10,3,4,171,14,5,0,6,6,0,0,3,4,37,1295,874,543,1056,802,277,260,412,56,5588,4,0,0,0,6,0,0,3,0,10,0,0,0,3,0,3,0,6,0,22,9,6,0,3,7,0,0,10,0,37,11,3,0,8,6,0,4,13,0,47,10,0,6,12,14,5,0,11,0,60,20,5,14,20,20,16,3,24,0,117
510,3,7,6,18,12,5,0,8,0,62,9,10,7,22,14,6,0,12,0,76,6,9,6,35,22,23,3,16,3,118,12,24,16,56,30,22,4,23,0,188,32,42,41,106,60,17,15,33,0,351,61,57,80,118,84,22,37,73,9,533,59,81,69,110,104,25,55,87,4,589,94,110,104,91,109,22,77,50,0,658,91,125,113,71,90,11,98,39,7,643,228,339,370,185,115,12,351,82,19,1705,109,170,260,37,41,3,128,17,9,784,287,303,423,17,45,5,90,25,14,1205,4,14,7,7,0,0,0,3,5,44,1000,1300,1502,894,739,184,877,476,87,7060,0,0,0,0,0,0,0,0,0,6,0,0,3,0,0,0,0,3,0,8,0,0,0,6,3,6,0,4,0,20,0,0,0,0,0,3,0,5,0,20,3,0,0,0,3,9,0,0,0,15,0,0,0,11,3,0,3,0,5,34
511,12,8,9,25,14,14,9,19,0,102,19,24,8,45,33,11,0,27,0,161,23,27,17,77,49,22,14,24,0,259,37,45,23,115,66,34,19,30,3,369,63,46,36,136,69,35,11,30,7,433,94,71,70,151,142,22,24,60,3,641,81,97,69,109,120,21,51,32,12,591,101,144,90,87,108,13,50,29,6,621,87,105,80,63,52,5,91,26,11,534,226,267,236,145,68,16,207,35,11,1202,94,97,77,17,14,7,42,3,9,364,144,68,57,10,14,14,21,4,6,354,9,5,10,3,7,0,4,0,3,45,1034,1029,795,1014,756,221,547,339,76,5821,6,3,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,5,3,0,0,4,9,3,0,0,0,24,6,6,0,7,8,0,0,8,0,39,9,0,0,9,6,4,0,12,0,43,5,4,5,9,15,5,0,9,0,50
