POW_SA4_CODE_2021,M_M1_Train_15_24,M_M1_Train_25_34,M_M1_Train_35_44,M_M1_Train_45_54,M_M1_Train_55_64,M_M1_Train_65_74,M_M1_Train_75ov,M_M1_Train_Tot,M_M1_Bus_15_24,M_M1_Bus_25_34,M_M1_Bus_35_44,M_M1_Bus_45_54,M_M1_Bus_55_64,M_M1_Bus_65_74,M_M1_Bus_75ov,M_M1_Bus_Tot,M_M1_Ferry_15_24,M_M1_Ferry_25_34,M_M1_Ferry_35_44,M_M1_Ferry_45_54,M_M1_Ferry_55_64,M_M1_Ferry_65_74,M_M1_Ferry_75ov,M_M1_Ferry_Tot,M_M1_Tram_or_LR_15_24,M_M1_Tram_or_LR_25_34,M_M1_Tram_or_LR_35_44,M_M1_Tram_or_LR_45_54,M_M1_Tram_or_LR_55_64,M_M1_Tram_or_LR_65_74,M_M1_Tram_or_LR_75ov,M_M1_Tram_or_LR_Tot,M_M1_Taxi_or_RSS_15_24,M_M1_Taxi_or_RSS_25_34,M_M1_Taxi_or_RSS_35_44,M_M1_Taxi_or_RSS_45_54,M_M1_Taxi_or_RSS_55_64,M_M1_Taxi_or_RSS_65_74,M_M1_Taxi_or_RSS_75ov,M_M1_Taxi_or_RSS_Tot,M_M1_CarAsDriv_15_24,M_M1_CarAsDriv_25_34,M_M1_CarAsDriv_35_44,M_M1_CarAsDriv_45_54,M_M1_CarAsDriv_55_64,M_M1_CarAsDriv_65_74,M_M1_CarAsDriv_75ov,M_M1_CarAsDriv_Tot,M_M1_CarAsPas_15_24,M_M1_CarAsPas_25_34,M_M1_CarAsPas_35_44,M_M1_CarAsPas_45_54,M_M1_CarAsPas_55_64,M_M1_CarAsPas_65_74,M_M1_CarAsPas_75ov,M_M1_CarAsPas_Tot,M_M1_Truck_15_24,M_M1_Truck_25_34,M_M1_Truck_35_44,M_M1_Truck_45_54,M_M1_Truck_55_64,M_M1_Truck_65_74,M_M1_Truck_75ov,M_M1_Truck_Tot,M_M1_MBikeScoot_15_24,M_M1_MBikeScoot_25_34,M_M1_MBikeScoot_35_44,M_M1_MBikeScoot_45_54,M_M1_MBikeScoot_55_64,M_M1_MBikeScoot_65_74,M_M1_MBikeScoot_75ov,M_M1_MBikeScoot_Tot,M_M1_Bicycle_15_24,M_M1_Bicycle_25_34,M_M1_Bicycle_35_44,M_M1_Bicycle_45_54,M_M1_Bicycle_55_64,M_M1_Bicycle_65_74,M_M1_Bicycle_75ov,M_M1_Bicycle_Tot,M_M1_Other_15_24,M_M1_Other_25_34,M_M1_Other_35_44,M_M1_Other_45_54,M_M1_Other_55_64,M_M1_Other_65_74,M_M1_Other_75ov,M_M1_Other_Tot,M_M1_WlkOnly_15_24,M_M1_WlkOnly_25_34,M_M1_WlkOnly_35_44,M_M1_WlkOnly_45_54,M_M1_WlkOnly_55_64,M_M1_WlkOnly_65_74,M_M1_WlkOnly_75ov,M_M1_WlkOnly_Tot,M_M1_Tot_M1_15_24,M_M1_Tot_M1_25_34,M_M1_Tot_M1_35_44,M_M1_Tot_M1_45_54,M_M1_Tot_M1_55_64,M_M1_Tot_M1_65_74,M_M1_Tot_M1_75ov,M_M1_Tot_M1_Tot,M_M2_TrnBus_15_24,M_M2_TrnBus_25_34,M_M2_TrnBus_35_44,M_M2_TrnBus_45_54,M_M2_TrnBus_55_64,M_M2_TrnBus_65_74,M_M2_TrnBus_75ov,M_M2_TrnBus_Tot,M_M2_TrnFer_15_24,M_M2_TrnFer_25_34,M_M2_TrnFer_35_44,M_M2_TrnFer_45_54,M_M2_TrnFer_55_64,M_M2_TrnFer_65_74,M_M2_TrnFer_75ov,M_M2_TrnFer_Tot,M_M2_TrnTrm_or_LR_15_24,M_M2_TrnTrm_or_LR_25_34,M_M2_TrnTrm_or_LR_35_44,M_M2_TrnTrm_or_LR_45_54,M_M2_TrnTrm_or_LR_55_64,M_M2_TrnTrm_or_LR_65_74,M_M2_TrnTrm_or_LR_75ov,M_M2_TrnTrm_or_LR_Tot,M_M2_TrnCarAsDriv_15_24,M_M2_TrnCarAsDriv_25_34,M_M2_TrnCarAsDriv_35_44,M_M2_TrnCarAsDriv_45_54,M_M2_TrnCarAsDriv_55_64,M_M2_TrnCarAsDriv_65_74,M_M2_TrnCarAsDriv_75ov,M_M2_TrnCarAsDriv_Tot,M_M2_TrnCarAsPas_15_24,M_M2_TrnCarAsPas_25_34,M_M2_TrnCarAsPas_35_44,M_M2_TrnCarAsPas_45_54,M_M2_TrnCarAsPas_55_64,M_M2_TrnCarAsPas_65_74,M_M2_TrnCarAsPas_75ov,M_M2_TrnCarAsPas_Tot,M_M2_TrnOth_15_24,M_M2_TrnOth_25_34,M_M2_TrnOth_35_44,M_M2_TrnOth_45_54,M_M2_TrnOth_55_64,M_M2_TrnOth_65_74,M_M2_TrnOth_75ov,M_M2_TrnOth_Tot,M_M2_Train_and_Tot_15_24,M_M2_Train_and_Tot_25_34,M_M2_Train_and_Tot_35_44,M_M2_Train_and_Tot_45_54,M_M2_Train_and_Tot_55_64,M_M2_Train_and_Tot_65_74,M_M2_Train_and_Tot_75ov,M_M2_Train_and_Tot_Tot,M_M2_BusFer_15_24,M_M2_BusFer_25_34,M_M2_BusFer_35_44,M_M2_BusFer_45_54,M_M2_BusFer_55_64,M_M2_BusFer_65_74,M_M2_BusFer_75ov,M_M2_BusFer_Tot,M_M2_BusTrm_or_LR_15_24,M_M2_BusTrm_or_LR_25_34,M_M2_BusTrm_or_LR_35_44,M_M2_BusTrm_or_LR_45_54,M_M2_BusTrm_or_LR_55_64,M_M2_BusTrm_or_LR_65_74,M_M2_BusTrm_or_LR_75ov,M_M2_BusTrm_or_LR_Tot,M_M2_BusCarAsDriv_15_24,M_M2_BusCarAsDriv_25_34,M_M2_BusCarAsDriv_35_44,M_M2_BusCarAsDriv_45_54,M_M2_BusCarAsDriv_55_64,M_M2_BusCarAsDriv_65_74,M_M2_BusCarAsDriv_75ov,M_M2_BusCarAsDriv_Tot,M_M2_BusCarAsPas_15_24,M_M2_BusCarAsPas_25_34,M_M2_BusCarAsPas_35_44,M_M2_BusCarAsPas_45_54,M_M2_BusCarAsPas_55_64,M_M2_BusCarAsPas_65_74,M_M2_BusCarAsPas_75ov,M_M2_BusCarAsPas_Tot,M_M2_BusOth_15_24,M_M2_BusOth_25_34,M_M2_BusOth_35_44,M_M2_BusOth_45_54,M_M2_BusOth_55_64,M_M2_BusOth_65_74,M_M2_BusOth_75ov,M_M2_BusOth_Tot
501,4,0,0,6,0,0,0,10,62,94,108,116,107,18,0,508,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,5,14,18,17,4,7,0,0,51,3159,4951,5805,6161,5141,1499,167,26881,1012,387,292,225,158,36,5,2115,16,61,88,83,114,28,4,394,21,29,18,40,27,10,9,148,127,64,53,74,55,25,0,401,15,41,49,53,45,27,7,234,151,155,137,159,213,142,43,1000,4578,5787,6563,6923,5862,1788,235,31746,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,50,55,39,37,4,0,203,8,3,4,6,0,0,0,19,0,5,3,0,0,0,0,14
502,13,10,4,0,6,0,0,32,55,19,16,11,8,0,0,109,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,7,7,0,3,0,0,0,21,1342,1649,1693,1758,1565,443,58,8498,379,85,66,36,29,10,3,604,5,13,28,34,49,19,5,154,16,8,6,16,13,3,0,53,15,22,7,13,9,4,0,68,7,15,11,14,15,4,0,76,66,23,10,26,31,19,3,182,1908,1844,1849,1903,1725,510,65,9802,10,10,7,4,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,3,0,3,0,0,22,0,0,0,0,0,0,0,9,0,0,0,4,0,0,0,7,19,13,15,10,3,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,8,5,3,0,0,0,0,13,4,0,0,0,0,0,0,4
503,936,2281,2775,2069,1180,231,15,9478,990,2890,2603,1612,969,230,19,9314,0,13,7,9,0,0,0,39,0,0,0,0,0,0,0,9,50,163,154,91,51,10,4,527,4779,11697,13952,12265,8425,2690,372,54167,819,895,612,494,334,91,15,3262,5,35,35,39,59,16,0,178,33,210,233,241,169,30,0,923,136,532,884,867,457,71,0,2957,115,514,531,374,212,34,3,1780,455,1070,798,440,370,132,15,3274,8325,20303,22589,18508,12223,3519,436,85900,528,1006,1361,1077,609,139,5,4721,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,389,953,1296,1010,476,82,5,4207,83,127,121,93,70,4,0,499,25,86,101,76,42,4,0,334,1018,2180,2881,2254,1194,237,10,9771,0,5,3,0,0,0,0,12,0,0,0,0,0,0,0,0,58,119,140,82,53,11,5,465,48,46,34,17,19,5,0,171,26,76,58,26,23,0,0,206
504,40,64,48,23,13,5,0,197,165,81,67,61,27,13,0,416,0,3,6,0,0,0,0,6,3,0,0,0,0,0,0,7,46,49,36,22,15,0,0,162,5440,9084,9266,8599,6825,1961,249,41423,1118,405,223,144,131,27,7,2052,15,110,148,172,185,66,6,694,16,37,45,70,55,16,0,236,42,49,67,68,60,14,0,289,41,107,110,92,87,21,4,463,166,102,68,87,91,46,20,580,7107,10089,10065,9339,7479,2164,283,46521,54,56,43,31,24,0,0,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,11,8,5,4,0,45,4,0,0,4,0,0,0,7,4,8,4,6,8,0,0,21,68,68,51,49,30,5,0,281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,5,3,0,0,21,38,7,0,0,0,0,0,44,11,4,6,0,3,0,0,24
505,120,129,110,98,50,11,0,516,278,184,109,57,45,13,0,684,4,4,4,3,4,0,0,12,0,0,0,0,0,0,0,6,87,69,50,28,25,10,0,276,8962,13921,13883,12267,9322,2753,323,61434,2006,578,311,227,149,54,9,3332,30,118,186,219,232,67,12,874,49,69,55,82,69,11,0,344,88,73,99,105,80,12,0,459,66,131,146,143,113,43,4,650,329,165,123,127,115,62,12,931,12030,15429,15079,13364,10203,3047,366,69511,189,153,110,71,65,17,0,606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,42,33,27,24,4,0,140,23,14,7,0,0,0,0,48,10,11,13,9,6,3,0,47,243,218,155,109,92,24,0,837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,10,6,9,5,0,4,41,40,8,0,6,0,0,0,58,7,7,5,0,0,0,0,26
506,150,137,100,83,37,8,0,518,404,390,270,188,116,32,4,1411,9,8,9,8,0,0,0,21,0,0,0,0,0,0,0,4,119,156,122,63,44,12,3,527,11059,21249,22342,18854,14476,3866,407,92250,2141,877,540,397,277,92,13,4340,58,221,295,310,332,110,11,1336,50,106,109,113,112,13,3,507,114,127,179,151,113,24,0,722,130,420,363,245,162,56,8,1382,297,209,161,180,168,92,22,1138,14524,23906,24487,20588,15845,4314,475,104143,170,126,107,88,63,27,4,577,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,25,23,22,17,17,7,0,114,21,8,11,0,0,0,0,48,13,12,7,9,0,0,0,42,234,168,146,113,84,28,3,779,0,0,6,0,0,0,0,5,0,0,0,0,0,0,0,0,10,22,18,14,0,5,0,73,41,14,7,0,0,0,0,70,14,21,14,13,4,0,0,66
507,107,148,133,90,76,13,0,559,345,200,155,128,103,25,3,959,10,14,7,5,3,0,0,46,3,0,0,4,0,0,0,7,70,52,31,11,17,8,0,183,8419,14529,15102,13695,10404,2689,288,65126,1814,620,404,251,173,59,7,3330,18,88,132,161,155,43,11,610,38,74,70,122,93,26,5,425,116,123,145,155,107,17,0,670,96,227,209,149,118,15,3,818,378,236,137,146,149,52,16,1121,11422,16304,16531,14916,11398,2946,335,73855,157,136,97,70,44,15,0,525,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,14,19,32,32,28,5,0,135,21,5,6,8,0,0,0,45,8,9,8,3,10,0,0,32,196,172,146,114,87,27,4,738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,21,14,16,3,8,0,73,62,10,7,5,5,4,0,84,15,6,10,6,0,0,0,31
509,0,0,6,5,0,0,0,5,43,137,132,129,120,16,0,578,4,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,9,5,7,4,7,3,0,28,2203,3685,3919,4323,4066,1436,231,19863,580,286,167,142,126,21,8,1335,25,75,90,104,143,68,24,522,20,14,15,26,34,7,5,119,39,34,25,37,32,10,0,188,35,58,94,98,114,65,12,480,205,222,254,303,430,250,81,1753,3167,4512,4707,5169,5065,1889,367,24870,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,5,0,6,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,11,10,0,0,51,0,4,0,0,0,0,0,9,0,0,3,4,0,0,0,13
510,11,4,7,7,3,0,0,39,301,1341,1507,1550,1009,141,4,5841,0,6,7,4,0,0,0,19,0,0,0,0,0,0,0,4,22,40,56,49,19,5,0,189,1230,3880,4510,3615,2482,546,35,16296,523,728,751,620,362,64,7,3050,18,102,125,102,106,20,0,467,33,46,52,56,47,3,0,239,65,78,75,63,55,18,0,345,284,1269,1378,1171,699,108,0,4911,273,563,480,439,429,113,12,2305,2753,8064,8951,7674,5210,1016,58,33717,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,11,0,0,0,0,0,0,0,4,0,3,0,4,0,0,0,7,6,3,9,5,5,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,27,30,25,17,5,0,108,7,13,16,8,3,0,0,46,31,106,113,76,43,3,0,370
511,0,0,0,3,7,0,0,6,206,619,561,551,408,80,5,2425,3,6,6,5,0,0,0,16,0,0,0,0,0,0,0,0,15,37,44,12,16,3,0,131,2199,4017,4090,4237,3664,995,123,19313,730,614,439,365,264,36,4,2459,24,104,94,103,126,40,5,505,56,29,28,33,42,10,7,204,66,60,66,80,60,11,0,347,237,806,721,569,391,83,5,2815,217,315,274,274,358,111,35,1587,3754,6616,6329,6229,5329,1370,181,29817,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,0,0,0,11,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,8,11,4,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,21,22,21,22,0,0,94,5,7,12,6,0,0,0,32,20,51,32,28,16,0,0,151
