POW_SA4_CODE_2021,Tot_16_Other_FT,Tot_16_Other_PT,Tot_16_Other_NS,Tot_16_Other_Tot,Tot_16_Not_Stated,Tot_16_Tot,Tot_17_TertVE_TPTP_FT,Tot_17_TertVE_TPTP_PT,Tot_17_TertVE_TPTP_NS,Tot_17_TertVE_TPTP_Tot,Tot_17_TertUni_or_OHE_FT,Tot_17_TertUni_or_OHE_PT,Tot_17_TertUni_or_OHE_NS,Tot_17_TertUni_or_OHE_Tot,Tot_17_Other_FT,Tot_17_Other_PT,Tot_17_Other_NS,Tot_17_Other_Tot,Tot_17_Not_Stated,Tot_17_Tot,Tot_18_TertVE_TPTP_FT,Tot_18_TertVE_TPTP_PT,Tot_18_TertVE_TPTP_NS,Tot_18_TertVE_TPTP_Tot,Tot_18_TertUni_or_OHE_FT,Tot_18_TertUni_or_OHE_PT,Tot_18_TertUni_or_OHE_NS,Tot_18_TertUni_or_OHE_Tot,Tot_18_Other_FT,Tot_18_Other_PT,Tot_18_Other_NS,Tot_18_Other_Tot,Tot_18_Not_Stated,Tot_18_Tot,Tot_19_TertVE_TPTP_FT,Tot_19_TertVE_TPTP_PT,Tot_19_TertVE_TPTP_NS,Tot_19_TertVE_TPTP_Tot,Tot_19_TertUni_or_OHE_FT,Tot_19_TertUni_or_OHE_PT,Tot_19_TertUni_or_OHE_NS,Tot_19_TertUni_or_OHE_Tot,Tot_19_Other_FT,Tot_19_Other_PT,Tot_19_Other_NS,Tot_19_Other_Tot,Tot_19_Not_Stated,Tot_19_Tot,Tot_20_24_TertVE_TPTP_FT,Tot_20_24_TertVE_TPTP_PT,Tot_20_24_TertVE_TPTP_NS,Tot_20_24_TertVE_TPTP_Tot,Tot_20_24_TertUni_or_OHE_FT,Tot_20_24_TertUni_or_OHE_PT,Tot_20_24_TertUni_or_OHE_NS,Tot_20_24_TertUni_or_OHE_Tot,Tot_20_24_Other_FT,Tot_20_24_Other_PT,Tot_20_24_Other_NS,Tot_20_24_Other_Tot,Tot_20_24_Not_Stated,Tot_20_24_Tot,Tot_25_29_TertVE_TPTP_FT,Tot_25_29_TertVE_TPTP_PT,Tot_25_29_TertVE_TPTP_NS,Tot_25_29_TertVE_TPTP_Tot,Tot_25_29_TertUni_or_OHE_FT,Tot_25_29_TertUni_or_OHE_PT,Tot_25_29_TertUni_or_OHE_NS,Tot_25_29_TertUni_or_OHE_Tot,Tot_25_29_Other_FT,Tot_25_29_Other_PT,Tot_25_29_Other_NS,Tot_25_29_Other_Tot,Tot_25_29_Not_Stated,Tot_25_29_Tot,Tot_30ov_TertVE_TPTP_FT,Tot_30ov_TertVE_TPTP_PT,Tot_30ov_TertVE_TPTP_NS,Tot_30ov_TertVE_TPTP_Tot,Tot_30ov_TertUni_or_OHE_FT,Tot_30ov_TertUni_or_OHE_PT,Tot_30ov_TertUni_or_OHE_NS,Tot_30ov_TertUni_or_OHE_Tot,Tot_30ov_Other_FT,Tot_30ov_Other_PT,Tot_30ov_Other_NS,Tot_30ov_Other_Tot,Tot_30ov_Not_Stated,Tot_30ov_Tot,Tot_Tot_TertVE_TPTP_FT,Tot_Tot_TertVE_TPTP_PT,Tot_Tot_TertVE_TPTP_NS,Tot_Tot_TertVE_TPTP_Tot,Tot_Tot_TertUni_or_OHE_FT,Tot_Tot_TertUni_or_OHE_PT,Tot_Tot_TertUni_or_OHE_NS,Tot_Tot_TertUni_or_OHE_Tot,Tot_Tot_Other_FT,Tot_Tot_Other_PT,Tot_Tot_Other_NS,Tot_Tot_Other_Tot,Tot_Tot_Not_Stated,Tot_Tot_Tot
501,930,4,0,930,7,1009,30,99,0,129,0,0,0,0,930,3,0,936,11,1074,55,169,0,227,55,20,0,70,148,15,0,158,7,473,55,173,0,224,88,19,0,103,3,5,0,14,10,355,151,422,0,576,329,139,0,469,13,33,0,51,20,1105,74,208,0,288,124,158,0,282,10,45,0,56,10,634,214,1016,8,1245,286,914,5,1205,46,288,8,340,262,3053,618,2137,13,2773,883,1246,5,2131,2883,395,8,3283,337,8524
502,428,0,0,428,0,469,20,26,0,45,0,0,0,6,492,4,0,493,0,543,26,81,0,103,166,27,0,191,70,5,0,74,3,378,41,78,0,119,165,20,0,189,4,4,0,9,0,319,100,176,0,281,499,117,0,617,19,15,0,34,11,942,53,84,0,141,82,79,0,159,11,29,0,44,10,356,100,370,4,469,154,328,4,479,13,123,0,144,76,1170,361,845,5,1208,1066,576,3,1639,1389,188,0,1571,107,4534
503,769,0,0,769,0,807,24,27,0,50,18,8,0,24,854,0,0,857,3,932,77,98,0,175,1080,58,5,1143,141,6,0,151,7,1472,89,151,0,245,1382,149,0,1527,29,11,0,36,3,1815,708,592,0,1304,6223,1639,8,7863,195,218,6,419,36,9632,609,599,0,1204,1960,1644,4,3611,189,314,0,503,45,5365,874,2322,7,3204,1905,5585,21,7513,316,1237,10,1568,306,12598,2403,3802,14,6219,12571,9082,39,21687,2994,1785,16,4801,411,33134
504,973,4,0,973,0,1027,16,44,0,61,14,4,0,14,1148,0,0,1148,7,1231,104,150,0,261,569,64,0,635,200,12,0,215,4,1113,116,207,0,314,613,75,0,688,19,12,0,36,8,1053,373,611,5,982,2057,494,9,2558,79,55,3,136,25,3718,233,313,0,545,524,352,0,879,62,84,0,151,19,1593,346,1131,7,1479,519,1105,8,1637,141,420,10,571,204,3895,1218,2482,15,3721,4299,2099,14,6410,3340,592,13,3943,268,14366
505,2026,7,0,2031,7,2124,69,85,0,157,18,5,0,21,2429,3,0,2435,8,2619,217,262,0,476,1227,136,0,1362,324,27,0,357,3,2193,175,309,0,488,1518,160,0,1679,42,24,0,61,11,2241,740,992,3,1737,4804,1104,3,5912,171,119,0,282,41,7978,401,524,3,927,1083,722,7,1811,75,120,0,202,47,2988,619,1799,9,2424,1132,2168,16,3309,224,787,3,1014,283,7042,2269,4017,19,6302,9779,4285,23,14090,6853,1086,5,7954,406,28777
506,1614,4,0,1616,3,1717,65,101,0,165,18,4,0,20,1840,5,0,1843,4,2034,203,273,0,471,1129,116,3,1247,258,12,0,271,5,1997,206,333,4,540,1388,175,0,1567,29,28,0,53,6,2164,909,1240,3,2153,5335,1291,3,6633,192,133,4,328,44,9173,597,742,4,1350,1474,880,10,2362,188,191,0,378,47,4132,895,2584,19,3500,1460,2763,15,4240,370,919,21,1317,383,9451,2932,5330,31,8291,10816,5227,32,16070,5800,1282,28,7108,502,32010
507,1644,3,0,1646,4,1752,45,109,3,160,15,0,0,19,1878,0,0,1882,9,2064,140,255,0,400,1069,123,5,1197,300,12,0,311,4,1917,149,299,0,451,1296,145,0,1441,25,16,0,45,14,1952,612,934,7,1552,4112,996,3,5115,114,110,0,224,38,6943,313,526,0,837,1046,730,9,1781,87,127,0,215,34,2873,532,1830,12,2378,1023,2513,18,3558,185,739,19,942,297,7180,1839,4021,24,5884,8565,4520,32,13117,5588,1012,20,6619,405,26049
509,393,0,0,393,4,465,28,48,0,77,3,0,0,3,443,5,0,448,13,539,35,103,0,140,27,17,0,45,63,3,0,67,0,248,41,104,0,148,46,19,0,66,4,6,0,7,11,231,76,269,0,344,162,105,0,268,11,21,0,32,22,668,53,162,0,213,70,105,0,178,11,28,0,37,32,469,99,681,10,784,140,610,0,755,25,177,5,206,284,2032,366,1411,13,1785,444,868,0,1317,1333,237,5,1574,368,5044
510,308,0,0,308,8,339,5,23,0,33,0,0,0,0,262,0,0,262,5,299,17,52,0,67,6,8,0,15,47,0,0,47,4,130,22,66,0,81,17,4,0,24,4,0,0,3,0,116,83,239,0,320,107,94,0,207,15,13,0,24,25,579,63,231,5,298,86,216,0,301,23,37,0,56,35,694,141,1089,0,1231,187,921,0,1110,70,236,0,313,280,2937,347,1714,9,2065,409,1245,0,1654,989,291,0,1282,366,5371
511,452,3,0,451,9,504,26,67,0,88,0,0,0,0,416,0,0,417,7,519,20,106,0,132,22,4,0,25,72,10,0,84,9,247,42,106,0,145,31,21,0,47,5,8,0,11,6,208,127,345,0,469,194,124,0,318,15,28,0,38,26,865,71,230,0,303,100,190,0,291,11,32,0,43,32,671,117,979,5,1101,170,760,14,946,51,231,6,289,270,2611,421,1867,8,2291,514,1098,12,1631,1465,309,7,1783,364,6077
