POW_SA4_CODE_2021,TYP_lthc_arth_A_15_24,TYP_ltch_arth_A_25_34,TYP_lthc_arth_A_35_34,TYP_lthc_arth_A_45_54,TYP_lthc_arth_A_55_64,TYP_lthc_arth_A_65_74,TYP_lthc_arth_A_75ov,TYP_lthc_arth_A_tot,TYP_lthc_asth_A_15_24,TYP_lthc_asth_A_25_34,TYP_lthc_asth_A_35_34,TYP_lthc_asth_A_45_54,TYP_lthc_asth_A_55_64,TYP_lthc_asth_A_65_74,TYP_lthc_asth_A_75ov,TYP_lthc_asth_A_tot,TYP_lthc_canc_A_15_24,TYP_lthc_canc_A_25_34,TYP_lthc_canc_A_35_34,TYP_lthc_canc_A_45_54,TYP_lthc_canc_A_55_64,TYP_lthc_canc_A_65_74,TYP_lthc_canc_A_75ov,TYP_lthc_canc_A_tot,TYP_lthc_demen_A_15_24,TYP_lthc_demen_A_25_34,TYP_lthc_demen_A_35_34,TYP_lthc_demen_A_45_54,TYP_lthc_demen_A_55_64,TYP_lthc_demen_A_65_74,TYP_lthc_demen_A_75ov,TYP_lthc_demen_A_tot,TYP_lthc_diab_A_15_24,TYP_lthc_diab_A_25_34,TYP_lthc_diab_A_35_34,TYP_lthc_diab_A_45_54,TYP_lthc_diab_A_55_64,TYP_lthc_diab_A_65_74,TYP_lthc_diab_A_75ov,TYP_lthc_diab_A_tot,TYP_lthc_hear_A_15_24,TYP_lthc_hear_A_25_34,TYP_lthc_hear_A_35_34,TYP_lthc_hear_A_45_54,TYP_lthc_hear_A_55_64,TYP_lthc_hear_A_65_74,TYP_lthc_hear_A_75ov,TYP_lthc_hear_A_tot,TYP_lthc_kidn_A_15_24,TYP_lthc_kidn_A_25_34,TYP_lthc_kidn_A_35_34,TYP_lthc_kidn_A_45_54,TYP_lthc_kidn_A_55_64,TYP_lthc_kidn_A_65_74,TYP_lthc_kidn_A_75ov,TYP_lthc_kidn_A_tot,TYP_lthc_lung_A_15_24,TYP_lthc_lung_A_25_34,TYP_lthc_lung_A_35_34,TYP_lthc_lung_A_45_54,TYP_lthc_lung_A_55_64,TYP_lthc_lung_A_65_74,TYP_lthc_lung_A_75ov,TYP_lthc_lung_A_tot,TYP_lthc_ment_A_15_24,TYP_lthc_ment_A_25_34,TYP_lthc_ment_A_35_34,TYP_lthc_ment_A_45_54,TYP_lthc_ment_A_55_64,TYP_lthc_ment_A_65_74,TYP_lthc_ment_A_75ov,TYP_lthc_ment_A_tot,TYP_lthc_stro_A_15_24,TYP_lthc_stro_A_25_34,TYP_lthc_stro_A_35_34,TYP_lthc_stro_A_45_54,TYP_lthc_stro_A_55_64,TYP_lthc_stro_A_65_74,TYP_lthc_stro_A_75ov,TYP_lthc_stro_A_tot,TYP_lthc_AO_lthc_A_15_24,TYP_lthc_AO_lthc_A_25_34,TYP_lthc_AO_lthc_A_35_34,TYP_lthc_AO_lthc_A_45_54,TYP_lthc_AO_lthc_A_55_64,TYP_lthc_AO_lthc_A_65_74,TYP_lthc_AO_lthc_A_75ov,TYP_lthc_AO_lthc_A_tot,TYP_lthc_NO_lthc_A_15_24,TYP_lthc_NO_lthc_A_25_34,TYP_lthc_NO_lthc_A_35_34,TYP_lthc_NO_lthc_A_45_54,TYP_lthc_NO_lthc_A_55_64,TYP_lthc_NO_lthc_A_65_74,TYP_lthc_NO_lthc_A_75ov,TYP_lthc_NO_lthc_A_tot,TYP_lthc_NS_A_15_24,TYP_lthc_NS_A_25_34,TYP_lthc_NS_A_35_34,TYP_lthc_NS_A_45_54,TYP_lthc_NS_A_55_64,TYP_lthc_NS_A_65_74,TYP_lthc_NS_A_75ov,TYP_lthc_NS_A_tot,TYP_lthc_Tot_A_15_24,TYP_lthc_Tot_A_25_34,TYP_lthc_Tot_A_35_34,TYP_lthc_Tot_A_45_54,TYP_lthc_Tot_A_55_64,TYP_lthc_Tot_A_65_74,TYP_lthc_Tot_A_75ov,TYP_lthc_Tot_A_tot,CNT_lthc_NONE_A_15_24,CNT_lthc_NONE_A_25_34,CNT_lthc_NONE_A_35_34,CNT_lthc_NONE_A_45_54,CNT_lthc_NONE_A_55_64,CNT_lthc_NONE_A_65_74,CNT_lthc_NONE_A_75ov,CNT_lthc_NONE_A_tot,CNT_lthc_ONE_A_15_24,CNT_lthc_ONE_A_25_34,CNT_lthc_ONE_A_35_34,CNT_lthc_ONE_A_45_54,CNT_lthc_ONE_A_55_64,CNT_lthc_ONE_A_65_74,CNT_lthc_ONE_A_75ov,CNT_lthc_ONE_A_tot,CNT_lthc_TWO_A_15_24,CNT_lthc_TWO_A_25_34,CNT_lthc_TWO_A_35_34,CNT_lthc_TWO_A_45_54,CNT_lthc_TWO_A_55_64,CNT_lthc_TWO_A_65_74,CNT_lthc_TWO_A_75ov,CNT_lthc_TWO_A_tot,CNT_lthc_THREEmo_A_15_24,CNT_lthc_THREEmo_A_25_34,CNT_lthc_THREEmo_A_35_34,CNT_lthc_THREEmo_A_45_54,CNT_lthc_THREEmo_A_55_64,CNT_lthc_THREEmo_A_65_74,CNT_lthc_THREEmo_A_75ov,CNT_lthc_THREEmo_A_tot,CNT_lthc_ONEmo_Tot_A_15_24,CNT_lthc_ONEmo_Tot_A_25_34,CNT_lthc_ONEmo_Tot_A_35_34,CNT_lthc_ONEmo_Tot_A_45_54,CNT_lthc_ONEmo_Tot_A_55_64,CNT_lthc_ONEmo_Tot_A_65_74,CNT_lthc_ONEmo_Tot_A_75ov,CNT_lthc_ONEmo_Tot_A_tot,CNT_lthc_NS_A_15_24,CNT_lthc_NS_Tot_A_25_34,CNT_lthc_NS_Tot_A_35_34,CNT_lthc_NS_Tot_A_45_54,CNT_lthc_NS_Tot_A_55_64,CNT_lthc_NS_Tot_A_65_74,CNT_lthc_NS_Tot_A_75ov,CNT_lthc_NS_Tot_A_tot,CNT_lthc_Tot_A_15_24,CNT_lthc_Tot_A_25_34,CNT_lthc_Tot_A_35_34,CNT_lthc_Tot_A_45_54,CNT_lthc_Tot_A_55_64,CNT_lthc_Tot_A_65_74,CNT_lthc_Tot_A_75ov,CNT_lthc_Tot_A_tot
501,75,218,616,1433,2099,883,167,5484,965,1221,1525,1413,1014,339,33,6510,14,59,183,410,672,339,77,1759,0,6,4,4,5,9,0,23,60,152,291,672,928,416,90,2605,20,37,82,276,626,402,121,1573,3,28,48,75,93,53,9,318,18,26,40,106,245,154,36,618,1199,1664,1822,1780,1116,215,20,7809,0,17,20,44,105,61,25,272,533,704,1012,1207,1225,379,53,5111,8255,9625,11645,11570,8441,2227,277,52037,515,410,556,691,535,141,36,2883,11172,13343,16587,17777,14753,4540,722,78895,8591,10033,12262,12300,9150,2408,300,55043,1799,2430,3043,3650,3654,1361,248,16175,258,430,613,918,1089,450,107,3858,18,36,115,228,326,181,34,933,2066,2897,3771,4793,5067,1989,385,20973,515,410,556,691,535,141,36,2883,11172,13343,16587,17777,14753,4540,722,78895
502,37,76,219,504,782,298,43,1954,451,503,532,532,414,102,13,2548,11,22,63,152,238,111,19,621,0,0,0,0,4,3,3,11,37,51,112,251,376,151,30,1014,15,17,38,94,250,130,35,582,0,5,18,18,43,17,7,118,4,4,14,53,79,57,12,220,590,748,661,609,399,69,8,3084,3,0,8,13,39,24,4,96,237,339,380,498,470,132,15,2071,4226,3721,4109,4116,2940,642,66,19818,251,146,217,278,233,49,14,1190,5658,5289,5918,6432,5349,1404,185,30240,4395,3924,4331,4394,3199,707,73,21024,871,1034,1116,1380,1364,424,58,6245,124,173,198,319,418,162,30,1422,8,18,51,67,135,67,17,358,1007,1220,1368,1764,1919,649,103,8025,251,146,217,278,233,49,14,1190,5658,5289,5918,6432,5349,1404,185,30240
503,159,766,1467,2914,3969,1704,276,11254,2242,5378,5422,4283,2663,724,77,20791,56,283,697,1285,1726,801,163,5020,0,4,4,3,14,6,12,46,129,452,1130,1863,2298,923,120,6910,51,125,292,928,1607,988,206,4200,34,88,163,215,216,104,25,850,34,75,123,261,463,255,54,1249,3316,7112,5948,4285,2378,416,51,23513,14,42,91,142,208,91,35,621,1431,3619,4354,4275,3461,978,119,18230,21518,47724,49845,36895,21306,4912,490,182679,915,1508,1556,1653,1110,282,48,7069,28605,63687,67220,54331,36176,9992,1247,261272,22376,49864,52711,39677,23327,5434,542,193928,4653,10479,10878,10369,8799,2965,404,48546,624,1706,1823,2189,2279,980,183,9788,45,134,254,443,668,330,73,1948,5314,12318,12961,13001,11743,4279,662,60277,915,1508,1556,1653,1110,282,48,7069,28605,63687,67220,54331,36176,9992,1247,261272
504,89,276,598,1280,1955,804,141,5134,1382,1784,1809,1640,1223,330,46,8208,26,75,214,450,683,312,71,1836,0,0,0,3,11,9,4,29,83,198,482,1001,1293,552,85,3687,30,42,123,420,803,450,129,1987,29,48,71,102,110,63,8,427,16,33,51,161,312,162,33,775,1772,2317,2072,1779,1100,182,17,9242,4,9,41,88,119,56,30,333,830,1056,1389,1554,1391,364,53,6639,12546,15537,15174,13434,9041,2181,234,68155,651,598,644,741,621,176,21,3449,16733,20869,21189,20415,16037,4604,617,100464,13075,16161,16069,14359,9820,2371,262,72102,2623,3488,3650,4051,4060,1432,183,19488,366,573,703,989,1162,449,102,4355,28,54,121,276,364,177,48,1064,3013,4114,4477,5313,5591,2060,336,24908,651,598,644,741,621,176,21,3449,16733,20869,21189,20415,16037,4604,617,100464
505,148,453,1015,2316,3355,1450,204,8945,2507,3031,3154,2833,1924,559,55,14066,59,130,363,822,1178,608,134,3297,3,0,6,4,5,11,9,46,155,295,682,1341,1893,840,136,5341,49,79,199,636,1355,774,187,3284,34,61,107,147,211,100,25,685,29,55,93,239,423,219,45,1110,3157,3990,3495,2981,1731,321,23,15702,10,19,59,119,175,93,25,493,1425,1968,2324,2679,2443,802,88,11728,24273,27673,27829,24437,15903,3818,332,124265,1177,1015,1160,1415,1036,245,19,6076,31836,36792,38174,36591,27550,7967,936,179841,25191,28816,29352,26137,17306,4244,374,131426,4823,5919,6322,7132,6821,2361,320,33697,613,942,1174,1512,1866,820,143,7072,33,103,164,394,517,295,70,1575,5468,6964,7657,9041,9205,3475,536,42339,1177,1015,1160,1415,1036,245,19,6076,31836,36792,38174,36591,27550,7967,936,179841
506,198,564,1328,2617,3917,1705,254,10579,2758,3905,3890,3301,2439,668,64,17028,74,175,476,926,1365,687,117,3807,0,0,6,16,19,4,7,51,185,436,1125,2288,2889,1171,154,8253,60,115,312,885,1788,1005,169,4336,46,81,145,202,251,112,34,877,29,53,135,294,624,315,54,1509,3423,5038,4194,3457,2188,372,36,18699,7,22,87,132,203,125,26,592,1546,2417,2995,3286,2917,854,89,14102,26258,38162,37536,29349,18942,4406,457,155111,1225,1332,1397,1628,1267,318,36,7211,34432,49866,50605,44146,33535,9464,1105,223150,27205,39599,39457,31425,20643,4870,494,163689,5279,7598,8099,8657,8499,2892,348,41366,677,1215,1414,1966,2396,1004,156,8825,47,118,232,471,731,384,77,2055,5999,8934,9747,11094,11622,4278,579,52252,1225,1332,1397,1628,1267,318,36,7211,34432,49866,50605,44146,33535,9464,1105,223150
507,143,524,1109,2397,3347,1293,207,9018,2365,3254,3250,2642,1849,452,44,13856,38,158,321,808,1224,539,93,3183,3,0,3,4,8,9,9,39,163,327,712,1555,2015,729,108,5616,58,112,197,650,1352,719,145,3231,42,69,114,159,183,91,19,668,33,54,108,221,478,228,36,1152,3048,4344,3713,3066,1821,297,18,16303,12,18,54,124,178,86,22,501,1378,2095,2417,2817,2392,656,65,11824,22074,27828,28245,23846,15637,3524,321,121468,1068,994,1193,1369,978,256,25,5878,29222,37657,38883,36134,27222,7220,829,177166,22935,29077,29742,25662,17042,3858,346,128656,4613,6442,6543,7076,6681,2123,280,33759,574,1040,1205,1628,1928,741,124,7233,42,109,200,402,584,249,49,1642,5226,7591,7952,9102,9194,3120,456,42635,1068,994,1193,1369,978,256,25,5878,29222,37657,38883,36134,27222,7220,829,177166
509,38,161,390,991,1811,960,279,4629,688,976,1071,1164,985,353,52,5281,15,52,98,297,571,380,137,1540,0,0,3,0,4,8,10,37,42,121,207,543,910,480,110,2417,14,34,74,249,663,473,179,1693,6,20,39,51,83,47,20,275,11,18,28,89,263,157,41,602,762,1139,1256,1271,932,242,33,5648,3,3,26,45,82,61,27,247,298,497,657,930,999,358,87,3821,5241,7062,7777,8239,7045,2323,393,38081,283,305,344,456,468,173,34,2073,7088,9744,11144,12804,12609,4823,1066,59284,5403,7322,8183,8768,7594,2510,429,40216,1220,1774,2120,2679,3241,1395,382,12806,175,304,421,730,965,544,174,3297,11,45,67,169,346,208,50,891,1397,2118,2612,3581,4548,2143,600,17001,283,305,344,456,468,173,34,2073,7088,9744,11144,12804,12609,4823,1066,59284
510,37,206,418,767,1086,337,35,2879,456,1387,1381,1007,669,140,11,5041,16,71,150,265,381,149,18,1041,0,6,0,4,5,3,0,29,35,151,358,732,859,238,17,2391,12,57,113,338,505,178,24,1230,8,29,54,70,85,27,7,280,5,39,32,110,189,77,4,448,438,1264,1189,905,498,63,5,4345,0,6,24,46,56,33,4,173,187,600,759,812,658,144,6,3170,5173,14177,14004,10906,6453,1068,64,51846,239,472,572,556,384,83,5,2317,6441,17892,18255,15433,10530,2084,135,70762,5298,14584,14529,11441,6839,1145,64,53905,801,2492,2669,2792,2484,589,36,11862,94,306,421,524,651,191,23,2207,6,30,60,117,165,77,14,466,897,2827,3152,3436,3302,856,67,14538,239,472,572,556,384,83,5,2317,6441,17892,18255,15433,10530,2084,135,70762
511,45,178,421,942,1360,594,120,3652,742,1186,1207,1038,796,178,30,5186,15,57,125,279,499,217,45,1236,0,0,4,4,3,5,7,22,56,133,315,754,1018,350,45,2671,13,34,66,285,625,294,80,1398,8,27,42,85,86,47,24,317,9,13,31,109,236,96,29,527,750,1208,1228,1126,675,109,24,5112,7,9,19,55,68,39,13,202,294,597,725,868,854,232,39,3611,6588,10818,10018,9431,6780,1543,183,45349,330,430,469,582,452,117,18,2397,8567,14069,13800,14113,11665,3102,463,65776,6775,11200,10449,9968,7253,1656,199,47495,1301,2071,2393,2716,2913,899,134,12425,155,332,409,656,769,313,69,2708,10,35,79,189,272,118,36,742,1467,2434,2876,3562,3955,1335,247,15882,330,430,469,582,452,117,18,2397,8567,14069,13800,14113,11665,3102,463,65776
