POW_SA4_CODE_2021,M_EW_FT_ATSI,M_EW_FT_NI,M_EW_FT_Isns,M_EW_FT_Total,M_EW_PT_ATSI,M_EW_PT_NI,M_EW_PT_Isns,M_EW_PT_Total,M_EW_Em_afw_ATSI,M_EW_Em_afw_NI,M_EW_Em_afw_Isns,M_EW_Em_afw_Total,M_Tot_ATSI,M_Tot_NI,M_Tot_Isns,M_Tot_Total,F_EW_FT_ATSI,F_EW_FT_NI,F_EW_FT_Isns,F_EW_FT_Total,F_EW_PT_ATSI,F_EW_PT_NI,F_EW_PT_Isns,F_EW_PT_Total,F_EW_Em_afw_ATSI,F_EW_Em_afw_NI,F_EW_Em_afw_Isns,F_EW_Em_afw_Total,F_Tot_ATSI,F_Tot_NI,F_Tot_Isns,F_Tot_Total,P_EW_FT_ATSI,P_EW_FT_NI,P_EW_FT_Isns,P_EW_FT_Total,P_EW_PT_ATSI,P_EW_PT_NI,P_EW_PT_Isns,P_EW_PT_Total,P_EW_Em_afw_ATSI,P_EW_Em_afw_NI,P_EW_Em_afw_Isns,P_EW_Em_afw_Total,P_Tot_ATSI,P_Tot_NI,P_Tot_Isns,P_Tot_Total
501,480,27471,95,28043,174,8027,38,8236,75,2348,27,2444,729,37843,158,38731,304,15603,64,15968,413,20907,64,21391,66,2720,15,2805,784,39228,149,40162,780,43068,166,44014,593,28932,109,29633,146,5071,37,5248,1513,77072,310,78895
502,123,7655,19,7805,90,3574,13,3677,9,709,3,724,221,11940,38,12200,95,6562,13,6673,178,10070,24,10268,33,1055,8,1096,309,17686,47,18036,218,14220,34,14473,267,13646,40,13949,44,1762,8,1816,531,29627,81,30240
503,891,94529,143,95565,215,21291,46,21553,140,5716,24,5882,1247,121535,219,123004,1046,73597,101,74746,466,54054,88,54611,164,8727,25,8909,1680,136371,218,138272,1939,168126,250,170316,682,75344,142,76165,303,14443,49,14790,2923,257911,435,261272
504,496,38755,97,39349,185,12131,34,12352,63,2345,22,2434,747,53227,165,54135,313,19640,32,19985,338,23341,44,23718,68,2536,15,2618,718,45511,99,46324,809,58388,131,59335,520,35466,85,36071,134,4885,41,5053,1462,98739,261,100464
505,448,57426,105,57983,219,22315,62,22601,64,3617,32,3715,728,83364,200,84297,349,38402,69,38817,388,51050,120,51555,67,5078,24,5173,802,94530,212,95548,794,95826,176,96802,607,73368,178,74151,132,8701,62,8887,1533,177900,414,179841
506,1076,88777,165,90023,373,26222,66,26656,127,5777,32,5929,1571,120773,262,122607,645,44626,75,45346,598,48518,86,49203,116,5836,36,5991,1362,98984,197,100543,1725,133402,237,135368,967,74745,153,75861,241,11609,70,11922,2930,219758,459,223150
507,767,63603,134,64504,270,19295,65,19630,101,4225,21,4349,1138,87124,214,88482,474,37298,77,37848,548,44876,69,45496,94,5231,13,5345,1121,87409,160,88688,1243,100897,210,102346,820,64175,136,65127,196,9460,33,9691,2257,174531,373,177166
509,518,22872,135,23520,172,5807,49,6025,97,2094,26,2216,785,30766,210,31762,290,11684,49,12021,363,12969,70,13407,63,2011,18,2092,714,26660,145,27520,807,34552,183,35545,534,18776,123,19436,165,4099,43,4311,1505,57430,353,59284
510,2450,34772,144,37370,649,3473,32,4159,489,5403,52,5947,3586,43654,228,47469,1526,13360,50,14942,897,5122,29,6045,345,1936,26,2307,2767,20415,107,23291,3979,48133,199,52309,1549,8590,67,10207,838,7337,78,8249,6360,64069,338,70762
511,1005,29176,123,30303,265,4690,27,4989,185,3220,33,3435,1462,37083,183,38730,632,13577,40,14255,589,10087,52,10723,147,1899,16,2063,1367,25562,112,27043,1639,42754,167,44564,853,14777,84,15716,334,5116,50,5501,2832,62647,302,65776
597,16,936,3,956,0,48,0,54,5,226,0,230,21,1220,7,1240,0,92,0,91,4,21,0,21,3,28,0,31,4,137,0,144,14,1023,3,1046,4,73,0,77,3,255,0,262,22,1355,7,1386
599,516,26087,96,26692,189,11770,51,12017,135,3732,26,3895,846,41586,173,42601,121,4791,24,4938,160,10948,43,11151,60,1803,10,1876,345,17543,79,17965,636,30879,118,31634,355,22724,94,23168,201,5531,41,5769,1189,59132,244,60566
