DATE,STATE,MONTH,AGE GROUP,MEASURE,VALUE
2018-04-30,NSW,Apr18,0 to 4,,2334.0
2018-04-30,NSW,Apr18,10 to 14,,1649.0
2018-04-30,NSW,Apr18,15 to 19,,3218.0
2018-04-30,NSW,Apr18,20 to 24,,2670.0
2018-04-30,NSW,Apr18,25 to 29,,1618.0
2018-04-30,NSW,Apr18,30 to 34,,1675.0
2018-04-30,NSW,Apr18,35 to 39,,1881.0
2018-04-30,NSW,Apr18,40 to 44,,1676.0
2018-04-30,NSW,Apr18,45 to 49,,1522.0
2018-04-30,NSW,Apr18,5 to 9,,1706.0
2018-04-30,NSW,Apr18,50 to 54,,1097.0
2018-04-30,NSW,Apr18,55 to 59,,725.0
2018-04-30,NSW,Apr18,60 to 64,,444.0
2018-04-30,NSW,Apr18,65+,,481.0
2019-04-30,NSW,Apr19,0 to 4,,2280.0
2019-04-30,NSW,Apr19,10 to 14,,1736.0
2019-04-30,NSW,Apr19,15 to 19,,3539.0
2019-04-30,NSW,Apr19,20 to 24,,2904.0
2019-04-30,NSW,Apr19,25 to 29,,1644.0
2019-04-30,NSW,Apr19,30 to 34,,1778.0
2019-04-30,NSW,Apr19,35 to 39,,1861.0
2019-04-30,NSW,Apr19,40 to 44,,1704.0
2019-04-30,NSW,Apr19,45 to 49,,1623.0
2019-04-30,NSW,Apr19,5 to 9,,1643.0
2019-04-30,NSW,Apr19,50 to 54,,1143.0
2019-04-30,NSW,Apr19,55 to 59,,760.0
2019-04-30,NSW,Apr19,60 to 64,,442.0
2019-04-30,NSW,Apr19,65+,,556.0
2020-04-30,NSW,Apr20,0 to 4,,2318.0
2020-04-30,NSW,Apr20,10 to 14,,1636.0
2020-04-30,NSW,Apr20,15 to 19,,3255.0
2020-04-30,NSW,Apr20,20 to 24,,2889.0
2020-04-30,NSW,Apr20,25 to 29,,1753.0
2020-04-30,NSW,Apr20,30 to 34,,1657.0
2020-04-30,NSW,Apr20,35 to 39,,1720.0
2020-04-30,NSW,Apr20,40 to 44,,1593.0
2020-04-30,NSW,Apr20,45 to 49,,1486.0
2020-04-30,NSW,Apr20,5 to 9,,1700.0
2020-04-30,NSW,Apr20,50 to 54,,1122.0
2020-04-30,NSW,Apr20,55 to 59,,646.0
2020-04-30,NSW,Apr20,60 to 64,,401.0
2020-04-30,NSW,Apr20,65+,,532.0
2021-04-30,NSW,Apr21,0 to 4,,2532.0
2021-04-30,NSW,Apr21,10 to 14,,1968.0
2021-04-30,NSW,Apr21,15 to 19,,3551.0
2021-04-30,NSW,Apr21,20 to 24,,3099.0
2021-04-30,NSW,Apr21,25 to 29,,1833.0
2021-04-30,NSW,Apr21,30 to 34,,1765.0
2021-04-30,NSW,Apr21,35 to 39,,1846.0
2021-04-30,NSW,Apr21,40 to 44,,1681.0
2021-04-30,NSW,Apr21,45 to 49,,1523.0
2021-04-30,NSW,Apr21,5 to 9,,2007.0
2021-04-30,NSW,Apr21,50 to 54,,1146.0
2021-04-30,NSW,Apr21,55 to 59,,774.0
2021-04-30,NSW,Apr21,60 to 64,,478.0
2021-04-30,NSW,Apr21,65+,,651.0
2022-04-30,NSW,Apr22,0 to 4,,2511.0
