DATE,STATE,MONTH,CLIENT GROUP,MEASURE,VALUE,ra_ref,Rolling Avg
2017-07-31,WA,Jul17,Number of clients who are at risk of homelessness,per 10k,12.402735021580062,WA/Number of clients who are at risk of homelessness/per 10k,12.492417672522341
2017-08-31,WA,Aug17,Number of clients who are at risk of homelessness,per 10k,12.271243599461656,WA/Number of clients who are at risk of homelessness/per 10k,12.121194996689358
2017-09-30,WA,Sep17,Number of clients who are at risk of homelessness,per 10k,11.587664187487324,WA/Number of clients who are at risk of homelessness/per 10k,12.599069246516642
2017-10-31,WA,Oct17,Number of clients who are at risk of homelessness,per 10k,12.21214908381898,WA/Number of clients who are at risk of homelessness/per 10k,12.670635105768811
2017-11-30,WA,Nov17,Number of clients who are at risk of homelessness,per 10k,12.189020013584477,WA/Number of clients who are at risk of homelessness/per 10k,12.776490504344212
2017-12-31,WA,Dec17,Number of clients who are at risk of homelessness,per 10k,12.246492979805597,WA/Number of clients who are at risk of homelessness/per 10k,12.34634885207556
2018-01-31,WA,Jan18,Number of clients who are at risk of homelessness,per 10k,11.9503309322412,WA/Number of clients who are at risk of homelessness/per 10k,12.507385978563251
2018-02-28,WA,Feb18,Number of clients who are at risk of homelessness,per 10k,11.977254754747054,WA/Number of clients who are at risk of homelessness/per 10k,12.50836973654643
2018-03-31,WA,Mar18,Number of clients who are at risk of homelessness,per 10k,12.327990437953966,WA/Number of clients who are at risk of homelessness/per 10k,12.431514452613602
2018-04-30,WA,Apr18,Number of clients who are at risk of homelessness,per 10k,11.649912654387204,WA/Number of clients who are at risk of homelessness/per 10k,11.649912654387204
2018-05-31,WA,May18,Number of clients who are at risk of homelessness,per 10k,11.688222133684755,WA/Number of clients who are at risk of homelessness/per 10k,12.748964241275623
2018-06-30,WA,Jun18,Number of clients who are at risk of homelessness,per 10k,11.631940199985332,WA/Number of clients who are at risk of homelessness/per 10k,12.381406972318445
2018-07-31,WA,Jul18,Number of clients who are at risk of homelessness,per 10k,11.975741388162238,WA/Number of clients who are at risk of homelessness/per 10k,12.352798596017516
2018-08-31,WA,Aug18,Number of clients who are at risk of homelessness,per 10k,12.369202747964698,WA/Number of clients who are at risk of homelessness/per 10k,12.152195965598775
2018-09-30,WA,Sep18,Number of clients who are at risk of homelessness,per 10k,11.814524521511755,WA/Number of clients who are at risk of homelessness/per 10k,12.53628674905933
2018-10-31,WA,Oct18,Number of clients who are at risk of homelessness,per 10k,12.594549489920745,WA/Number of clients who are at risk of homelessness/per 10k,12.565307462798282
2018-11-30,WA,Nov18,Number of clients who are at risk of homelessness,per 10k,12.567914490999463,WA/Number of clients who are at risk of homelessness/per 10k,12.663596641862663
2018-12-31,WA,Dec18,Number of clients who are at risk of homelessness,per 10k,13.169453543538852,WA/Number of clients who are at risk of homelessness/per 10k,12.326670842128673
2019-01-31,WA,Jan19,Number of clients who are at risk of homelessness,per 10k,13.93185566400294,WA/Number of clients who are at risk of homelessness/per 10k,12.570919488601925
2019-02-28,WA,Feb19,Number of clients who are at risk of homelessness,per 10k,13.65117030622014,WA/Number of clients who are at risk of homelessness/per 10k,12.61520036640105
