SA3_CODE_2021,C11_Budh_0_14,C11_Budh_15_24,C11_Budh_25_34,C11_Budh_35_44,C11_Budh_45_54,C11_Budh_55_64,C11_Budh_65_74,C11_Budh_75_84,C11_Budh_85ov,C11_Budh_Tot,C11_C_Ang_0_14,C11_C_Ang_15_24,C11_C_Ang_25_34,C11_C_Ang_35_44,C11_C_Ang_45_54,C11_C_Ang_55_64,C11_C_Ang_65_74,C11_C_Ang_75_84,C11_C_Ang_85ov,C11_C_Ang_Tot,C11_C_As_Apo_0_14,C11_C_As_Apo_15_24,C11_C_As_Apo_25_34,C11_C_As_Apo_35_44,C11_C_As_Apo_45_54,C11_C_As_Apo_55_64,C11_C_As_Apo_65_74,C11_C_As_Apo_75_84,C11_C_As_Apo_85ov,C11_C_As_Apo_Tot,C11_C_Bap_0_14,C11_C_Bap_15_24,C11_C_Bap_25_34,C11_C_Bap_35_44,C11_C_Bap_45_54,C11_C_Bap_55_64,C11_C_Bap_65_74,C11_C_Bap_75_84,C11_C_Bap_85ov,C11_C_Bap_Tot,C11_C_Breth_0_14,C11_C_Breth_15_24,C11_C_Breth_25_34,C11_C_Breth_35_44,C11_C_Breth_45_54,C11_C_Breth_55_64,C11_C_Breth_65_74,C11_C_Breth_75_84,C11_C_Breth_85ov,C11_C_Breth_Tot,C11_C_Cath_0_14,C11_C_Cath_15_24,C11_C_Cath_25_34,C11_C_Cath_35_44,C11_C_Cath_45_54,C11_C_Cath_55_64,C11_C_Cath_65_74,C11_C_Cath_75_84,C11_C_Cath_85ov,C11_C_Cath_Tot,C11_C_Ch_Chr_0_14,C11_C_Ch_Chr_15_24,C11_C_Ch_Chr_25_34,C11_C_Ch_Chr_35_44,C11_C_Ch_Chr_45_54,C11_C_Ch_Chr_55_64,C11_C_Ch_Chr_65_74,C11_C_Ch_Chr_75_84,C11_C_Ch_Chr_85ov,C11_C_Ch_Chr_Tot,C11_C_E_Orth_0_14,C11_C_E_Orth_15_24,C11_C_E_Orth_25_34,C11_C_E_Orth_35_44,C11_C_E_Orth_45_54,C11_C_E_Orth_55_64,C11_C_E_Orth_65_74,C11_C_E_Orth_75_84,C11_C_E_Orth_85ov,C11_C_E_Orth_Tot,C11_C_Jeh_Wit_0_14,C11_C_Jeh_Wit_15_24,C11_C_Jeh_Wit_25_34,C11_C_Jeh_Wit_35_44,C11_C_Jeh_Wit_45_54,C11_C_Jeh_Wit_55_64,C11_C_Jeh_Wit_65_74,C11_C_Jeh_Wit_75_84,C11_C_Jeh_Wit_85ov,C11_C_Jeh_Wit_Tot,C11_C_La_Da_Sai_0_14,C11_C_La_Da_Sai_15_24,C11_C_La_Da_Sai_25_34,C11_C_La_Da_Sai_35_44,C11_C_La_Da_Sai_45_54,C11_C_La_Da_Sai_55_64,C11_C_La_Da_Sai_65_74,C11_C_La_Da_Sai_75_84,C11_C_La_Da_Sai_85ov,C11_C_La_Da_Sai_Tot,C11_C_Luth_0_14,C11_C_Luth_15_24,C11_C_Luth_25_34,C11_C_Luth_35_44,C11_C_Luth_45_54,C11_C_Luth_55_64,C11_C_Luth_65_74,C11_C_Luth_75_84,C11_C_Luth_85ov,C11_C_Luth_Tot,C11_C_Ori_Orth_0_14,C11_C_Ori_Orth_15_24,C11_C_Ori_Orth_25_34,C11_C_Ori_Orth_35_44,C11_C_Ori_Orth_45_54,C11_C_Ori_Orth_55_64,C11_C_Ori_Orth_65_74,C11_C_Ori_Orth_75_84,C11_C_Ori_Orth_85ov,C11_C_Ori_Orth_Tot,C11_C_Oth_Prot_0_14,C11_C_Oth_Prot_15_24,C11_C_Oth_Prot_25_34,C11_C_Oth_Prot_35_44,C11_C_Oth_Prot_45_54,C11_C_Oth_Prot_55_64,C11_C_Oth_Prot_65_74,C11_C_Oth_Prot_75_84,C11_C_Oth_Prot_85ov,C11_C_Oth_Prot_Tot,C11_C_Pentec_0_14,C11_C_Pentec_15_24,C11_C_Pentec_25_34,C11_C_Pentec_35_44,C11_C_Pentec_45_54,C11_C_Pentec_55_64,C11_C_Pentec_65_74,C11_C_Pentec_75_84,C11_C_Pentec_85ov,C11_C_Pentec_Tot,C11_C_Pres_Ref_0_14,C11_C_Pres_Ref_15_24,C11_C_Pres_Ref_25_34,C11_C_Pres_Ref_35_44,C11_C_Pres_Ref_45_54,C11_C_Pres_Ref_55_64,C11_C_Pres_Ref_65_74,C11_C_Pres_Ref_75_84,C11_C_Pres_Ref_85ov,C11_C_Pres_Ref_Tot,C11_C_Sal_Army_0_14,C11_C_Sal_Army_15_24,C11_C_Sal_Army_25_34,C11_C_Sal_Army_35_44,C11_C_Sal_Army_45_54,C11_C_Sal_Army_55_64,C11_C_Sal_Army_65_74,C11_C_Sal_Army_75_84,C11_C_Sal_Army_85ov,C11_C_Sal_Army_Tot,C11_C_Se_da_Adv_0_14,C11_C_Se_da_Adv_15_24,C11_C_Se_da_Adv_25_34,C11_C_Se_da_Adv_35_44,C11_C_Se_da_Adv_45_54,C11_C_Se_da_Adv_55_64,C11_C_Se_da_Adv_65_74,C11_C_Se_da_Adv_75_84,C11_C_Se_da_Adv_85ov,C11_C_Se_da_Adv_Tot,C11_C_Uni_Ch_0_14,C11_C_Uni_Ch_15_24,C11_C_Uni_Ch_25_34,C11_C_Uni_Ch_35_44,C11_C_Uni_Ch_45_54,C11_C_Uni_Ch_55_64,C11_C_Uni_Ch_65_74,C11_C_Uni_Ch_75_84,C11_C_Uni_Ch_85ov,C11_C_Uni_Ch_Tot,C11_Chr_Ch_nfd_0_14,C11_Chr_Ch_nfd_15_24,C11_Chr_Ch_nfd_25_34,C11_Chr_Ch_nfd_35_44,C11_Chr_Ch_nfd_45_54,C11_Chr_Ch_nfd_55_64,C11_Chr_Ch_nfd_65_74,C11_Chr_Ch_nfd_75_84,C11_Chr_Ch_nfd_85ov,C11_Chr_Ch_nfd_Tot,C11_Chr_Oth_Ch_0_14,C11_Chr_Oth_Ch_15_24,C11_Chr_Oth_Ch_25_34,C11_Chr_Oth_Ch_35_44,C11_Chr_Oth_Ch_45_54,C11_Chr_Oth_Ch_55_64,C11_Chr_Oth_Ch_65_74,C11_Chr_Oth_Ch_75_84,C11_Chr_Oth_Ch_85ov,C11_Chr_Oth_Ch_Tot
50101,71,60,114,123,91,76,12,5,0,550,1409,667,595,1371,1638,1682,1341,881,327,9902,0,0,0,0,0,0,0,0,0,0,160,60,75,94,76,73,58,25,10,629,0,0,0,0,0,3,0,0,0,9,1737,834,797,1240,1108,847,621,326,85,7585,33,18,16,21,32,43,30,16,3,204,11,7,18,11,21,13,3,10,0,96,75,30,51,43,49,34,16,11,3,316,19,3,11,14,3,8,3,4,0,69,35,16,27,42,36,39,31,18,3,253,0,0,0,0,0,0,0,0,0,0,3,19,9,15,19,11,9,0,0,85,44,11,26,27,33,30,21,9,3,206,72,30,31,87,110,138,117,91,30,710,11,11,12,9,17,16,12,6,6,93,19,19,5,21,21,25,23,24,11,155,164,87,93,185,265,352,293,251,93,1780,346,158,133,188,185,145,80,27,7,1270,18,4,10,9,13,8,3,7,3,67
50102,87,70,120,140,115,94,23,4,0,653,3086,1952,1668,3115,3743,3451,2369,1367,557,21308,0,0,0,0,0,0,0,0,0,0,409,193,171,259,247,245,110,55,24,1723,0,0,0,0,0,0,0,0,0,0,4733,2755,2627,3092,3123,2508,1489,899,304,21528,50,23,19,51,52,79,65,40,16,389,43,36,39,41,51,65,30,21,9,329,130,79,79,101,108,87,73,33,15,703,178,51,66,51,47,37,32,11,0,472,139,54,45,91,91,79,67,35,16,626,0,0,0,0,0,0,0,0,0,5,35,19,26,33,35,32,14,10,0,205,140,49,70,70,71,64,29,13,4,520,221,87,118,208,329,364,228,117,39,1707,29,22,16,31,61,60,42,16,16,300,62,32,41,41,53,36,42,29,10,341,357,267,229,405,638,704,583,352,113,3647,707,401,353,416,433,301,141,56,8,2812,59,28,18,36,32,19,9,6,0,206
50103,27,13,25,33,43,51,12,4,0,206,630,284,252,585,886,1087,836,380,165,5099,0,0,0,0,0,0,0,0,0,0,65,31,27,41,58,63,40,11,5,337,0,0,0,0,0,0,0,0,3,4,907,407,323,581,641,618,392,202,57,4138,23,4,3,11,10,11,14,0,3,80,26,7,8,10,24,20,22,19,4,140,15,4,15,15,35,30,15,15,0,144,12,9,4,9,4,10,6,0,0,52,17,6,9,14,17,22,21,7,0,111,0,0,0,0,0,0,0,0,0,0,0,5,3,0,9,8,4,6,0,32,9,11,7,3,15,16,10,0,0,77,26,4,17,25,55,84,92,37,14,348,4,0,5,9,3,8,3,0,0,41,27,7,14,15,25,22,24,17,3,151,106,63,48,85,189,223,202,91,25,1038,132,65,41,82,81,86,47,21,7,561,0,0,3,0,0,7,0,0,0,18
50201,103,84,131,169,159,90,30,5,0,780,2623,1664,1345,2469,3150,3936,3981,2380,743,22298,0,0,0,0,0,0,0,0,0,0,441,201,155,244,217,237,200,123,27,1840,0,0,3,4,4,0,7,4,0,19,3459,2039,1646,2078,2313,2060,1759,949,238,16543,36,34,5,18,38,42,34,33,8,245,36,17,26,42,33,34,22,14,6,224,127,79,101,85,105,123,67,38,11,733,62,56,37,26,34,33,19,6,4,284,98,37,45,68,77,86,62,36,22,536,5,0,0,4,0,0,3,0,0,12,32,24,29,23,28,28,30,8,6,200,160,121,63,105,88,69,66,35,7,712,140,83,84,183,293,478,444,318,91,2106,23,12,12,19,35,52,53,38,14,269,16,17,13,12,17,24,16,12,4,135,278,212,176,273,469,587,611,402,137,3141,521,366,300,272,343,229,179,67,12,2299,24,21,11,8,23,20,11,4,0,118
50301,101,230,160,164,171,149,84,27,0,1096,2548,1772,898,1719,2253,2267,1903,1208,745,15304,0,0,0,0,0,0,0,0,0,0,79,114,64,55,93,101,45,30,12,600,0,3,0,0,0,4,0,4,3,13,3369,2363,1265,1794,2275,1582,1096,583,276,14605,29,34,11,33,25,18,24,18,5,193,207,147,62,118,169,119,79,62,29,988,7,0,9,11,6,7,9,5,4,56,13,6,4,13,3,3,3,0,4,47,34,37,37,55,61,41,33,23,13,344,9,7,9,8,0,0,8,0,0,38,44,46,16,26,20,13,16,5,6,196,62,78,35,40,62,57,19,7,6,361,141,179,86,150,271,260,201,166,104,1571,8,0,5,3,5,7,5,16,15,62,8,10,3,3,5,6,3,0,0,43,451,441,161,294,480,468,347,274,133,3051,208,209,119,122,142,139,79,45,18,1081,3,9,4,9,11,10,12,16,0,73
50302,256,417,865,552,406,325,124,59,24,3023,1469,974,1648,1895,1914,1817,1177,627,382,11911,0,0,0,0,0,0,0,0,0,0,104,143,208,134,107,80,48,29,11,870,0,0,0,0,0,4,0,0,0,5,3432,2887,4720,3336,3029,2220,1507,1357,621,23103,54,22,35,42,42,31,26,15,6,285,296,199,295,317,324,259,211,268,96,2261,21,20,38,28,36,26,29,12,4,213,18,8,14,9,10,14,7,0,0,82,69,46,92,86,82,60,41,33,15,529,14,4,23,12,4,4,0,0,0,70,24,30,89,56,34,19,9,4,3,269,56,82,146,85,73,64,27,15,3,542,65,99,231,178,222,247,141,66,43,1299,3,3,10,15,8,28,13,15,10,102,6,13,10,8,9,13,6,7,0,73,217,218,324,298,362,380,230,152,97,2265,290,293,474,267,221,176,72,30,13,1846,17,13,20,29,24,20,16,10,0,149
50401,358,331,521,505,471,398,156,80,23,2850,1115,821,1035,1367,1617,1733,1356,902,464,10410,0,0,0,0,0,0,0,0,0,0,172,139,154,129,132,144,58,39,17,992,5,0,0,0,3,8,9,3,0,30,4202,2835,3030,3335,2973,2734,1906,1290,486,22790,40,27,20,35,34,56,44,28,15,308,301,197,238,309,245,228,173,132,45,1871,36,32,48,36,49,45,28,36,5,318,24,17,30,15,25,23,9,14,0,152,31,26,40,61,55,55,54,35,23,384,22,3,21,18,5,0,10,0,0,90,19,21,24,31,30,23,23,11,5,193,146,88,120,108,92,96,33,30,10,723,75,50,110,121,206,248,200,146,58,1223,9,17,15,15,24,46,24,32,18,198,31,19,34,20,16,20,11,13,3,161,129,136,193,220,281,374,248,178,105,1873,343,276,312,273,235,232,104,44,17,1834,31,32,27,30,26,24,15,10,3,196
50402,38,32,36,55,77,49,21,0,0,309,1104,781,447,1107,1581,1499,1063,551,210,8341,0,0,0,0,0,0,0,0,0,0,177,117,64,123,112,102,58,37,9,799,34,33,20,11,14,6,3,0,0,127,1474,1112,674,1028,1289,1085,604,307,113,7682,50,39,15,28,36,35,20,9,8,238,31,17,10,31,26,34,9,5,0,173,50,36,36,47,46,51,29,27,9,335,45,19,20,22,18,18,15,4,0,159,28,17,6,24,38,41,41,17,6,219,0,0,0,0,0,0,0,0,0,0,13,11,4,16,23,8,5,3,0,87,61,41,26,32,39,32,31,10,5,279,71,58,28,81,140,182,126,69,22,778,10,10,7,19,18,30,15,9,0,107,53,32,16,23,23,22,20,15,7,204,128,102,53,127,231,249,202,90,29,1216,301,221,112,181,200,194,126,33,15,1389,20,9,9,9,16,17,9,7,3,101
50403,534,393,481,540,500,344,123,41,8,2968,3359,2022,1737,3192,3373,2718,1699,883,274,19260,0,0,0,0,0,0,0,0,0,0,455,219,247,299,245,162,107,46,8,1782,0,4,4,0,6,3,3,0,0,22,5949,3683,3334,4119,3741,2702,1527,808,235,26093,81,47,40,62,51,60,48,12,0,411,322,188,216,254,219,151,73,34,12,1472,108,73,73,75,63,78,53,19,5,544,112,85,75,58,50,45,25,4,3,466,79,46,44,91,71,72,28,26,9,481,23,10,4,17,7,0,3,0,0,67,65,25,49,61,62,41,23,8,0,331,416,280,205,247,228,154,47,32,3,1610,173,124,137,221,421,356,225,113,38,1810,79,54,51,52,78,58,32,26,6,444,58,29,32,28,32,30,18,8,0,243,332,230,226,296,413,364,252,128,40,2278,896,523,482,484,409,259,119,40,9,3221,25,28,27,31,27,25,14,4,3,185
50501,210,235,269,328,324,259,94,26,5,1762,5478,3988,2317,5125,6643,5930,3169,1806,762,35217,0,0,0,0,0,0,0,0,0,0,598,440,237,428,466,387,178,116,44,2886,12,8,6,10,16,10,11,3,6,83,7978,5881,3937,5355,6276,5071,2341,1177,369,38382,146,73,61,83,120,151,99,56,25,811,321,262,177,296,354,247,109,60,14,1839,88,60,71,64,107,69,49,33,10,551,114,90,65,62,51,63,34,8,6,506,146,85,58,136,120,139,107,42,22,870,46,73,24,23,54,31,6,5,4,268,47,51,43,60,82,44,23,12,5,366,454,395,261,259,375,257,109,25,6,2135,427,330,225,481,804,859,460,269,113,3956,37,28,17,25,57,52,27,22,8,272,28,24,30,25,24,33,9,16,3,183,898,689,395,703,1025,1114,553,343,162,5886,852,629,473,591,546,493,197,59,21,3859,43,21,20,39,23,31,15,12,0,217
