LGA_CODE_2021,C11_Budh_0_14,C11_Budh_15_24,C11_Budh_25_34,C11_Budh_35_44,C11_Budh_45_54,C11_Budh_55_64,C11_Budh_65_74,C11_Budh_75_84,C11_Budh_85ov,C11_Budh_Tot,C11_C_Ang_0_14,C11_C_Ang_15_24,C11_C_Ang_25_34,C11_C_Ang_35_44,C11_C_Ang_45_54,C11_C_Ang_55_64,C11_C_Ang_65_74,C11_C_Ang_75_84,C11_C_Ang_85ov,C11_C_Ang_Tot,C11_C_As_Apo_0_14,C11_C_As_Apo_15_24,C11_C_As_Apo_25_34,C11_C_As_Apo_35_44,C11_C_As_Apo_45_54,C11_C_As_Apo_55_64,C11_C_As_Apo_65_74,C11_C_As_Apo_75_84,C11_C_As_Apo_85ov,C11_C_As_Apo_Tot,C11_C_Bap_0_14,C11_C_Bap_15_24,C11_C_Bap_25_34,C11_C_Bap_35_44,C11_C_Bap_45_54,C11_C_Bap_55_64,C11_C_Bap_65_74,C11_C_Bap_75_84,C11_C_Bap_85ov,C11_C_Bap_Tot,C11_C_Breth_0_14,C11_C_Breth_15_24,C11_C_Breth_25_34,C11_C_Breth_35_44,C11_C_Breth_45_54,C11_C_Breth_55_64,C11_C_Breth_65_74,C11_C_Breth_75_84,C11_C_Breth_85ov,C11_C_Breth_Tot,C11_C_Cath_0_14,C11_C_Cath_15_24,C11_C_Cath_25_34,C11_C_Cath_35_44,C11_C_Cath_45_54,C11_C_Cath_55_64,C11_C_Cath_65_74,C11_C_Cath_75_84,C11_C_Cath_85ov,C11_C_Cath_Tot,C11_C_Ch_Chr_0_14,C11_C_Ch_Chr_15_24,C11_C_Ch_Chr_25_34,C11_C_Ch_Chr_35_44,C11_C_Ch_Chr_45_54,C11_C_Ch_Chr_55_64,C11_C_Ch_Chr_65_74,C11_C_Ch_Chr_75_84,C11_C_Ch_Chr_85ov,C11_C_Ch_Chr_Tot,C11_C_E_Orth_0_14,C11_C_E_Orth_15_24,C11_C_E_Orth_25_34,C11_C_E_Orth_35_44,C11_C_E_Orth_45_54,C11_C_E_Orth_55_64,C11_C_E_Orth_65_74,C11_C_E_Orth_75_84,C11_C_E_Orth_85ov,C11_C_E_Orth_Tot,C11_C_Jeh_Wit_0_14,C11_C_Jeh_Wit_15_24,C11_C_Jeh_Wit_25_34,C11_C_Jeh_Wit_35_44,C11_C_Jeh_Wit_45_54,C11_C_Jeh_Wit_55_64,C11_C_Jeh_Wit_65_74,C11_C_Jeh_Wit_75_84,C11_C_Jeh_Wit_85ov,C11_C_Jeh_Wit_Tot,C11_C_La_Da_Sai_0_14,C11_C_La_Da_Sai_15_24,C11_C_La_Da_Sai_25_34,C11_C_La_Da_Sai_35_44,C11_C_La_Da_Sai_45_54,C11_C_La_Da_Sai_55_64,C11_C_La_Da_Sai_65_74,C11_C_La_Da_Sai_75_84,C11_C_La_Da_Sai_85ov,C11_C_La_Da_Sai_Tot,C11_C_Luth_0_14,C11_C_Luth_15_24,C11_C_Luth_25_34,C11_C_Luth_35_44,C11_C_Luth_45_54,C11_C_Luth_55_64,C11_C_Luth_65_74,C11_C_Luth_75_84,C11_C_Luth_85ov,C11_C_Luth_Tot,C11_C_Ori_Orth_0_14,C11_C_Ori_Orth_15_24,C11_C_Ori_Orth_25_34,C11_C_Ori_Orth_35_44,C11_C_Ori_Orth_45_54,C11_C_Ori_Orth_55_64,C11_C_Ori_Orth_65_74,C11_C_Ori_Orth_75_84,C11_C_Ori_Orth_85ov,C11_C_Ori_Orth_Tot,C11_C_Oth_Prot_0_14,C11_C_Oth_Prot_15_24,C11_C_Oth_Prot_25_34,C11_C_Oth_Prot_35_44,C11_C_Oth_Prot_45_54,C11_C_Oth_Prot_55_64,C11_C_Oth_Prot_65_74,C11_C_Oth_Prot_75_84,C11_C_Oth_Prot_85ov,C11_C_Oth_Prot_Tot,C11_C_Pentec_0_14,C11_C_Pentec_15_24,C11_C_Pentec_25_34,C11_C_Pentec_35_44,C11_C_Pentec_45_54,C11_C_Pentec_55_64,C11_C_Pentec_65_74,C11_C_Pentec_75_84,C11_C_Pentec_85ov,C11_C_Pentec_Tot,C11_C_Pres_Ref_0_14,C11_C_Pres_Ref_15_24,C11_C_Pres_Ref_25_34,C11_C_Pres_Ref_35_44,C11_C_Pres_Ref_45_54,C11_C_Pres_Ref_55_64,C11_C_Pres_Ref_65_74,C11_C_Pres_Ref_75_84,C11_C_Pres_Ref_85ov,C11_C_Pres_Ref_Tot,C11_C_Sal_Army_0_14,C11_C_Sal_Army_15_24,C11_C_Sal_Army_25_34,C11_C_Sal_Army_35_44,C11_C_Sal_Army_45_54,C11_C_Sal_Army_55_64,C11_C_Sal_Army_65_74,C11_C_Sal_Army_75_84,C11_C_Sal_Army_85ov,C11_C_Sal_Army_Tot,C11_C_Se_da_Adv_0_14,C11_C_Se_da_Adv_15_24,C11_C_Se_da_Adv_25_34,C11_C_Se_da_Adv_35_44,C11_C_Se_da_Adv_45_54,C11_C_Se_da_Adv_55_64,C11_C_Se_da_Adv_65_74,C11_C_Se_da_Adv_75_84,C11_C_Se_da_Adv_85ov,C11_C_Se_da_Adv_Tot,C11_C_Uni_Ch_0_14,C11_C_Uni_Ch_15_24,C11_C_Uni_Ch_25_34,C11_C_Uni_Ch_35_44,C11_C_Uni_Ch_45_54,C11_C_Uni_Ch_55_64,C11_C_Uni_Ch_65_74,C11_C_Uni_Ch_75_84,C11_C_Uni_Ch_85ov,C11_C_Uni_Ch_Tot,C11_Chr_Ch_nfd_0_14,C11_Chr_Ch_nfd_15_24,C11_Chr_Ch_nfd_25_34,C11_Chr_Ch_nfd_35_44,C11_Chr_Ch_nfd_45_54,C11_Chr_Ch_nfd_55_64,C11_Chr_Ch_nfd_65_74,C11_Chr_Ch_nfd_75_84,C11_Chr_Ch_nfd_85ov,C11_Chr_Ch_nfd_Tot,C11_Chr_Oth_Ch_0_14,C11_Chr_Oth_Ch_15_24,C11_Chr_Oth_Ch_25_34,C11_Chr_Oth_Ch_35_44,C11_Chr_Oth_Ch_45_54,C11_Chr_Oth_Ch_55_64,C11_Chr_Oth_Ch_65_74,C11_Chr_Oth_Ch_75_84,C11_Chr_Oth_Ch_85ov,C11_Chr_Oth_Ch_Tot
LGA50080,26,28,26,51,57,53,17,9,0,264,796,453,386,812,1048,1221,1036,747,275,6775,0,0,0,0,0,0,0,0,0,0,232,158,116,134,165,167,119,70,32,1193,25,29,13,18,8,12,13,10,0,115,985,562,508,710,737,654,389,270,102,4918,47,23,11,38,32,23,21,8,8,209,12,3,0,13,13,11,9,0,7,68,42,18,30,31,22,36,19,16,7,207,10,10,10,9,11,15,6,14,0,93,34,19,27,27,36,45,33,28,9,247,5,0,0,0,0,0,0,0,0,7,24,6,10,17,14,16,10,9,3,107,131,82,55,60,83,45,21,8,3,493,303,160,105,155,159,177,139,108,38,1359,27,15,9,19,22,30,29,14,3,165,28,16,15,12,19,25,17,9,9,142,147,108,89,142,287,315,314,250,102,1755,302,144,137,136,174,159,101,54,21,1232,14,0,3,10,0,3,4,0,0,46
LGA50210,125,94,189,174,115,110,34,10,5,851,1790,1253,1239,1673,2071,2108,1357,814,261,12561,0,0,0,0,0,0,0,0,0,0,343,248,200,195,224,181,114,51,14,1575,60,36,48,20,18,22,6,5,3,214,2113,1571,1699,1551,1606,1431,804,424,121,11323,43,22,32,35,24,51,31,15,5,269,39,18,31,27,30,24,18,8,5,202,42,41,44,30,55,58,31,10,4,323,71,35,39,28,36,24,19,5,3,261,36,28,32,29,43,53,41,31,7,306,17,5,8,11,4,0,0,0,0,40,60,37,35,49,53,34,31,15,4,316,197,138,132,121,127,90,49,15,4,860,507,338,268,258,304,373,257,117,38,2453,32,16,19,20,28,38,18,6,8,187,106,49,55,46,28,36,24,8,4,348,189,129,130,158,238,255,167,74,25,1354,641,387,415,333,263,215,113,28,7,2393,35,24,24,34,21,21,11,0,0,170
LGA50250,12,10,37,21,36,8,0,0,0,126,295,108,280,420,319,191,46,3,0,1661,0,0,0,0,0,0,0,0,0,0,45,4,40,32,20,17,0,0,0,158,0,0,0,0,0,0,0,0,0,3,340,194,512,419,331,134,18,4,0,1951,20,12,9,5,0,4,5,0,0,52,3,3,7,9,4,0,0,0,0,29,11,0,12,4,4,6,0,0,0,42,0,3,4,4,0,4,0,0,0,22,8,5,11,19,14,5,0,0,0,71,0,0,0,0,0,0,0,0,0,0,4,0,10,4,9,7,0,0,0,26,26,8,11,6,12,0,0,0,0,66,13,3,31,35,66,38,5,0,0,195,4,0,0,6,6,3,0,0,0,20,5,0,3,5,0,0,0,0,0,18,48,21,45,55,51,47,9,0,0,267,57,24,40,44,36,7,0,0,0,215,0,0,6,0,5,4,0,0,0,14
LGA50280,24,14,63,57,34,37,9,3,0,243,276,112,135,306,401,441,292,166,87,2219,0,0,0,0,0,0,0,0,0,0,23,11,18,20,31,33,11,10,3,157,0,0,0,0,0,0,0,0,0,0,433,177,232,351,295,195,143,66,19,1909,0,0,0,0,5,3,0,0,0,6,9,0,8,11,10,4,0,0,0,35,22,8,18,7,12,9,5,4,0,84,0,0,0,3,0,0,0,0,0,4,7,8,8,17,16,13,6,4,0,84,0,0,0,0,0,0,0,0,0,0,0,6,4,3,9,4,0,0,0,28,6,3,3,8,5,3,4,4,0,35,4,5,8,19,37,33,24,15,9,162,0,0,0,0,6,0,3,0,0,7,9,0,0,3,5,0,3,0,0,18,61,18,17,63,62,93,68,66,22,475,72,31,24,38,29,34,16,7,0,263,0,0,8,0,3,6,0,0,0,15
LGA50350,27,42,61,54,54,51,12,3,0,303,281,204,205,310,393,420,270,223,99,2398,0,0,0,0,0,0,0,0,0,0,25,23,22,24,31,26,9,7,0,154,0,0,0,0,0,4,0,0,0,3,731,495,445,582,544,467,307,253,79,3902,10,8,5,6,10,20,6,9,4,77,28,29,26,31,24,27,16,15,5,208,5,9,6,10,10,9,3,6,0,66,4,8,4,8,6,4,3,0,0,34,9,10,6,8,6,6,17,3,6,73,0,0,0,0,0,0,0,0,0,0,0,0,10,6,3,4,0,0,0,31,33,20,21,13,25,25,9,9,0,159,17,15,17,29,53,49,51,46,14,292,5,3,3,3,9,17,3,17,0,67,0,6,0,0,5,4,5,0,0,20,29,24,31,57,47,75,46,29,18,349,82,65,63,53,61,58,19,9,4,413,13,4,8,9,4,3,4,3,0,54
LGA50420,330,295,477,449,419,349,145,75,25,2566,834,629,845,1068,1240,1327,1090,683,377,8101,0,0,0,0,0,0,0,0,0,0,155,116,140,110,100,118,55,32,23,846,5,0,0,0,3,4,9,3,0,26,3485,2368,2643,2776,2444,2275,1614,1051,417,19069,26,19,21,28,25,46,39,18,17,235,268,172,213,281,222,205,157,115,41,1681,28,24,40,31,36,33,21,30,7,254,22,12,23,10,25,17,6,9,0,124,28,23,26,46,49,48,40,25,19,313,22,3,26,18,5,0,10,0,0,91,13,19,20,26,26,24,21,9,4,166,113,67,104,89,69,70,24,20,5,572,63,41,101,95,159,198,152,97,45,943,5,10,14,17,12,33,17,18,14,135,30,16,28,17,11,14,11,10,3,141,104,115,171,171,237,299,203,144,98,1540,261,209,257,216,173,178,84,36,13,1438,25,27,19,25,18,15,9,7,4,142
LGA50490,147,180,325,195,146,104,41,15,0,1158,448,419,490,699,832,853,682,575,231,5221,0,0,0,0,0,0,0,0,0,0,71,54,84,62,57,47,33,22,10,437,0,0,0,0,0,7,0,0,0,5,1692,1173,1519,1396,1138,953,748,573,199,9384,27,9,15,21,7,17,15,4,4,116,46,24,51,53,42,52,26,13,11,322,39,14,28,31,18,20,14,9,0,168,23,20,24,15,13,16,5,5,0,118,15,14,24,16,23,24,24,19,7,177,4,3,4,0,0,0,0,0,0,7,16,21,34,19,12,16,12,3,0,135,89,55,79,66,42,30,13,3,0,389,45,42,76,63,124,112,88,70,29,651,9,13,5,18,18,16,15,12,5,101,36,24,22,16,15,9,21,9,4,146,91,86,99,109,117,130,117,60,41,850,172,124,210,145,109,103,45,23,7,939,12,7,12,12,20,11,9,5,0,86
LGA50560,0,0,0,0,6,5,0,0,0,7,103,34,28,78,85,105,117,49,27,620,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,3,3,0,0,18,0,0,0,0,0,0,0,0,0,0,33,9,15,34,30,52,44,13,3,234,0,0,0,0,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,3,0,5,3,4,4,0,0,0,15,4,4,0,0,11,11,3,9,0,37,0,0,0,0,0,3,0,0,0,12,0,0,0,0,0,4,0,0,0,3,3,0,5,6,9,20,17,4,0,73,0,3,5,4,4,10,10,7,0,37,0,3,0,0,3,3,0,0,0,6
LGA50630,0,0,3,8,0,0,0,0,0,12,67,34,50,75,77,97,56,26,7,480,0,0,0,0,0,0,0,0,0,0,7,0,3,6,4,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,70,31,70,81,66,52,21,8,0,405,0,3,0,0,0,0,0,0,0,11,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,9,0,0,0,6,0,7,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,9,3,0,5,5,15,8,6,0,0,44,0,0,0,0,0,0,0,0,0,6,0,0,0,3,5,0,0,0,0,12,5,0,7,11,18,4,6,0,0,57,6,0,0,3,4,7,4,0,0,31,0,0,0,0,0,0,0,0,0,8
LGA50770,0,0,0,4,0,0,0,0,0,11,61,10,24,62,79,89,82,34,12,457,0,0,0,0,0,0,0,0,0,0,5,3,5,0,10,8,0,3,0,32,0,0,0,0,0,0,0,0,0,0,77,20,32,39,39,41,18,12,6,278,0,0,0,0,0,0,6,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,6,0,0,0,0,0,0,3,0,0,8,0,0,0,0,6,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8,0,0,0,12,3,0,4,4,5,3,12,4,0,35,0,0,0,0,0,0,4,0,0,3,0,6,3,4,0,8,4,0,0,20,13,5,10,9,17,23,16,10,3,95,18,0,10,10,3,6,11,0,0,52,0,0,0,0,0,0,0,0,0,0
